	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000121104	37	28	36	36	20	27	41	56	2	5	2	2	1	0	1	3
ENSG00000121152	572	470	534	432	435	524	655	733	60	67	36	44	34	22	46	55
ENSG00000121207	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000121210	295	265	239	233	194	247	332	447	18	26	3	12	8	4	25	9
ENSG00000121211	114	101	97	85	81	118	150	160	15	4	1	0	2	2	6	10
ENSG00000121236	20	14	17	12	13	18	27	30	3	0	1	0	0	0	1	2
ENSG00000121270	9	12	8	7	3	3	6	16	0	0	0	0	0	0	0	0
ENSG00000121274	149	156	184	147	134	160	233	285	10	2	6	2	4	3	6	4
ENSG00000121281	4	0	5	2	4	1	5	8	1	0	0	0	0	0	1	0
ENSG00000121289	69	61	77	72	65	70	112	144	25	23	8	15	2	4	22	20
ENSG00000121297	83	50	41	45	29	48	72	105	4	5	1	1	1	0	2	1
ENSG00000121310	34	24	31	29	20	27	26	32	1	0	0	0	0	0	0	0
ENSG00000121314	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0
ENSG00000121316	2	2	6	6	1	2	3	6	0	0	0	0	0	0	0	0
ENSG00000121318	7	10	7	8	15	8	12	27	0	0	0	0	0	0	0	0
ENSG00000121335	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000121350	50	63	71	51	58	70	106	124	9	4	4	2	3	4	9	5
ENSG00000121351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121361	134	106	114	78	95	120	150	204	10	8	8	4	2	4	6	8
ENSG00000121377	0	2	3	0	0	3	1	1	0	0	0	0	0	0	0	0
ENSG00000121380	4	3	6	6	4	4	3	7	0	0	0	0	0	0	0	0
ENSG00000121381	0	0	2	3	0	1	2	4	0	0	0	0	0	0	0	0
ENSG00000121390	395	364	361	305	320	356	469	555	28	23	4	6	9	6	21	16
ENSG00000121406	20	12	17	10	10	11	22	38	0	0	0	0	0	0	2	0
ENSG00000121410	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSG00000121413	3	3	4	2	6	2	5	4	11	7	4	6	9	6	9	13
ENSG00000121417	56	50	56	42	45	61	87	111	4	4	3	4	1	0	2	2
ENSG00000121440	89	80	81	63	40	84	127	181	0	7	1	1	1	0	0	1
ENSG00000121446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
