	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
AGO2	1084	864	1184	1954
AGO3	802	726	1032	1479
AGO4	306	272	380	557
AGPAT1	280	251	337	627
AGPAT2	141	128	283	382
AGPAT3	502	432	643	923
AGPAT4	322	304	432	637
AGPAT5	519	568	763	1072
AGPS	2016	2149	3047	4162
AGRN	701	570	594	1033
AGTPBP1	2798	2691	4100	5906
AGTRAP	125	109	273	391
AHCTF1	1773	1627	2471	3574
AHCY	3649	3158	6678	8903
AHCYL1	1341	1192	1812	2615
AHCYL2	287	286	274	507
AHDC1	107	55	51	128
AHI1	1206	1101	1563	2306
AHNAK	1967	2065	2005	3174
AHNAK2	282	223	343	503
AHR	28	13	45	98
AHRR	24	19	23	38
AHSA1	3617	3397	5383	7669
AIF1L	147	129	163	243
AIFM1	2402	2322	3604	4931
AIFM2	84	95	95	133
AIG1	498	413	630	930
AIMP1	1217	1202	1763	2504
AIMP2	1482	1373	2299	3140
AIP	589	560	989	1266
AJUBA	137	137	125	197
AK1	375	358	490	680
AK2	1868	1957	2818	4080
AK3	293	266	372	573
AK4	73	87	77	98
AK5	21	22	25	27
AK6	767	718	1202	1647
AK7	38	37	45	69
AK8	26	29	28	67
AK9	88	96	94	173
AKAP1	2145	1964	2942	4170
AKAP10	961	796	1206	1845
AKAP11	3358	3155	3648	5859
AKAP12	3951	3786	5123	7112
AKAP13	2868	2485	3260	5169
AKAP17A	464	446	590	814
AKAP5	133	119	188	239
AKAP6	165	134	145	270
AKAP7	131	152	154	244
AKAP8	941	920	1335	1771
AKAP8L	1240	1159	1876	2723
AKAP9	5027	4864	7215	8152
AKIP1	238	163	323	469
AKIRIN1	400	348	593	858
AKIRIN2	196	166	220	396
AKNA	46	43	37	97
AKR1A1	776	648	1120	1516
AKR1B1	1302	1194	2187	2959
AKR7A2	603	545	1047	1521
AKR7A3	36	21	20	46
AKT1	1290	1120	1928	2693
AKT1S1	153	140	205	308
AKT2	951	846	1518	2084
AKT3	1203	1065	1512	2224
AKTIP	141	153	225	304
AL022238.4	17	24	23	26
AL022312.1	178	161	210	315
AL031777.3	50	69	153	178
AL034430.1	136	135	218	291
AL034430.2	213	196	305	419
AL035461.3	88	111	97	151
AL109811.3	65	58	92	191
AL109827.1	149	118	219	280
AL121753.1	111	104	200	313
AL121768.1	1124	1106	1329	1873
AL121900.2	120	117	196	252
AL133500.1	45	47	89	108
AL135905.2	30	38	75	92
AL136295.1	31	37	33	60
AL139011.2	75	65	104	175
AL139300.1	58	50	82	114
AL157935.2	11	11	17	47
AL162171.1	200	175	194	350
AL162231.1	28	23	36	51
AL358472.7	156	147	229	342
AL603832.3	34	28	40	67
ALAD	164	132	187	244
ALAS1	1120	1061	1668	2374
ALCAM	1183	1035	1769	2491
ALDH16A1	633	576	777	1128
ALDH18A1	4826	4327	6952	9548
ALDH1A2	1111	1072	1704	2433
ALDH1A3	30	37	59	58
ALDH1B1	1148	1080	1508	2116
ALDH1L2	680	645	677	1069
ALDH2	227	226	429	529
ALDH3A1	21	14	39	58
ALDH3A2	1828	1636	2477	3600
ALDH4A1	150	119	263	318
ALDH5A1	399	469	523	886
ALDH6A1	456	395	623	919
ALDH7A1	965	848	1124	1603
ALDH8A1	32	27	32	47
ALDH9A1	1886	1736	2895	3924
ALDOA	838	724	1599	2182
ALDOC	53	43	91	139
ALG1	412	313	626	855
ALG10	205	163	368	426
ALG10B	99	73	207	260
ALG11	437	422	623	909
ALG12	372	302	454	660
ALG13	1787	1574	1777	3098
ALG14	300	296	422	586
ALG1L	49	40	60	99
ALG2	365	356	613	861
ALG3	269	225	411	560
ALG5	802	747	1244	1865
ALG6	1249	1223	2013	2986
ALG8	1457	1258	2392	3490
ALKAL1	26	15	38	65
ALKBH1	302	219	489	703
ALKBH2	460	447	721	932
ALKBH3	457	385	638	1028
ALKBH4	215	221	252	385
ALKBH5	2628	2428	4158	5906
ALKBH6	115	103	170	257
ALKBH7	167	145	228	330
ALKBH8	812	722	973	1450
ALMS1	5479	4522	6826	10603
ALOX12	85	48	91	111
ALPK1	173	133	207	320
ALPL	21	19	41	56
ALS2	1127	930	1446	2097
ALX1	158	136	225	334
ALX3	74	62	77	118
ALX4	57	58	55	79
ALYREF	3068	3053	4229	6185
AMACR	150	145	235	343
AMBRA1	1024	889	1361	2104
AMD1	3164	2935	4656	6425
AMDHD2	113	103	187	257
AMER1	513	446	581	839
AMFR	1502	1293	2137	3006
AMH	163	156	128	258
AMIGO1	57	44	70	108
AMIGO3	133	108	192	278
AMMECR1	318	279	497	628
AMMECR1L	249	225	329	518
AMN1	102	86	142	252
AMOT	6733	5395	8528	13984
AMOTL1	855	828	1185	1723
AMOTL2	124	109	236	294
AMPD2	729	641	969	1414
AMPH	94	85	141	240
AMT	34	35	44	73
AMZ2	1060	927	1724	2473
ANAPC1	1836	1638	2889	4192
ANAPC10	153	133	267	421
ANAPC11	490	483	685	906
ANAPC13	303	301	388	519
ANAPC15	260	272	489	622
ANAPC16	448	420	674	924
ANAPC2	595	555	801	1061
ANAPC4	1075	994	1567	2292
ANAPC5	5384	4796	8270	12232
ANAPC7	2171	1867	3104	4526
ANGEL1	713	573	820	1332
ANGEL2	988	930	1530	2294
ANGPT2	50	42	37	71
ANGPTL1	38	18	32	54
ANGPTL3	75	62	59	110
ANGPTL4	26	21	23	33
ANGPTL7	61	38	39	66
ANK1	251	219	297	500
ANK2	794	704	1100	1582
ANK3	678	649	836	1319
ANKAR	233	244	254	471
ANKEF1	270	241	329	473
ANKFY1	1650	1418	1710	2819
ANKH	284	224	406	575
