	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
ABL1	475	660	227	341
ABL2	286	274	149	145
ABLIM1	556	582	237	313
ABLIM2	10	16	7	9
ABR	875	1046	401	577
ABRACL	671	762	365	434
ABRAXAS1	93	107	56	46
ABRAXAS2	560	576	261	315
ABT1	601	845	311	456
ABTB1	32	50	25	22
ABTB2	188	203	75	97
AC003665.1	67	88	31	58
AC004080.3	15	30	11	12
AC004475.1	344	529	197	281
AC005324.3	2	1	0	3
AC005520.1	65	57	15	36
AC006213.1	226	305	120	135
AC007950.1	559	637	252	348
AC008403.1	24	18	6	8
AC008581.2	3	2	1	2
AC008755.1	778	972	376	471
AC008878.3	0	0	0	0
AC009133.6	150	200	72	91
AC010618.1	673	999	361	490
AC010761.1	22	29	13	15
AC011455.2	62	102	30	52
AC011462.1	387	431	162	235
AC011481.1	838	1137	453	638
AC011529.1	46	56	18	33
AC012184.2	6	14	4	15
AC015813.2	7	4	5	7
AC017083.3	128	179	67	98
AC018523.2	0	2	3	1
AC018630.2	1	3	0	0
AC022826.2	18	30	8	12
AC023055.1	8	11	3	3
AC025287.4	0	0	0	0
AC026464.4	55	98	51	57
AC026470.1	374	413	132	178
AC026786.1	27	32	20	29
AC026954.2	14	8	4	5
AC048338.1	18	25	6	9
AC068533.4	122	121	69	70
AC068790.8	65	132	47	57
AC068896.1	13	23	6	7
AC073610.2	177	216	73	126
AC073896.1	89	99	45	60
AC074143.1	48	47	19	23
AC079447.1	234	257	122	126
AC079594.2	19	19	8	14
AC080038.1	198	205	68	93
AC087289.1	48	46	20	27
AC090004.1	0	0	0	0
AC091551.1	73	90	38	55
AC092338.1	361	443	186	257
AC092647.5	169	165	80	99
AC092835.1	54	70	34	39
AC093323.1	62	84	28	50
AC093668.1	12	23	11	6
AC097634.4	35	40	16	24
AC099489.1	2	5	3	2
AC104109.3	386	343	183	221
AC108488.2	12	9	3	6
AC117378.1	1603	1808	639	1059
AC118549.1	389	429	178	215
AC118754.1	2	4	2	0
AC124319.1	777	880	351	445
AC129492.1	148	158	65	87
AC138811.2	261	282	122	192
AC139530.3	89	81	24	48
AC139768.1	28	32	16	23
AC245033.1	1183	1348	666	778
ACAA1	505	616	266	328
ACAA2	1453	1543	690	885
ACACA	1735	2165	875	1154
ACACB	71	72	40	48
ACAD10	174	212	72	131
ACAD11	1139	1122	460	620
ACAD8	142	191	75	96
ACAD9	962	1063	433	603
ACADL	236	263	125	154
ACADM	2046	2054	885	1141
ACADS	307	296	112	154
ACADSB	1275	1230	536	657
ACADVL	776	838	356	493
ACAP2	748	752	357	421
ACAP3	162	241	82	137
ACAT1	3167	3323	1416	1737
ACAT2	2775	3242	1443	1713
ACBD3	1243	1414	608	780
ACBD4	58	65	17	32
ACBD5	627	787	247	432
ACBD6	492	561	241	285
ACBD7	251	408	168	198
ACCS	17	15	3	6
ACD	370	532	179	258
ACER2	11	11	7	8
ACER3	152	164	72	97
ACIN1	2666	3277	1363	1782
ACLY	8104	9216	3694	5021
ACMSD	0	1	0	2
ACO1	1082	1290	545	678
ACO2	770	1065	364	613
ACOT1	19	27	19	10
ACOT13	631	557	245	284
ACOT2	128	186	55	93
ACOT7	1883	2597	936	1261
ACOT8	327	396	141	191
ACOT9	851	940	404	515
ACOX1	1246	1450	597	793
ACOX3	114	168	54	89
ACP1	1114	1270	540	628
ACP2	312	413	160	220
ACP4	1	1	0	0
ACP6	201	227	91	141
ACRV1	0	0	0	0
ACSBG2	1	2	0	1
ACSF2	191	187	70	103
ACSF3	325	406	145	209
ACSL1	963	1002	443	547
ACSL3	3216	3675	1586	1955
ACSL4	1993	2172	904	1142
ACSM3	62	51	21	27
ACSS1	316	404	159	235
ACSS2	159	223	57	91
ACSS3	189	211	88	107
ACTA2	452	774	281	402
ACTB	30143	37370	14682	20962
ACTG1	21942	28818	11225	16580
ACTL6A	2020	2416	1004	1231
ACTN1	2048	2771	1049	1506
ACTN2	7	22	5	10
ACTN4	8942	11983	4584	6458
ACTR10	1331	1446	674	773
ACTR1A	2668	3481	1293	1743
ACTR1B	230	304	125	182
ACTR2	1820	2290	880	1224
ACTR3	2662	3031	1348	1652
ACTR3B	59	80	24	35
ACTR5	196	266	77	136
ACTR6	1402	1422	604	760
ACTR8	729	813	341	459
ACTRT3	44	32	21	20
ACVR1	162	165	81	97
ACVR1B	346	519	195	266
ACVR1C	23	29	7	15
ACVR2A	224	291	111	145
ACVR2B	93	129	33	72
ACY1	5	12	9	2
ACYP1	199	192	72	115
ACYP2	49	60	18	13
AD000864.1	31	26	9	10
ADA	296	294	131	149
ADAL	123	108	49	60
ADAM10	845	915	379	546
ADAM11	102	130	40	67
ADAM15	521	675	247	353
ADAM17	263	363	150	188
ADAM19	42	50	20	17
ADAM22	103	101	38	66
ADAM23	177	218	69	96
ADAM32	0	0	0	0
ADAM8	3	2	1	2
ADAM9	804	884	341	457
ADAMTS1	4873	6376	2292	3036
ADAMTS10	15	10	6	12
ADAMTS13	21	8	13	15
ADAMTS15	61	76	20	32
ADAMTS17	33	59	17	20
ADAMTS19	138	183	69	95
ADAMTS2	75	86	24	28
ADAMTS20	52	49	22	48
ADAMTS3	135	164	74	98
ADAMTS6	9	5	2	3
ADAMTS7	12	19	9	10
ADAMTS9	32	35	17	12
ADAMTSL3	13	11	11	8
ADAMTSL4	9	6	1	4
ADAP1	14	24	7	10
ADAP2	49	48	21	37
ADAR	4166	4835	1835	2512
ADARB1	97	171	47	58
ADAT1	140	128	64	73
ADAT2	113	110	29	62
ADAT3	53	100	24	34
ADCK1	114	150	58	75
ADCK2	524	626	208	293
ADCK5	17	28	8	8
ADCY1	37	22	13	11
ADCY3	517	629	234	338
ADCY6	419	573	197	267
ADCY7	73	63	22	40
ADCY9	298	364	160	209
ADCYAP1R1	12	20	6	5
ADD1	1650	2055	787	1110
ADD2	335	443	120	172
ADD3	1747	1975	773	1080
ADGRA2	28	38	10	17
ADGRA3	172	199	80	94
ADGRB2	54	48	24	38
ADGRB3	14	11	8	7
ADGRE5	1085	1296	484	669
ADGRG2	48	47	21	23
ADGRG6	392	394	154	212
ADGRL1	275	286	104	124
ADGRL2	852	978	396	536
ADGRL3	78	97	27	53
ADGRV1	546	607	288	336
ADH5	777	1104	387	525
ADI1	781	1157	392	632
ADIPOR1	539	711	265	353
ADIPOR2	760	973	377	486
ADK	1289	1354	582	702
ADM	89	154	44	85
ADNP	2244	2565	1105	1385
ADNP2	674	760	329	387
ADO	228	323	114	166
ADORA2A	19	7	4	6
ADORA2B	101	91	38	43
ADPGK	548	699	249	349
ADPRHL1	23	24	15	13
ADPRHL2	524	671	255	419
ADPRM	50	62	29	35
ADRA2C	9	9	9	8
ADRM1	2823	4391	1514	2230
ADSL	2911	3178	1362	1856
ADSS	1179	1589	657	750
ADSSL1	12	9	7	7
AEBP2	617	799	311	413
AEN	653	1044	409	567
AES	1235	1552	588	854
AFAP1	146	193	72	102
AFAP1L1	114	105	46	46
AFDN	1734	2128	905	1145
AFF1	629	692	304	368
AFF3	204	236	83	159
AFF4	2218	2324	1045	1283
AFG1L	165	204	85	119
AFG3L2	1204	1445	594	720
AFMID	200	289	110	133
AFTPH	320	405	156	185
AGA	306	361	125	184
AGAP1	177	255	90	142
AGAP2	54	58	25	43
AGAP3	541	727	228	322
AGAP5	1	1	0	1
AGAP6	1	3	3	2
AGAP9	2	3	0	0
AGBL3	21	20	3	21
AGBL5	268	317	104	138
AGER	5	3	1	2
AGFG1	1637	1837	777	1095
AGFG2	121	172	62	87
AGGF1	59	71	35	39
AGK	799	1128	466	671
AGL	1825	1892	826	1032
AGMAT	2	2	0	2
AGO1	592	736	285	360
AGO2	752	904	363	509
AGO3	298	298	136	167
AGO4	116	113	42	57
AGPAT1	611	760	264	352
AGPAT2	536	694	261	374
AGPAT3	423	537	195	227
AGPAT4	210	256	114	116
AGPAT5	437	508	178	239
AGPS	1989	2308	945	1286
AGRN	1040	1668	597	804
AGTPBP1	882	1014	438	571
AGTRAP	356	534	204	263
AHCTF1	251	333	136	156
AHCY	3334	4735	1740	2388
AHCYL1	1690	1831	795	1022
AHCYL2	304	383	153	228
AHDC1	179	241	94	92
AHI1	327	343	164	172
AHNAK	832	903	413	556
AHNAK2	69	108	43	79
AHR	84	69	33	38
AHRR	5	8	2	2
AHSA1	2560	3163	1130	1538
AIF1L	611	684	259	388
AIFM1	2245	2685	1039	1360
AIFM2	558	730	265	325
AIG1	586	738	280	386
AIMP1	1055	1301	536	598
AIMP2	1571	2052	773	1068
AIP	887	1151	411	619
AJUBA	62	96	29	28
AK1	447	686	235	341
AK2	928	1049	371	541
AK3	478	461	197	248
AK4	117	146	51	80
AK5	38	34	8	16
AK6	519	571	258	355
AK7	20	16	9	11
AK8	29	37	15	19
AK9	80	87	56	42
AKAP1	556	768	290	381
AKAP10	264	262	103	132
AKAP11	1432	1811	833	910
AKAP12	2308	2397	996	1268
AKAP13	695	868	395	430
AKAP17A	246	374	135	155
AKAP5	58	67	28	40
AKAP6	24	38	15	20
AKAP7	80	86	37	42
AKAP8	613	803	316	463
AKAP8L	972	1311	480	567
AKAP9	1294	1402	621	731
AKIP1	233	252	97	139
AKIRIN1	942	1154	476	651
AKIRIN2	886	1120	427	539
AKNA	52	43	26	21
AKR1A1	740	1199	367	548
AKR1B1	2544	2933	1112	1511
AKR7A2	870	1218	395	618
AKR7A3	0	0	2	0
AKT1	604	822	269	436
AKT1S1	268	391	156	245
AKT2	1110	1466	544	801
AKT3	238	258	139	134
AKTIP	64	68	33	43
AL022238.4	0	0	0	0
AL022312.1	191	213	77	99
AL031777.3	3833	3568	1473	2000
AL034430.1	75	64	33	33
AL034430.2	260	323	111	184
AL035461.3	8	7	4	5
AL109811.3	2	2	3	1
AL109827.1	126	174	54	74
AL121753.1	31	103	11	28
AL121768.1	131	123	51	64
AL121900.2	180	238	74	120
AL133500.1	14	17	3	12
AL135905.2	576	794	315	484
AL136295.1	30	32	8	20
AL139011.2	74	87	35	36
AL139300.1	75	113	42	60
AL157935.2	0	0	0	0
AL162171.1	44	56	13	24
AL162231.1	5	10	2	6
AL358472.7	42	74	22	41
AL603832.3	140	158	69	98
ALAD	123	147	60	72
ALAS1	773	886	294	421
ALCAM	724	818	339	451
ALDH16A1	339	538	169	261
ALDH18A1	1995	2713	1080	1472
ALDH1A2	1896	2392	1010	1282
ALDH1A3	9	10	5	5
ALDH1B1	926	1103	407	559
ALDH1L2	371	343	136	146
ALDH2	913	994	359	533
ALDH3A1	11	12	8	8
ALDH3A2	1084	1292	463	660
ALDH4A1	327	421	165	223
ALDH5A1	686	874	339	464
ALDH6A1	556	641	213	343
ALDH7A1	1179	1457	545	731
ALDH8A1	1	1	0	0
ALDH9A1	2496	2914	1142	1631
ALDOA	2008	2341	877	1264
ALDOC	52	66	21	19
ALG1	259	368	129	192
ALG10	217	264	121	131
