	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
FAM126A	857	775	693	829
FAM126B	491	428	308	440
FAM129A	43	41	32	33
FAM129B	834	746	587	763
FAM131A	41	27	25	34
FAM133B	130	145	110	123
FAM135A	1329	1195	1039	1191
FAM136A	421	373	313	371
FAM13A	810	799	531	680
FAM13B	1386	1245	865	1078
FAM13C	68	53	43	46
FAM149A	53	44	34	39
FAM149B1	370	339	247	292
FAM151B	86	50	34	50
FAM155B	70	64	59	62
FAM160A1	236	183	147	175
FAM160A2	432	385	302	394
FAM160B1	487	428	306	374
FAM160B2	129	95	61	89
FAM161A	328	337	166	244
FAM161B	86	82	52	80
FAM162A	873	893	611	815
FAM166A	56	46	95	124
FAM168A	82	59	78	92
FAM168B	365	273	368	442
FAM169A	990	898	654	874
FAM171A1	633	577	400	583
FAM171A2	112	103	75	103
FAM171B	372	335	346	420
FAM172A	295	319	237	250
FAM173A	250	226	188	185
FAM174A	89	64	41	76
FAM177A1	265	238	198	252
FAM184A	798	765	470	709
FAM184B	98	62	28	41
FAM185A	107	99	69	98
FAM186B	114	82	37	43
FAM189A1	29	13	13	25
FAM189B	414	342	128	218
FAM192A	505	506	481	577
FAM193A	612	520	259	399
FAM193B	544	404	306	385
FAM199X	1297	1125	974	1329
FAM200A	266	248	173	241
FAM200B	379	362	266	306
FAM204A	887	934	609	781
FAM206A	135	130	105	111
FAM207A	174	201	107	138
FAM20A	24	13	22	18
FAM20B	815	752	545	649
FAM20C	37	47	22	41
FAM210A	259	248	176	254
FAM210B	139	130	76	105
FAM214A	283	218	161	204
FAM214B	12	17	10	10
FAM216A	592	512	537	666
FAM217B	452	385	326	409
FAM219A	78	76	45	53
FAM219B	227	234	176	190
FAM221A	62	58	29	42
FAM222A	38	20	36	31
FAM222B	80	57	43	45
FAM227A	134	126	74	99
FAM227B	30	30	17	33
FAM228B	19	17	13	12
FAM229B	155	140	119	132
FAM234A	33	34	32	43
FAM234B	479	444	289	350
FAM241A	115	101	57	84
FAM241B	20	13	18	38
FAM32A	373	341	213	276
FAM3A	349	331	241	316
FAM3C	22	40	22	28
FAM45A	82	59	62	52
FAM49B	1194	1135	961	1182
FAM50A	1393	1513	1092	1431
FAM50B	34	31	31	47
FAM53A	23	17	16	17
FAM53B	393	360	296	360
FAM53C	337	311	398	486
FAM57A	225	209	148	168
FAM71E1	37	28	26	22
FAM72A	42	41	18	39
FAM72B	27	39	28	36
FAM76A	336	327	272	335
FAM76B	289	291	245	323
FAM78A	17	12	11	11
FAM81A	85	40	35	50
FAM83B	122	83	81	103
FAM83D	964	835	765	934
FAM83G	336	313	200	273
FAM83H	170	166	110	150
FAM84B	255	226	188	254
FAM89A	128	125	70	94
FAM89B	84	61	51	71
FAM8A1	338	367	261	294
FAM91A1	1204	1135	856	1159
FAM92A	413	387	301	393
FAM95C	69	56	28	41
