	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
HRASLS	40	82	43	39
HRSP12	538	683	273	246
HS1BP3	319	465	226	196
HS2ST1	730	1065	499	492
HS3ST3A1	225	308	134	140
HS3ST3B1	188	241	110	95
HS6ST1	262	333	157	131
HS6ST2	877	1229	611	619
HS6ST3	46	83	36	24
HSBP1	1427	1929	708	559
HSCB	276	436	191	174
HSD17B10	2799	3905	1801	1743
HSD17B11	646	896	399	335
HSD17B12	1507	2134	927	853
HSD17B4	4725	6059	2696	2722
HSD17B6	75	111	56	46
HSD17B7	387	588	243	202
HSD17B8	54	102	38	30
HSDL1	568	765	462	433
HSDL2	1240	1768	837	817
HSF1	612	983	487	354
HSF2	1647	2402	1125	1019
HSF4	29	75	34	35
HSP90AA1	45028	66763	42464	41519
HSP90AB1	44142	59482	28651	27179
HSP90B1	19535	26433	13884	13925
HSPA12A	231	383	201	170
HSPA13	1718	2309	1002	922
HSPA14	2396	3396	1530	1360
HSPA1A	16874	24441	9662	9330
HSPA1B	17952	25919	10172	9769
HSPA1L	542	806	265	257
HSPA4	14034	19047	9478	9014
HSPA4L	2849	4162	2055	1889
HSPA5	5962	10032	5923	5669
HSPA8	63504	92686	32979	29391
HSPA9	18647	25067	11253	10414
HSPB1	117	169	105	85
HSPB11	731	1073	499	495
HSPBAP1	294	427	239	206
HSPBP1	416	605	289	271
HSPD1	46186	61898	32387	32800
HSPE1-MOB4	2315	3039	1192	1108
HSPG2	139	283	202	136
HSPH1	8443	11938	6495	6449
HTATIP2	450	613	299	322
HTATSF1	6208	8003	4556	4983
HTRA1	180	259	114	106
HTRA2	590	780	362	349
HTT	4688	8058	4570	3817
HUNK	68	112	60	47
HUS1	592	886	435	376
HUWE1	18318	32826	18752	15680
HYAL2	925	1344	587	526
HYAL3	85	131	46	45
HYI	152	192	75	73
HYLS1	186	208	124	108
HYOU1	4149	6224	3334	3046
HYPK	772	1078	575	627
IAH1	459	680	286	205
IARS	21786	31039	14628	13543
IARS2	8746	12542	6060	5792
IBA57	292	464	208	188
IBTK	1995	2834	1390	1239
ICA1	151	219	113	98
ICA1L	130	221	107	95
ICAM5	81	96	55	45
ICK	369	561	241	217
ICMT	1293	1883	829	767
ICT1	821	1107	441	378
ID1	146	202	41	61
ID2	810	1156	273	166
ID3	556	821	387	342
ID4	85	148	41	49
IDE	3459	5182	2403	2161
IDH1	1687	2189	923	816
IDH2	920	1322	593	498
IDH3A	1708	2158	1176	1194
IDH3B	2673	3872	1757	1586
IDH3G	1143	1711	694	646
IDI1	1991	2691	1154	1111
IDS	775	1074	593	484
IER2	39	64	38	42
IER3IP1	256	321	114	131
IER5	233	330	132	172
IFFO1	288	422	239	223
IFFO2	96	149	62	69
IFI27L1	64	90	37	46
IFI27L2	82	113	65	48
IFI30	180	253	112	109
IFIT1	71	104	53	67
IFIT5	596	801	427	403
IFNAR1	997	1616	806	747
IFNAR2	260	400	264	225
IFNGR1	1471	2198	1030	947
IFNGR2	927	1224	468	405
IFNLR1	103	152	94	99
IFRD1	1368	1943	1008	1057
IFRD2	1908	2714	1501	1371
IFT122	593	882	447	351
IFT140	546	830	508	439
IFT172	1585	2376	1167	1085
IFT20	135	186	86	76
IFT27	502	637	348	364
IFT43	307	363	180	192
IFT46	590	768	321	270
IFT52	1014	1485	664	590
IFT57	2544	3768	1855	1882
IFT74	700	1018	472	440
IFT80	1041	1441	678	609
IFT81	871	1085	626	601
IFT88	272	397	203	230
IGBP1	961	1381	632	645
IGDCC3	52	80	33	25
IGDCC4	37	59	44	38
IGF1R	815	1420	813	711
IGF2BP1	1746	3162	1890	1523
IGF2BP2	592	925	544	450
IGF2BP3	1069	1605	753	717
IGF2R	3803	6945	4148	3543
IGFBP2	667	1046	516	543
IGHMBP2	410	639	383	345
IGSF3	365	566	296	256
IGSF8	315	467	274	228
IGSF9B	72	150	92	80
IK	3923	4628	2237	2205
IKBIP	567	761	411	421
IKBKAP	5948	8233	4106	3777
IKBKB	638	909	524	478
IKBKG	459	637	351	373
IKZF2	49	82	29	27
IKZF5	324	461	231	181
IL11RA	48	82	36	34
IL12RB2	63	95	40	35
IL13RA1	637	870	414	385
IL17RA	243	378	195	171
IL17RB	249	376	157	156
IL17RC	76	119	61	43
IL17RD	64	110	50	56
IL18R1	77	100	56	47
IL1RAP	92	145	60	44
IL27RA	116	154	69	66
IL4R	82	138	89	63
IL6ST	1575	2309	1015	922
ILDR2	74	113	66	51
ILF2	14224	19964	8948	8476
ILF3	9436	13767	7333	6653
ILK	1017	1452	700	610
ILKAP	1073	1519	729	715
ILVBL	776	1007	504	397
IMMP1L	172	260	104	78
IMMP2L	114	159	77	75
IMMT	4447	6444	2921	2762
IMP3	397	575	246	219
IMP4	1248	1677	752	773
IMPA1	696	1036	493	474
IMPA2	128	148	105	95
IMPACT	549	820	398	393
IMPAD1	1061	1578	885	848
IMPDH1	1850	2597	1263	1041
IMPDH2	12779	18457	7839	7273
INA	264	359	230	200
INADL	1692	2588	1378	1185
INCENP	1283	1898	1127	1020
INF2	260	480	321	279
ING1	145	177	61	76
ING2	238	387	164	180
ING3	910	1437	521	392
ING4	201	293	141	138
ING5	370	581	294	300
INIP	102	163	57	47
INO80	1486	2402	1211	1135
INO80B	381	478	205	181
INO80C	94	119	76	67
INO80D	344	599	334	282
INO80E	587	797	338	354
INPP1	158	260	109	86
INPP4A	992	1422	707	583
INPP4B	55	106	37	43
INPP5A	493	733	305	273
INPP5B	908	1287	659	624
INPP5E	244	394	213	157
INPP5F	486	718	355	341
