	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
TRAF5	235	375	200	210	99	108	140	177
TRAF6	434	711	332	298	125	143	162	230
TRAF7	964	1570	681	549	137	163	182	293
TRAFD1	1194	1615	751	653	544	674	723	1109
TRAIP	676	861	422	435	105	105	127	230
TRAK1	606	982	550	499	58	61	64	101
TRAK2	737	1098	489	428	52	52	71	72
TRAM1	3385	4655	1760	1447	792	830	934	1312
TRAM1L1	70	106	34	34	13	19	17	13
TRAM2	115	221	124	93	81	114	134	169
TRAP1	6066	8371	4108	3932	2229	2412	3244	4082
TRAPPC1	206	348	185	143	403	448	546	855
TRAPPC10	1598	2536	1285	1246	242	261	288	421
TRAPPC11	1194	1743	832	779	378	354	405	556
TRAPPC12	714	1133	554	524	188	178	251	390
TRAPPC13	957	1395	589	588	209	216	274	368
TRAPPC2	188	241	134	119	111	182	198	248
TRAPPC2L	816	1186	471	487	223	229	325	454
TRAPPC3	752	1034	469	472	533	475	549	929
TRAPPC4	784	1112	476	422	298	290	373	600
TRAPPC5	503	706	297	234	557	502	878	1111
TRAPPC6A	85	84	42	46	19	26	39	64
