	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
ARHGEF16	77	137	46	35	60	54	78	107
ARHGEF17	74	166	95	82	83	59	86	89
ARHGEF18	638	1004	475	485	255	289	407	579
ARHGEF2	439	633	391	379	404	426	599	921
ARHGEF25	350	588	275	251	20	15	26	39
ARHGEF26	504	856	505	462	158	187	218	353
ARHGEF28	86	128	49	40	68	68	98	92
ARHGEF3	160	300	120	103	94	116	122	144
ARHGEF39	234	365	181	158	115	136	164	258
ARHGEF4	152	248	84	79	17	18	12	14
ARHGEF40	145	222	118	112	63	67	87	126
ARHGEF6	322	411	178	180	96	126	173	185
ARHGEF7	496	726	394	392	201	264	314	448
ARHGEF9	285	401	222	193	15	9	12	15
ARID1A	947	1796	1259	966	892	989	1155	1911
ARID1B	1338	2177	1255	1044	341	336	423	556
ARID2	2013	3159	1511	1320	596	687	766	1135
ARID3A	69	132	81	62	71	60	84	141
ARID3B	347	524	306	251	106	140	185	292
ARID4A	526	768	492	470	106	119	155	193
ARID4B	3051	4130	2279	2140	351	364	487	694
ARID5A	82	116	51	61	20	33	53	74
ARID5B	272	405	238	176	273	325	405	565
ARIH1	1713	2444	1394	1325	434	495	634	915
ARIH2	3329	4665	2197	2044	352	375	483	585
ARL1	1077	1439	585	558	535	631	848	1032
ARL10	78	186	131	135	16	12	26	37
ARL13B	647	865	464	414	105	114	173	205
ARL14EP	561	766	419	381	197	236	257	355
ARL15	141	219	116	91	81	101	139	139
ARL16	409	497	233	196	97	152	164	297
ARL17A	1039	1546	991	910	635	660	851	1309
ARL2	811	1056	421	406	519	522	816	1016
ARL2BP	570	819	311	266	277	343	399	530
ARL3	359	450	204	184	422	494	570	772
ARL4A	323	473	264	206	47	48	71	97
ARL4C	73	138	63	66	53	58	65	103
ARL4D	60	94	56	45	35	35	58	70
ARL5A	803	1181	607	532	46	53	56	83
ARL5B	533	756	365	332	265	301	363	481
ARL6	223	372	147	161	70	92	99	148
ARL6IP1	2231	3124	1377	1311	1059	1061	1266	1953
ARL6IP4	1620	2283	1218	1244	428	433	609	1040
ARL6IP5	923	1243	623	622	330	342	480	560
ARL6IP6	356	522	244	183	146	154	188	239
ARL8A	221	351	170	181	174	207	246	349
ARL8B	497	753	342	289	367	392	478	685
ARMC1	953	1271	572	579	278	343	402	497
ARMC10	697	1054	530	434	123	138	186	271
ARMC2	50	108	39	39	15	26	40	45
ARMC4	278	433	254	219	153	141	173	216
ARMC5	225	319	138	146	78	93	87	178
ARMC6	1320	1936	906	714	376	402	543	815
ARMC8	1151	1669	709	693	179	229	280	342
ARMC9	440	664	357	326	219	217	314	453
ARMCX2	51	87	36	24	209	254	336	383
ARMCX3	435	605	325	318	142	177	188	298
ARMCX4	60	125	116	82	16	18	12	33
ARMCX5	876	1139	532	480	97	117	135	139
ARMCX5-GPRASP2	1745	2507	1320	1182	160	178	193	292
ARMCX6	141	183	104	124	27	28	38	78
ARNT	868	1386	666	620	285	313	388	542
ARNT2	292	486	288	258	39	37	60	92
ARNTL	162	186	91	74	27	21	43	58
ARNTL2	967	1388	709	603	46	48	60	79
ARPC1A	2595	3644	1581	1377	997	1126	1297	1999
ARPC1B	545	770	336	289	393	433	547	842
ARPC2	2775	3958	1669	1420	1836	2179	2773	3738
ARPC3	2607	3663	1537	1455	2552	3023	3840	4770
ARPC5	753	1018	448	494	361	353	462	731
ARPC5L	331	429	189	229	238	281	350	505
ARPP19	526	770	396	379	346	396	549	644
ARRB1	134	208	105	87	52	69	97	88
ARRB2	575	714	344	276	340	366	489	707
ARRDC1	299	367	155	122	158	161	242	335
ARRDC3	184	266	105	85	45	54	56	69
ARRDC4	211	292	171	170	175	169	181	251
ARSA	91	138	77	60	97	91	110	141
ARSB	291	397	202	161	63	79	82	121
ARSG	68	112	74	47	26	28	29	30
ARSK	200	319	143	132	105	129	140	174
ARV1	900	1165	528	513	284	327	391	572
ARVCF	187	259	139	130	35	36	51	74
AS3MT	346	505	203	228	100	132	149	168
ASAH1	647	934	420	426	403	429	521	683
ASAH2	137	186	54	57	38	49	51	90
ASAH2B	122	163	48	54	30	43	35	68
ASAP1	555	997	617	500	242	271	348	445
ASAP2	370	591	329	282	147	155	194	290
ASAP3	213	302	177	155	57	61	85	122
ASB1	253	333	174	195	57	61	81	145
ASB13	235	329	174	157	86	66	81	147
ASB3	1010	1460	761	680	313	330	400	551
ASB6	591	827	373	324	354	416	540	821
ASB7	341	485	215	206	46	43	58	95
ASB8	196	288	182	175	185	209	286	377
ASCC1	416	564	335	310	345	424	550	695
ASCC2	1052	1593	795	691	449	486	595	905
ASCC3	7527	10873	5192	4699	1343	1592	1592	2181
ASF1A	856	1176	469	483	366	428	548	761
ASF1B	709	966	401	336	519	537	648	1069
ASH1L	4508	7386	4324	3852	581	638	701	958
ASH2L	623	803	456	437	510	542	563	736
ASIC1	99	213	126	103	96	98	113	137
ASL	356	506	229	175	87	93	118	155
ASMT	94	144	132	134	0	0	0	0
ASMTL	562	762	400	400	210	198	302	358
ASNA1	1224	1640	688	653	550	587	878	1186
ASNS	4050	5723	2594	2358	1547	1644	2153	2409
ASNSD1	3506	5188	2378	2255	241	233	326	408
ASPH	1914	2736	1374	1251	456	454	542	725
ASPHD2	71	89	45	45	24	18	36	46
ASPM	17072	23526	11761	10685	1308	1405	1624	1983
ASPSCR1	372	485	244	223	96	93	142	282
ASRGL1	429	560	300	289	158	163	238	363
ASS1	740	1008	493	416	600	634	782	868
ASTE1	367	620	260	183	104	114	133	196
ASTN2	52	90	40	41	13	11	14	15
ASUN	2801	3859	1786	1836	501	618	784	890
ASXL1	2259	3636	2053	1756	345	401	413	656
ASXL2	869	1587	938	783	116	159	197	282
ASXL3	85	139	66	65	39	40	56	45
ATAD1	1010	1445	751	689	759	863	897	1296
ATAD2	4607	6412	3138	3088	1171	1495	1846	2264
ATAD2B	1436	2128	1126	935	141	148	196	252
ATAD3A	2681	3722	1831	1722	1197	1312	1715	2610
ATAD3B	2605	3725	1756	1706	959	1087	1488	2316
ATAD3C	686	998	545	540	416	452	582	879
ATAD5	2375	3685	2136	2077	318	348	477	511
ATAT1	66	103	53	51	84	85	116	159
ATE1	753	1196	631	613	257	275	329	434
ATF1	568	782	296	288	197	228	258	425
ATF2	1114	1523	687	656	106	137	190	241
ATF3	84	129	36	46	34	41	47	76
ATF4	14224	19876	8940	8940	313	426	653	689
ATF5	51	104	44	32	12	16	12	15
ATF6	1972	2806	1157	1065	655	724	910	1133
ATF6B	462	642	300	251	420	453	604	891
ATF7	72	139	96	68	128	164	217	311
ATF7IP	1223	1935	1137	1063	1112	1287	1514	2028
ATF7IP2	120	197	90	79	9	9	16	30
ATG10	80	143	60	45	24	24	29	41
ATG12	261	361	141	103	135	178	204	289
ATG13	699	1010	461	415	199	189	254	365
ATG14	343	552	236	259	32	57	54	73
ATG16L1	837	1345	696	591	232	244	310	443
ATG16L2	104	156	66	65	7	8	9	15
ATG2A	659	1122	637	588	201	224	252	412
ATG2B	1962	3055	1539	1335	507	575	756	951
ATG3	2057	2831	1179	1101	317	366	493	591
ATG4A	512	750	328	261	72	106	115	165
ATG4B	851	1263	577	522	532	550	649	981
ATG4C	1111	1606	665	681	136	206	240	272
ATG4D	449	669	291	251	107	67	115	192
ATG5	891	1307	600	544	211	238	350	384
ATG7	1257	1763	895	810	276	297	386	500
ATG9A	899	1367	654	534	654	667	887	1189
ATHL1	173	219	128	99	9	13	18	18
ATIC	1348	2654	1679	1515	3333	3477	4449	6155
ATL1	97	116	62	55	60	64	109	125
ATL2	2040	2939	1563	1600	532	595	657	955
ATL3	506	717	376	300	59	46	73	101
ATM	5160	7593	4094	3748	537	560	668	764
ATMIN	1807	2637	1163	978	50	52	80	84
ATN1	137	420	288	221	352	431	542	780
ATOX1	206	292	76	86	322	365	470	559
ATP10D	307	466	198	188	37	29	51	66
ATP11A	319	578	372	345	140	152	150	246
ATP11B	1373	2037	924	915	283	321	382	485
ATP11C	2779	4024	1881	1775	605	685	749	991
ATP13A1	906	1546	817	723	489	543	532	1061
ATP13A2	800	1260	675	580	272	290	376	510
ATP13A3	3116	4669	2199	2085	720	744	766	1082
ATP1A1	12229	18779	9572	9000	8150	7948	9068	13482
ATP1A3	86	169	114	73	315	287	354	549
ATP1B1	443	643	342	344	507	597	641	796
ATP1B3	1578	2219	1001	951	1191	1344	1540	2176
ATP2A2	4481	8339	5163	4724	4322	4301	5060	7541
ATP2B1	2851	4097	2038	2004	1042	1091	1157	1774
ATP2B4	807	1449	813	745	101	81	83	150
ATP2C1	2083	3095	1604	1576	621	648	703	1021
ATP5A1	17211	24716	11041	10064	6988	6962	8418	12428
ATP5B	23234	32167	13859	12413	13002	13706	16803	23474
ATP5C1	4474	6404	2630	2348	3528	4054	4921	6511
ATP5D	274	396	218	162	420	494	612	1025
ATP5E	1416	2022	735	562	1079	1197	1756	2279
ATP5F1	7759	11053	4725	4209	2767	3008	3837	5441
ATP5G1	1697	2438	1056	817	826	913	1196	1733
ATP5G2	1932	2463	1158	911	2429	2764	3589	5737
ATP5G3	4484	6095	2631	2270	2219	2492	3267	4374
ATP5H	2888	4014	1781	1728	933	982	1165	1888
ATP5I	2365	3324	1584	1694	643	651	1040	1370
ATP5J	1512	2244	796	614	1361	1617	1936	2700
ATP5J2-PTCD1	875	1291	656	634	508	566	701	1107
ATP5L	2450	3279	1563	1615	1480	1475	1854	2950
ATP5L2	96	116	47	29	368	434	595	784
ATP5S	202	308	158	133	140	159	185	254
ATP5SL	377	502	239	223	214	204	262	447
ATP6AP1	1796	2379	1065	948	1516	1582	1913	2674
ATP6AP2	1647	2374	910	742	1334	1439	1704	2251
ATP6V0A1	1147	1923	1169	1020	570	581	657	1022
ATP6V0A2	1312	1976	927	845	385	409	492	690
ATP6V0B	1353	1879	619	405	1045	1087	1341	2125
ATP6V0C	218	329	171	152	961	1075	1577	2162
ATP6V0D1	1143	1702	688	591	612	707	961	1398
ATP6V0E1	347	493	180	132	224	206	240	400
ATP6V0E2	280	394	217	198	104	97	186	294
ATP6V1A	5142	7361	3299	3059	1250	1426	1590	2506
ATP6V1B2	1095	1601	773	757	730	784	1061	1464
ATP6V1C1	1439	2156	1054	926	426	458	603	806
ATP6V1D	1166	1715	803	791	394	490	642	913
ATP6V1E1	2030	2845	1198	1117	1169	1441	1671	2228
ATP6V1F	810	1133	495	435	591	647	969	1201
ATP6V1G1	1263	1798	879	854	560	668	879	1197
ATP6V1H	1364	1993	975	908	584	632	818	1061
ATP7A	627	930	497	485	241	275	312	369
ATP7B	844	1319	670	578	239	259	268	502
ATP8A1	584	964	457	385	162	146	153	186
ATP8B2	2632	3748	1713	1515	71	70	94	132
ATP9A	666	1103	520	478	233	266	312	423
ATP9B	391	564	292	297	99	125	141	172
ATPAF1	1204	1754	881	906	687	768	1057	1388
ATPAF2	506	698	336	257	46	59	97	124
ATPIF1	1503	2035	1081	1097	887	1033	1431	2090
ATR	4929	6697	3198	2887	506	650	754	910
ATRAID	1299	1865	714	620	277	336	306	451
ATRIP	979	1532	662	588	119	116	168	277
ATRN	1093	1733	999	855	492	449	491	710
ATRNL1	501	769	393	380	50	74	58	85
ATRX	5094	6668	4286	4096	649	769	748	1053
ATXN1	170	268	127	107	65	64	56	85
ATXN10	2937	4894	2692	2286	2077	2187	2469	3473
ATXN1L	340	595	219	223	42	36	43	80
ATXN2	671	1278	771	575	873	1146	1453	1943
ATXN2L	723	1631	1190	842	1311	1490	1658	2701
ATXN3	419	515	270	257	203	249	303	386
ATXN7	539	752	381	366	49	68	77	118
ATXN7L1	143	195	95	78	55	63	58	77
ATXN7L2	251	346	156	137	35	55	40	75
ATXN7L3	491	657	374	326	57	54	61	82
ATXN7L3B	329	475	262	195	167	209	247	402
AUH	288	433	234	225	94	86	125	175
AUNIP	804	1237	467	379	163	203	333	363
AUP1	2430	3446	1381	1107	341	367	429	582
AURKA	2501	3569	1498	1305	1064	1273	1630	2163
AURKAIP1	1419	2018	1017	1086	993	1116	1524	2536
AURKB	1797	2631	1148	1170	709	749	955	1435
AUTS2	185	435	236	221	139	154	224	295
AVEN	273	415	223	225	48	63	84	124
AVL9	839	1194	556	524	128	136	167	255
AX746670	44	62	36	41	0	0	0	0
AX746699	75	124	76	45	0	0	0	0
AX746750	72	87	58	66	0	0	0	0
AX747493	89	159	70	42	11	14	19	19
AX747756	37	70	39	39	4	5	0	1
AX748249	239	444	366	286	9	7	3	9
AXIN1	857	1123	630	637	135	136	191	321
AXIN2	115	177	106	106	47	56	62	101
AZI1	482	739	430	392	131	120	151	200
AZI2	1086	1608	745	690	56	37	86	91
AZIN1	2630	3812	1754	1611	347	353	496	586
B2M	1496	2077	932	950	1902	2271	2807	3768
B3GALNT2	1293	1852	892	860	86	89	116	160
B3GALT1	50	94	27	21	9	4	6	8
B3GALT6	114	167	90	87	117	114	171	285
B3GALTL	493	774	354	277	181	189	195	188
B3GAT3	493	674	352	313	186	190	186	325
B3GNT1	829	1237	611	561	557	557	660	1102
B3GNT2	327	496	182	145	49	74	79	92
B3GNT5	156	194	96	101	71	87	102	120
B4GALNT1	55	96	39	40	11	7	13	20
B4GALNT3	494	688	317	238	102	113	139	205
B4GALNT4	205	293	153	151	29	19	14	30
B4GALT1	98	145	99	96	211	216	210	306
B4GALT2	834	1039	452	384	54	29	74	94
B4GALT3	926	1358	582	513	109	95	107	160
B4GALT4	341	506	233	211	70	98	123	137
B4GALT5	458	566	361	300	266	235	277	466
B4GALT6	122	156	92	79	20	37	49	77
B4GALT7	340	529	197	153	55	72	77	129
B9D1	859	1318	590	538	178	251	321	391
BABAM1	1376	1997	978	861	296	335	434	626
BACE1	203	298	150	132	54	60	70	108
BACE2	267	382	183	192	193	169	210	262
BACH1	1873	2649	1327	1207	259	259	298	397
BACH2	55	96	62	42	48	38	74	79
BAD	215	348	140	120	109	107	167	249
BAG1	967	1349	704	759	91	106	127	215
BAG2	441	664	357	401	449	540	599	1061
BAG3	220	378	207	171	423	538	749	1129
BAG4	870	1210	518	459	253	327	412	571
BAG5	950	1354	704	748	302	345	409	597
BAG6	2259	4492	2421	1956	2688	2953	3681	5859
BAHCC1	204	523	418	271	107	94	109	133
BAHD1	229	332	200	185	264	318	449	691
BAI2	286	378	211	183	40	23	39	34
BAI3	364	567	284	278	8	9	9	11
BAIAP2	243	393	189	138	105	126	150	253
BAIAP2L1	677	973	474	445	434	441	526	691
BAK1	319	443	208	193	154	187	271	408
BAMBI	234	361	111	93	210	230	226	274
BANF1	475	545	260	321	475	447	675	1231
BANP	320	518	222	233	80	114	170	243
BAP1	2348	3212	1678	1569	186	176	254	370
BARD1	1326	2052	907	852	280	313	378	576
BATF3	54	78	33	34	29	18	19	41
BAX	498	662	278	303	314	314	345	584
BAZ1A	6283	8513	4615	4328	1114	1181	1490	1875
BAZ1B	6692	9635	5731	5409	1302	1533	1785	2636
BAZ2A	1247	2306	1670	1238	919	996	1248	1674
BAZ2B	988	1427	755	650	146	135	155	180
BBIP1	139	266	69	93	43	65	69	96
BBS1	267	397	234	186	74	96	106	156
BBS10	530	793	334	263	193	218	337	413
BBS12	166	258	136	100	17	33	47	58
BBS2	857	1231	619	583	304	322	370	544
BBS4	713	986	409	330	172	205	220	296
BBS7	1359	1831	854	819	402	417	475	629
BBS9	480	709	368	340	66	62	84	91
BBX	2492	3552	1700	1543	396	514	574	837
BC017347	50	86	57	67	8	11	19	36
BC024682	140	250	137	130	0	1	0	1
BC032716	107	172	118	92	55	83	83	99
BC041025	76	186	140	80	0	0	0	0
BC043620	71	75	47	42	13	26	28	43
BC071797	55	108	55	56	2	1	2	1
BC107108	241	326	176	192	59	75	109	131
BCAM	43	60	48	33	68	83	95	152
BCAP29	741	1164	497	521	330	342	384	580
BCAP31	3962	5203	2539	2582	1862	1964	2307	3814
BCAR1	447	771	389	306	226	210	270	446
BCAR3	112	210	95	67	54	30	43	60
BCAS2	2067	2898	1319	1321	910	1022	1267	1635
BCAS3	889	1285	614	513	261	280	333	468
BCAS4	48	69	29	28	60	74	94	117
BCAT1	1157	1585	768	724	740	791	1123	1317
BCAT2	640	918	449	408	350	369	479	693
BCCIP	2603	3235	1714	1729	1267	1412	1705	2393
BCDIN3D	135	168	72	58	67	70	108	146
BCHE	122	167	70	77	142	141	155	170
BCKDHA	535	781	292	293	270	297	391	575
BCKDHB	517	727	381	299	197	233	321	429
BCKDK	542	802	402	312	335	399	582	732
BCL10	229	409	173	188	163	236	258	398
BCL11A	84	166	124	118	90	110	170	269
BCL2L1	130	187	108	105	30	37	44	71
BCL2L11	100	146	64	55	36	43	34	54
BCL2L12	427	580	282	292	177	203	287	466
BCL2L13	1116	1717	864	752	152	201	263	362
BCL2L2-PABPN1	2213	2837	1527	1314	672	742	879	1411
BCL6	42	74	33	27	35	50	46	88
BCL6B	140	201	114	90	0	0	2	1
BCL7A	233	301	139	153	166	164	222	382
BCL7B	246	344	146	118	85	85	134	155
BCL7C	783	1001	485	493	118	118	153	225
BCL9	241	469	320	253	132	126	151	177
BCLAF1	17612	22226	10048	9203	2691	3521	3602	5139
BCOR	4228	7933	4711	3857	1749	2008	2208	2994
BCORL1	166	484	335	230	271	338	405	665
BCR	2128	3371	1744	1655	286	293	374	517
BCS1L	1347	1951	980	894	357	386	536	759
BDH1	91	134	92	70	0	0	0	0
BDH2	543	848	313	318	200	226	325	366
BDP1	6388	8364	4963	4875	308	311	398	544
BECN1	1546	2278	1047	1006	160	175	252	329
BEND3	255	440	262	230	79	78	116	194
BEND4	165	218	135	119	86	79	97	141
BEND7	121	204	159	124	28	52	66	81
BET1	280	379	191	205	179	189	241	294
BET1L	64	129	52	75	44	49	69	71
BEX1	205	227	172	171	396	496	620	1021
BEX2	1237	1561	734	693	328	410	497	850
BEX4	572	753	302	347	177	212	247	465
BEX5	46	62	37	38	4	5	7	5
BFAR	929	1271	534	474	208	241	290	470
BFSP1	169	213	101	96	23	17	41	50
BHLHB9	477	610	342	303	40	56	76	86
BHLHE40	76	98	47	51	158	152	197	258
BICC1	368	519	197	177	139	145	190	208
BICD1	115	240	160	129	86	78	127	164
BICD2	1192	1695	934	882	239	243	383	541
BID	433	639	303	273	311	388	559	791
BIN1	220	273	150	142	20	13	23	32
BIN3	138	244	83	104	67	84	96	152
BIRC2	983	1356	660	625	106	171	194	249
BIRC5	1236	1705	880	959	437	442	661	916
BIRC6	15433	22636	11059	9682	1854	1951	2093	2806
BIVM-ERCC5	1631	2294	1152	1134	259	272	304	417
BLCAP	72	105	54	32	98	109	134	210
BLM	4243	6484	3204	2858	356	441	444	592
BLMH	1148	1601	823	834	763	856	1059	1592
BLOC1S1	593	825	371	336	266	279	413	616
BLOC1S2	411	607	285	249	245	287	313	405
BLOC1S4	136	169	105	85	81	112	160	223
BLOC1S6	322	419	214	204	63	104	132	158
BLVRA	641	886	472	469	684	747	971	1243
BLVRB	271	391	159	153	443	404	588	767
BLZF1	807	1110	508	502	257	340	390	534
BMP1	155	184	107	77	69	68	96	111
BMP2K	755	1098	482	397	151	132	187	282
BMP4	58	75	43	47	18	36	39	46
BMP6	86	122	60	51	39	51	63	80
BMP7	511	762	344	265	159	200	267	383
BMP8B	53	72	36	38	27	35	47	68
BMPR1A	737	1078	490	435	264	260	275	404
BMPR1B	129	171	103	86	60	62	80	75
BMPR2	773	1189	622	556	229	304	332	405
BMS1	7295	9700	5243	5216	1534	1719	2013	2921
BNC2	78	132	67	61	31	40	51	85
BNIP1	304	488	193	166	137	174	218	275
BNIP2	1138	1603	837	773	391	421	493	774
BNIP3	729	1010	467	511	214	216	258	403
BNIP3L	275	364	167	188	289	285	436	623
BOC	103	167	96	92	14	23	21	34
BOD1	890	1221	507	444	132	122	175	250
BOD1L1	4100	5246	3097	2948	662	785	806	1110
BOLA1	124	151	87	84	27	10	50	55
BOLA2	2724	3632	2082	1938	1416	1694	2164	3522
BOLA3	432	661	319	310	241	302	249	426
BOP1	6033	7970	3697	3550	1560	1675	2159	3414
BORA	591	895	407	331	108	157	196	239
BPGM	341	426	235	196	84	83	106	156
BPHL	328	515	245	228	160	142	190	275
BPNT1	1042	1577	730	731	336	430	592	737
BPTF	5885	10042	6204	5585	1043	1186	1401	1799
BRAF	384	684	344	313	177	226	256	445
BRAP	757	1051	509	493	297	315	426	601
BRAT1	977	1368	730	646	362	372	487	725
BRCA1	3770	5927	3180	2758	452	549	765	904
BRCA2	5346	7170	3840	3504	569	659	780	962
BRCC3	827	1068	528	571	309	328	486	621
BRD1	855	1324	805	717	261	278	351	605
BRD2	8110	12357	5560	4825	2468	2671	3591	5002
BRD3	339	486	329	293	376	337	485	780
BRD4	497	1123	849	649	700	881	1084	1514
BRD7	3820	5225	2426	2366	274	297	403	546
BRD8	2282	3244	1700	1632	517	595	686	1071
BRD9	871	1330	782	704	188	175	236	307
BRE	617	842	411	410	201	210	285	367
BRF1	465	688	356	341	185	209	249	380
BRF2	257	348	175	138	159	171	186	336
BRI3	113	176	92	58	146	148	205	348
BRI3BP	224	307	167	149	268	260	365	603
BRIP1	2490	3821	1933	1664	454	506	726	926
BRIX1	3136	4390	2145	2193	1359	1566	1927	2675
BRK1	506	636	275	231	307	380	516	697
BRMS1	1042	1526	628	587	91	102	161	266
BRMS1L	645	906	405	345	183	199	246	345
BROX	1257	1775	852	765	310	381	495	576
BRPF1	1615	2335	1179	1008	196	165	253	388
BRPF3	623	1067	761	622	141	156	180	309
BRSK1	104	117	72	52	23	9	13	30
BRSK2	321	404	194	182	91	89	99	159
BRWD1	3467	4904	2687	2463	270	297	356	498
BRWD3	1909	3038	1661	1583	239	276	350	439
BSCL2	530	708	316	268	133	123	162	216
BSDC1	1210	1739	876	857	229	220	324	382
BSG	3271	4478	1998	1634	3066	3333	3976	6444
BSN	227	471	309	230	69	37	37	59
BTAF1	5380	7815	3489	3100	731	780	1028	1389
BTBD1	2469	3670	1445	1280	422	440	605	717
BTBD10	561	885	400	428	136	185	195	226
BTBD11	178	202	94	93	39	54	54	89
BTBD2	771	1226	644	538	258	259	323	420
BTBD3	1045	1426	833	726	241	292	366	579
BTBD6	839	1160	515	444	75	88	121	158
BTBD7	1081	1673	833	785	130	118	164	234
BTBD8	55	83	38	42	19	28	39	38
BTBD9	241	352	198	182	127	139	205	272
BTD	330	479	208	178	83	97	88	126
BTF3	9723	13436	5837	5599	5331	6221	7216	9621
BTF3L4	945	1390	696	649	962	1186	1352	1911
BTG1	316	408	159	120	246	286	353	501
BTG3	527	731	375	388	416	488	529	768
BTN2A1	532	700	390	374	160	160	179	273
BTN2A2	280	399	203	196	105	111	124	170
BTN3A1	102	162	98	99	32	33	61	61
BTN3A2	90	137	81	75	50	44	75	75
BTN3A3	79	109	81	88	48	47	75	75
BTRC	712	1072	497	420	246	283	344	408
BUB1	6035	8865	3974	3506	1293	1503	1808	2272
BUB1B	3314	4730	2234	2021	1200	1378	1660	2205
BUB3	5230	7430	3396	3210	2275	2578	3134	4410
BUD13	649	910	416	361	126	143	154	222
BUD31	820	1175	562	513	371	385	492	718
BVES	88	165	58	62	86	103	114	172
BYSL	1112	1422	687	634	742	815	1056	1414
BZW1	7711	11115	5348	5228	1988	2325	2769	3652
BZW2	2682	3792	1776	1732	601	702	792	1176
C10orf118	740	938	525	531	147	219	288	332
C10orf12	1499	2362	1297	1226	282	357	436	560
C10orf137	2569	3722	1741	1574	479	581	737	1124
C10orf2	872	1328	762	590	243	285	326	450
C10orf32	98	123	36	35	131	130	177	229
C10orf76	598	883	499	438	309	399	453	581
C10orf88	335	500	240	203	165	161	198	296
C11orf1	166	195	95	74	32	46	56	79
C11orf24	319	498	201	169	43	70	70	126
C11orf30	545	760	409	313	110	164	177	244
C11orf31	634	810	463	435	52	61	78	149
C11orf48	493	636	348	378	86	97	133	178
C11orf49	188	314	139	121	178	170	268	312
C11orf54	172	280	138	107	74	85	104	157
C11orf57	940	1317	664	588	96	132	166	184
C11orf58	3056	4207	2217	2405	1272	1484	1706	2373
C11orf63	53	76	46	36	31	35	36	49
C11orf68	105	137	81	54	52	59	70	109
C11orf73	751	1040	507	407	189	205	315	355
C11orf74	485	691	271	304	86	123	136	165
C11orf80	149	173	90	86	19	14	29	36
C11orf82	933	1437	564	521	100	104	156	160
C11orf83	154	227	126	102	44	60	53	167
C11orf84	593	721	334	350	142	140	177	310
C11orf95	221	291	162	149	18	21	21	51
C12orf10	828	1075	490	387	301	420	535	795
C12orf23	428	559	249	268	168	153	205	319
C12orf29	1013	1331	592	513	465	502	643	803
C12orf4	856	1296	642	572	414	471	527	696
C12orf43	169	238	161	151	110	111	136	226
C12orf44	399	582	274	306	129	164	205	294
C12orf45	506	713	338	305	193	275	357	425
C12orf49	240	330	158	169	58	53	57	82
C12orf5	459	727	324	366	305	419	424	601
C12orf52	449	581	264	241	30	42	57	66
C12orf57	528	809	263	266	459	486	667	1016
C12orf60	93	95	48	35	12	16	26	35
C12orf65	150	228	124	130	59	54	97	136
C12orf66	202	287	122	141	56	60	62	123
C12orf73	69	114	37	36	40	56	67	86
C12orf75	99	156	74	72	80	86	101	142
C14orf1	192	285	157	107	134	154	205	327
C14orf119	582	843	273	179	167	182	238	396
C14orf142	121	185	98	98	50	42	72	124
C14orf159	147	256	104	121	82	98	115	163
C14orf166	3963	5367	2244	2144	1421	1575	2030	2345
C14orf2	913	1247	582	588	845	831	931	1490
C14orf28	46	61	36	29	0	0	1	1
C14orf37	125	213	115	71	70	59	96	118
C14orf79	89	119	54	41	22	19	28	45
C14orf80	386	469	266	267	102	84	132	222
C14orf93	137	164	78	80	14	21	17	37
C15orf27	65	100	39	37	4	10	12	5
C15orf38-AP3S2	841	1275	588	608	206	221	299	464
C15orf39	411	862	524	389	361	339	436	685
C15orf40	185	269	147	121	62	91	95	129
C15orf41	108	175	66	77	109	136	146	217
C15orf57	107	143	61	63	72	126	141	193
C15orf59	98	141	49	57	5	2	1	5
C15orf61	123	219	80	61	98	121	156	213
C16orf13	519	763	396	379	263	284	396	535
C16orf55	81	115	46	48	14	11	21	34
C16orf58	343	511	243	224	124	119	145	212
C16orf59	420	632	332	245	117	118	185	218
C16orf62	864	1266	578	484	259	267	347	459
C16orf70	379	547	249	217	110	123	166	227
