	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
OAT	2901	3384	3267	2924
OAZ1	5387	6826	6251	5596
OAZ2	110	127	215	201
OBFC1	116	158	169	151
OBSCN	148	188	330	265
OBSL1	573	733	868	875
OCA2	29	42	43	51
OCIAD1	574	717	674	628
OCLN	197	310	344	312
OCRL	862	1092	1320	1171
ODC1	5848	7030	7668	7209
ODF2	1011	1309	1434	1329
ODF2L	386	549	607	639
OFD1	693	888	957	911
OGDH	619	905	1026	890
OGDHL	276	300	358	369
OGFOD1	987	1207	1474	1416
OGFOD2	65	62	56	52
OGFOD3	104	107	160	136
OGFR	356	461	533	556
OGFRL1	281	369	375	393
OGG1	133	149	130	97
OGT	3016	3753	4510	3962
OIP5	178	256	252	222
OLA1	2408	3129	3157	3241
OMA1	655	862	831	748
ONECUT2	31	22	40	39
OPA1	1904	2438	2664	2501
OPHN1	132	178	208	174
OPN3	37	45	71	53
OPTN	92	112	149	129
ORAI1	28	48	58	27
ORAI2	28	37	64	38
ORAOV1	32	48	66	46
ORC1	1111	1338	1347	1186
ORC2	813	1032	1041	1020
ORC3	888	1075	1130	973
ORC4	688	911	902	864
ORC5	629	779	906	775
ORC6	541	655	758	771
ORMDL1	283	352	280	263
ORMDL2	148	195	213	180
ORMDL3	70	79	83	80
OS9	1265	1554	1558	1543
OSBP	584	743	1051	990
OSBP2	65	78	105	74
OSBPL10	55	87	82	65
OSBPL11	536	741	927	763
OSBPL1A	277	317	435	406
OSBPL2	279	316	346	334
OSBPL3	384	508	529	486
OSBPL5	61	97	90	70
OSBPL6	335	436	553	425
OSBPL8	1241	1565	1626	1563
OSBPL9	1441	1735	1712	1583
OSCP1	73	75	80	70
OSER1	287	373	349	272
OSGEP	545	660	776	716
OSGEPL1	180	238	227	181
OSGIN2	238	355	332	312
OSR2	42	36	34	23
OST4	129	203	213	185
OSTC	316	497	508	511
OSTF1	180	232	242	157
OSTM1	202	230	264	245
OTUB1	609	745	645	529
OTUB2	28	28	49	39
