	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
OSGEPL1	116	97	153	163
OSGIN2	132	157	188	233
OSR2	24	38	36	61
OST4	150	159	222	234
OSTC	297	338	338	528
OSTF1	138	148	224	257
OSTM1	244	279	311	403
OTUB1	818	896	1170	1601
OTUB2	31	36	61	66
OTUD1	73	81	106	145
OTUD3	77	69	112	172
OTUD4	220	231	295	421
OTUD5	473	560	731	994
OTUD6B	166	187	234	351
OTUD7A	20	19	13	40
OTUD7B	158	168	194	374
OVCA2	180	227	260	410
OVGP1	0	0	2	2
OVOS2	7	4	9	11
OXA1L	575	633	710	1084
OXCT1	846	916	1070	1573
OXLD1	28	31	48	47
OXNAD1	90	89	148	154
OXR1	264	340	435	463
OXSM	80	83	148	169
OXSR1	273	313	354	450
P2RX4	54	61	69	82
P2RY1	24	25	32	62
P4HA1	329	352	395	597
P4HA2	256	255	335	461
P4HB	1954	1808	2320	3252
PA2G4	4587	5165	6210	9354
PAAF1	148	122	187	213
PABPC1	3980	4578	4706	7296
PABPC1L	26	16	17	19
PABPC3	1002	1162	1166	1785
PABPC4	1878	1978	2464	3588
PABPC4L	33	56	71	86
PACRGL	58	78	89	119
PACS1	186	196	263	350
PACS2	49	61	85	100
PACSIN2	479	582	733	1053
PACSIN3	146	160	218	273
PAF1	1603	1655	2048	3287
PAFAH1B1	1008	1077	1376	1827
PAFAH1B2	529	569	757	1051
PAFAH1B3	253	293	397	553
PAFAH2	61	41	56	106
PAG1	60	39	78	87
PAGR1	190	216	300	494
PAICS	4144	4780	5898	8018
PAIP1	781	873	1047	1448
PAIP2	739	835	1120	1303
PAIP2B	38	37	54	73
PAK1	238	281	359	483
PAK1IP1	519	593	676	945
PAK2	724	805	918	1298
PAK4	443	487	670	1189
PALB2	118	111	168	184
PALD1	144	123	216	283
PALLD	389	443	609	645
PALM	39	52	75	99
PALM2-AKAP2	178	178	218	383
PAM	518	590	698	875
PAN2	210	208	241	324
PAN3	177	174	220	305
PANK1	58	70	86	172
PANK2	241	270	308	520
PANK3	328	339	391	574
PANK4	371	360	457	644
PANX1	127	99	118	149
PAPD4	213	231	343	382
PAPD5	203	183	213	346
PAPD7	109	99	129	200
PAPOLA	1227	1499	1889	2377
PAPOLG	146	180	206	344
