	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
MAPK8IP2	125	175	211	199	160	85	302	503
MAPK8IP3	298	370	417	395	37	14	37	32
MAPK9	590	735	737	702	191	142	378	599
MAPKAP1	1239	1587	1522	1410	68	50	261	288
MAPKAPK2	398	546	527	459	73	42	192	242
MAPKAPK3	609	710	699	640	110	62	140	214
MAPKAPK5	564	752	871	791	62	47	148	158
MAPKBP1	169	204	246	205	42	26	82	106
MAPRE1	1018	1284	1737	1733	867	662	1673	2368
MAPRE2	209	276	336	307	245	213	545	805
MAPRE3	28	42	42	39	88	75	213	304
MARCKS	142	229	298	378	636	540	1096	2098
MARCKSL1	854	1125	1323	1365	971	711	1812	2902
MARK1	376	446	551	430	82	50	143	202
MARK2	320	452	704	605	131	88	283	442
MARK3	1362	1739	1759	1662	275	191	605	816
MARK4	90	96	181	156	71	47	164	232
MARS	3525	4547	4869	4468	1376	958	3047	4226
MARS2	324	429	425	364	148	94	239	364
MARVELD2	132	163	230	198	65	49	159	207
MAST1	18	37	51	40	24	12	71	63
MAST2	355	476	618	528	78	60	225	315
MAST3	47	78	115	89	49	38	112	150
MAST4	103	97	145	168	46	28	76	124
MASTL	612	831	883	794	328	251	604	685
MAT2A	2012	2660	3177	3245	1424	1101	2136	3644
MAT2B	707	923	818	671	489	389	923	1239
MATK	210	243	218	199	8	5	28	40
MATR3	10535	13309	14178	13269	4497	3160	7446	10617
MAU2	305	385	422	349	226	179	427	675
MAVS	185	277	260	200	243	169	565	779
MAX	215	306	235	195	152	125	320	389
MAZ	2039	2670	2907	2776	1085	770	1782	2751
MB21D2	59	92	92	92	74	54	125	193
MBD1	325	456	486	477	206	145	360	584
MBD2	291	353	355	332	68	58	126	186
MBD3	571	832	787	755	276	212	459	761
MBD4	552	690	698	649	121	82	219	300
MBD5	107	169	207	170	11	6	9	22
MBD6	32	32	122	69	56	44	113	150
MBIP	250	303	364	350	154	123	363	394
MBLAC2	46	74	65	68	83	49	128	222
MBNL1	455	590	592	472	400	305	747	971
MBNL2	76	81	88	86	50	21	83	99
MBNL3	87	112	144	141	119	83	181	259
MBOAT1	78	87	97	61	37	30	61	86
MBOAT2	458	601	590	527	146	94	309	421
MBOAT7	89	118	155	109	129	78	217	404
MBTD1	337	384	546	538	86	67	199	234
MBTPS1	1491	1922	2045	1926	172	94	287	355
MBTPS2	176	312	335	302	319	220	618	876
MCAM	118	133	165	135	64	36	111	173
MCAT	318	436	418	386	215	145	388	580
MCC	113	162	177	165	141	103	319	389
MCCC1	244	334	357	353	168	130	316	388
MCCC2	923	1172	1555	1469	538	383	1104	1375
MCEE	68	70	93	75	11	16	36	42
MCF2L	51	87	103	94	32	33	60	86
MCFD2	259	341	320	283	216	120	420	564
MCL1	1006	1414	1368	1409	599	435	861	1675
MCM10	1747	2291	2411	2131	688	515	1096	1570
MCM2	4980	6081	6499	6073	2765	1866	4417	7064
MCM3	4902	5867	6518	6033	2818	1968	5275	7283
MCM3AP	2955	3808	4721	4213	587	386	1140	1561
MCM4	6484	8687	8701	7830	4601	3268	8458	10562
MCM5	2757	3307	3225	2993	1915	1274	3195	4977
MCM6	3379	4420	5211	4995	1942	1405	3753	4750
MCM7	8768	10699	10460	9145	5266	3345	8125	12931
MCM8	1404	1829	2242	2160	285	194	514	675
MCM9	839	1084	1316	1186	128	99	238	330
MCMBP	2454	3067	3041	2692	1296	914	2409	3094
MCOLN1	82	100	115	88	92	55	125	245
MCOLN2	183	243	275	217	111	73	225	285
MCOLN3	148	196	239	238	84	96	222	305
MCPH1	464	575	651	595	152	102	251	338
MCRS1	1256	1542	1434	1346	403	244	451	743
MCTP1	25	33	32	44	31	34	62	72
MCTS1	618	692	624	542	446	339	989	1296
MCU	189	257	250	232	164	86	299	388
MCUR1	474	600	637	561	131	92	321	433
MDC1	755	1106	1795	1443	1686	1227	2728	4020
MDFIC	90	128	144	124	58	42	106	198
MDGA2	50	97	96	94	0	0	0	0
MDH1	2702	3220	3417	3221	1693	1193	2712	3974
MDH2	2486	3438	3368	3390	2064	1533	4432	6176
MDK	135	184	242	229	589	372	1098	1794
MDM1	204	272	310	274	60	31	144	188
MDM2	1423	1865	2225	1980	1138	801	1522	2726
MDM4	427	593	842	752	29	19	40	78
MDN1	8314	10603	13049	11398	1754	1233	2343	3324
ME1	364	478	630	556	734	551	1611	2000
ME2	855	989	1166	1070	761	584	1878	2397
MEA1	585	808	763	757	539	342	821	1256
MEAF6	277	325	390	372	158	142	424	655
MECOM	493	680	649	568	206	159	332	408
MECP2	372	522	606	533	103	62	211	267
MECR	240	363	434	415	49	42	147	204
MED1	945	1140	1247	1078	305	233	665	852
MED10	67	91	100	127	301	244	519	728
MED11	61	102	93	72	81	58	178	183
MED12	581	843	1308	972	581	392	970	1466
MED12L	484	635	856	675	80	55	151	219
MED13	3089	3979	4678	4044	461	305	721	1016
MED13L	1048	1339	1791	1383	225	155	414	593
MED14	937	1293	1714	1391	667	446	1247	1665
MED15	152	218	315	245	292	211	609	733
MED16	305	462	410	429	240	162	482	681
MED17	777	964	996	880	404	272	580	882
MED18	142	164	127	145	125	95	152	300
MED19	46	49	47	39	47	26	45	100
MED20	196	223	254	225	81	54	134	211
MED21	150	221	206	159	172	138	421	519
MED22	100	115	129	107	78	61	150	201
MED23	1540	1930	1942	1670	345	264	635	932
MED24	899	1157	1344	1220	654	410	873	1336
MED25	135	212	269	250	324	221	624	908
MED26	69	118	138	98	62	34	106	149
MED27	293	479	436	394	454	275	869	1132
MED28	444	540	444	380	129	122	240	303
MED29	181	277	228	205	609	463	1179	1770
MED30	108	150	163	157	46	33	103	124
MED31	113	158	155	106	106	67	190	269
MED4	478	681	567	561	368	272	612	835
MED6	459	644	612	509	276	168	402	527
MED7	97	124	163	156	76	77	180	197
MED8	363	434	480	431	238	137	444	611
MED9	82	104	95	80	38	26	44	97
MEF2A	257	355	359	346	104	77	211	279
MEF2BNB	44	56	68	57	59	28	82	131
MEF2C	142	170	130	100	99	70	139	209
MEF2D	37	37	73	32	58	55	120	187
MEGF8	693	948	1298	1065	294	160	464	663
MEGF9	48	78	105	75	31	19	43	56
MEIS1	135	176	156	137	59	31	93	124
MEIS2	219	286	328	238	76	60	109	194
MEIS3	25	35	40	36	3	1	4	6
MELK	1037	1380	1346	1183	398	313	802	1016
MEMO1	388	423	416	406	147	97	335	489
MEN1	329	471	611	471	232	195	433	660
MEPCE	630	732	779	687	416	271	620	1080
MERTK	167	226	217	186	57	25	77	119
MESDC1	46	37	88	74	11	6	15	27
MESDC2	551	762	699	608	157	123	253	424
MET	580	674	758	686	528	276	885	1212
METAP1	610	896	931	854	346	243	711	937
METAP1D	99	98	120	106	30	20	53	66
METAP2	2359	3009	3156	3270	1750	1150	3139	4191
METRN	64	75	94	69	7	5	22	17
METRNL	27	31	34	30	8	0	19	29
METTL1	121	174	150	148	143	89	218	347
METTL10	145	188	268	250	79	66	137	174
METTL13	753	1011	1191	1124	348	263	535	823
METTL14	379	521	451	436	166	138	236	340
METTL15	166	247	259	242	112	75	221	286
METTL16	449	531	673	638	173	119	302	399
METTL17	911	1193	1124	1060	238	137	471	608
METTL18	162	179	199	193	51	44	103	143
METTL21A	122	160	189	156	55	46	81	163
METTL21D	55	69	86	73	17	18	22	28
METTL22	93	118	143	136	6	8	19	22
METTL23	173	220	286	277	102	64	129	154
METTL25	248	286	330	331	91	53	92	191
METTL2A	956	1067	1141	1098	452	331	753	1127
METTL2B	988	1165	1346	1212	458	337	752	1130
METTL3	1119	1429	1455	1397	397	270	701	1036
METTL4	118	149	160	144	25	29	60	81
METTL5	618	876	856	777	254	209	535	614
METTL6	339	440	486	472	72	68	167	239
METTL7A	72	71	100	62	208	142	335	491
METTL8	372	433	518	528	129	97	252	362
METTL9	869	1045	1097	952	91	49	206	271
MEX3A	33	52	80	64	37	19	66	124
MEX3B	27	77	50	40	28	11	31	50
MEX3C	107	171	176	153	51	50	127	136
MEX3D	100	143	180	161	7	4	20	31
MFAP1	553	696	608	694	397	282	639	907
MFAP2	20	34	24	21	37	51	120	190
MFAP3	359	449	435	362	198	143	249	454
MFAP3L	66	56	65	55	10	4	14	20
MFF	704	908	962	933	304	217	780	993
MFGE8	136	200	232	264	266	171	693	894
MFHAS1	188	216	282	264	39	16	84	134
MFI2	19	49	59	42	18	8	35	53
MFN1	900	1183	1168	1120	458	328	791	994
MFN2	1304	1644	1848	1664	705	480	1410	2094
MFSD1	512	634	681	630	106	76	139	229
MFSD10	206	261	246	185	111	58	182	341
MFSD11	164	249	276	204	124	60	150	237
MFSD12	205	256	270	266	82	49	122	223
MFSD2A	51	51	51	35	112	55	237	328
MFSD3	143	163	192	155	31	22	69	99
MFSD5	231	255	285	226	158	99	235	391
MFSD6	46	51	54	37	30	23	73	101
MFSD8	287	362	389	385	131	56	181	281
MFSD9	91	110	114	98	21	17	50	85
MGA	2930	3567	4457	4007	682	534	1036	1402
MGARP	81	101	130	122	18	9	30	40
MGAT1	285	335	466	414	86	54	169	211
MGAT2	803	978	1079	1028	98	73	171	274
MGAT4A	114	140	157	133	25	23	78	89
MGAT4B	598	756	913	770	92	67	178	295
MGAT5	500	600	704	567	112	81	225	247
MGC12965	29	37	33	31	5	1	6	11
MGEA5	2093	2668	3565	3114	1334	1015	1874	2771
MGME1	574	727	848	716	173	130	271	464
MGRN1	162	248	449	367	169	138	392	605
MGST1	202	270	199	199	498	366	1068	1446
MGST2	127	159	157	148	225	152	407	557
MGST3	460	569	573	567	337	221	639	810
MIA3	2192	2836	3354	3002	420	250	760	1011
MIB1	1747	2291	2669	2435	264	144	442	584
MIB2	178	196	220	201	52	55	108	204
MICA	128	161	179	154	112	80	192	285
MICAL1	52	54	62	59	26	17	65	94
MICAL2	86	92	124	105	32	31	68	103
MICAL3	588	876	1437	1126	192	136	333	520
MICALL1	473	571	723	685	165	113	369	566
MICALL2	22	27	34	35	11	6	23	17
MICB	37	45	60	36	80	57	189	245
MICU1	611	769	838	738	478	310	812	1163
MICU2	479	664	667	596	503	378	1101	1354
MICU3	67	87	97	103	30	23	61	64
MID1	248	280	303	251	217	143	313	419
MID1IP1	256	345	324	301	57	42	128	172
MID2	348	443	529	421	65	29	144	190
MIDN	46	54	96	78	320	207	525	853
MIEN1	88	115	180	156	136	76	208	284
MIER1	882	1184	1333	1264	188	93	332	492
MIER2	37	65	99	77	86	72	167	232
MIER3	442	537	647	663	158	105	218	332
MIF	2472	3130	2336	1658	3584	2505	7321	10663
MIF4GD	35	72	69	67	52	27	103	133
MIIP	218	245	211	217	104	80	197	294
MINA	965	1227	1232	1089	161	124	353	456
MINK1	301	414	642	477	153	82	313	442
MINOS1	91	138	151	185	558	451	898	1211
MINPP1	340	434	526	451	262	189	641	856
MIOS	642	941	974	902	100	95	219	319
MIPEP	489	593	569	563	235	141	400	578
MIPOL1	274	296	375	319	59	36	127	168
MIS12	293	267	306	261	128	115	197	266
MIS18A	352	486	553	545	244	195	342	546
MIS18BP1	890	1178	1324	1168	358	242	545	665
MITD1	195	326	304	277	71	67	142	161
MITF	56	98	88	78	23	16	35	40
MKI67	6028	7970	11799	9336	3422	2492	4804	6021
MKI67IP	1375	1753	1692	1517	490	407	1051	1339
MKKS	389	506	436	350	15	11	34	34
MKL1	141	174	239	190	130	94	190	327
MKL2	131	221	261	220	110	82	212	313
MKLN1	769	1046	1248	1134	558	412	1134	1419
MKNK1	183	196	204	220	90	61	161	246
MKNK2	294	389	409	391	73	47	198	307
MKRN1	624	937	909	880	337	207	623	900
MKRN2	563	679	762	693	247	179	463	645
MKS1	303	364	378	374	158	94	308	384
MKX	42	40	54	40	0	0	0	0
MLEC	649	857	929	844	325	199	458	856
MLF1	369	455	512	464	113	80	305	293
MLF1IP	1108	1353	1336	1388	449	370	1066	1204
MLF2	600	734	915	768	842	630	1581	2029
MLH3	75	107	126	109	150	102	235	297
MLLT1	174	256	266	232	213	182	469	774
MLLT10	400	477	608	483	76	63	203	231
MLLT3	647	768	825	754	180	128	294	379
MLLT4	2175	2817	3718	3454	680	463	1141	1667
MLLT6	204	259	359	257	38	20	52	84
MLST8	370	552	414	378	154	114	318	470
MLX	228	365	296	258	221	167	538	700
MLXIP	108	168	373	261	155	86	263	336
MLXIPL	18	31	39	22	20	8	34	50
MLYCD	78	93	106	81	38	26	93	129
MMAA	30	41	38	51	18	15	32	58
MMAB	362	461	433	392	171	103	294	449
MMACHC	108	131	137	132	96	83	159	265
MMADHC	1857	2183	2159	1984	697	513	1362	1993
MMD	37	49	45	53	14	6	10	29
MME	20	41	45	45	15	7	24	38
MMGT1	92	117	120	121	139	104	254	394
MMP15	15	35	38	26	17	9	74	96
MMP16	54	98	82	85	0	0	1	1
MMS19	1024	1189	1307	1143	477	333	828	1237
MMS22L	1031	1316	1688	1531	316	246	647	922
MNAT1	622	791	1012	968	224	212	503	619
MND1	180	304	329	327	102	82	265	369
MNF1	442	547	596	507	310	236	681	927
MNS1	35	47	65	51	70	75	186	232
MNT	19	21	56	33	56	37	90	118
MNX1	34	37	47	52	45	31	104	190
MOAP1	174	259	322	316	242	170	407	526
MOB1A	808	1001	1014	1018	462	366	845	1220
MOB1B	51	71	62	48	108	82	179	231
MOB2	198	248	235	209	49	42	89	129
MOCOS	156	164	184	168	19	10	38	62
MOCS1	192	214	242	210	55	42	136	156
MOCS2	341	495	532	476	205	174	313	471
MOCS3	145	195	232	194	156	137	256	355
MOGS	698	926	917	844	204	138	466	745
MOK	107	130	145	159	12	14	38	63
MON1A	250	282	303	299	42	32	73	118
MON1B	109	177	163	142	102	59	117	191
MON2	1462	1789	2141	1920	601	458	1191	1554
MORC2	305	466	623	574	404	320	724	1203
MORC3	708	911	1006	947	262	157	474	583
MORC4	1894	2617	4485	4141	404	277	789	938
MORF4L1	2697	3732	4683	4533	1484	1176	3153	4351
MORF4L2	4934	6118	7031	7310	1547	1154	2383	3465
MORN1	93	128	142	155	54	42	97	158
MORN2	124	154	109	133	16	10	29	33
MORN4	26	36	40	22	8	7	29	22
MOSPD1	149	197	198	155	36	26	100	108
MOSPD2	155	162	260	225	158	124	327	432
MOV10	500	667	856	679	450	309	721	1110
MOXD1	249	307	336	291	98	79	253	284
MPC1	207	269	252	218	71	54	157	217
MPC2	415	483	592	510	257	194	436	597
MPDU1	349	398	417	307	192	136	368	507
MPDZ	619	784	997	821	199	155	404	524
MPG	328	363	454	407	197	167	361	527
MPHOSPH10	963	1340	1286	1267	381	267	596	898
MPHOSPH6	392	438	451	475	151	110	301	387
MPHOSPH8	569	738	866	918	123	85	201	277
MPHOSPH9	1650	2029	2375	2083	184	128	257	372
MPI	938	1090	1221	1088	295	229	629	829
MPLKIP	170	219	215	187	192	138	302	471
MPND	77	102	96	94	19	12	53	60
MPP1	396	455	438	412	330	229	601	821
MPP2	123	155	175	152	90	74	195	289
MPP3	103	133	174	153	20	14	24	29
MPP5	432	576	694	609	139	107	262	319
MPP6	617	771	1007	908	171	122	346	463
MPP7	105	138	149	129	121	96	307	413
MPPE1	89	108	141	135	15	19	48	72
MPRIP	1021	1342	1658	1516	48	38	109	168
MPST	318	359	440	410	186	125	445	680
MPV17	147	230	242	256	123	80	222	310
MPV17L2	106	119	121	83	134	89	200	339
MPZL1	411	530	608	499	296	200	550	693
MR1	27	41	39	37	28	27	48	61
MRAS	43	48	45	39	9	10	13	21
MRC2	48	78	102	86	44	31	122	148
MRE11A	1225	1603	1819	1711	476	362	902	1182
MREG	111	135	190	139	22	17	54	69
MRFAP1	535	741	801	932	593	524	987	1877
MRFAP1L1	219	292	270	348	222	196	357	604
MRGBP	179	214	276	279	34	32	78	121
MRI1	488	566	618	557	223	175	409	626
MRM1	40	46	70	68	18	14	32	44
MROH1	52	68	93	94	30	12	41	42
MRP63	137	158	177	171	114	102	310	429
MRPL1	647	860	856	847	183	131	340	510
MRPL10	260	352	243	250	256	194	563	745
MRPL11	664	839	847	915	241	149	436	683
MRPL13	846	1077	1179	1026	574	446	1103	1387
MRPL14	414	490	544	486	516	439	1007	1392
MRPL15	1093	1421	1320	1270	455	332	808	1156
MRPL16	694	919	1009	1005	484	360	862	1221
MRPL17	594	701	712	642	324	256	773	910
MRPL18	784	949	1072	1080	366	215	579	850
MRPL19	1034	1353	1674	1492	479	388	875	1390
MRPL2	367	399	443	389	447	354	960	1144
MRPL20	838	1017	1094	1071	823	574	1758	2351
MRPL21	716	861	942	914	314	221	708	834
MRPL22	448	587	585	502	613	436	1129	1378
MRPL23	667	890	944	856	416	270	898	1103
MRPL24	661	898	833	867	392	253	756	1114
MRPL27	383	512	471	411	462	312	767	1123
MRPL28	745	857	814	747	959	685	2055	2922
MRPL3	2706	3482	3933	3568	1623	1161	3044	4349
MRPL30	571	669	626	500	294	248	668	801
MRPL32	563	716	656	647	517	382	880	1211
MRPL33	156	239	233	195	117	108	191	281
MRPL34	54	60	97	87	84	72	175	247
MRPL35	373	488	498	480	220	162	331	458
MRPL36	116	162	141	124	139	107	238	388
MRPL37	2529	3185	2740	2548	707	496	1851	2503
MRPL38	536	635	766	688	342	266	671	990
MRPL39	967	1079	1083	967	707	527	1273	1950
MRPL4	390	539	557	461	966	705	1735	2539
MRPL40	401	534	537	433	320	280	724	825
MRPL41	418	439	559	517	390	285	700	1126
MRPL42	714	908	709	618	308	288	1053	1246
MRPL43	143	226	171	173	374	279	692	960
MRPL44	473	524	691	631	602	474	897	1336
MRPL45	325	400	490	477	311	274	655	934
MRPL46	481	572	580	516	182	156	348	486
MRPL47	569	784	863	843	437	347	759	1051
MRPL48	419	527	511	512	169	135	353	448
MRPL49	256	321	307	262	224	153	370	576
MRPL50	400	511	530	458	174	110	323	383
MRPL51	1297	1644	1762	1808	448	378	938	1651
MRPL52	422	541	574	554	277	166	506	694
MRPL53	134	156	167	154	218	164	363	611
MRPL54	365	372	491	526	138	91	232	320
MRPL55	517	578	667	559	227	185	387	657
MRPL9	670	862	1141	1121	393	310	726	1166
MRPS10	419	500	568	507	522	411	1042	1314
MRPS11	431	530	497	403	203	123	324	449
MRPS12	335	364	295	227	432	299	721	1022
MRPS14	299	416	470	450	216	151	371	544
MRPS15	1268	1667	1480	1170	373	274	927	1284
MRPS16	554	646	737	619	485	333	832	1142
MRPS17	316	512	457	472	186	138	377	533
MRPS18A	253	321	288	254	345	262	647	844
MRPS18B	665	816	582	445	717	579	1338	1742
MRPS18C	567	851	833	775	301	266	631	846
MRPS2	594	792	680	629	715	479	1417	1865
MRPS21	886	1153	1087	1062	482	327	700	1172
MRPS22	1145	1337	1373	1205	526	390	998	1308
MRPS23	652	745	755	719	640	475	1226	1688
MRPS24	646	835	1018	995	369	245	868	1286
MRPS25	512	654	592	625	180	125	365	519
MRPS26	452	577	785	852	359	236	605	1076
MRPS27	1161	1390	1602	1336	409	316	880	1104
MRPS28	361	437	564	523	361	251	619	826
MRPS30	573	731	860	747	608	457	1146	1558
MRPS31	682	840	844	761	596	447	1030	1372
MRPS33	334	433	394	383	196	136	381	557
MRPS34	754	1017	1034	967	478	342	831	1521
MRPS35	787	935	1065	1093	708	555	1476	2019
MRPS36	354	497	375	263	212	180	305	393
MRPS5	912	1047	1174	1100	238	202	603	908
MRPS6	128	172	148	164	151	131	290	432
MRPS7	973	1195	1247	1240	583	443	1129	1584
MRPS9	844	1079	1164	1037	318	221	599	807
MRRF	446	567	561	504	128	83	208	253
MRS2	822	1008	1175	1095	184	127	287	439
MRTO4	894	1143	1102	971	721	518	1073	1755
MSANTD2	119	146	161	176	14	11	26	69
MSANTD3-TMEFF1	295	384	400	442	56	48	133	198
MSANTD4	227	301	366	387	88	78	188	265
MSH2	3094	3788	4037	3730	1353	1019	2559	3126
MSH3	1054	1303	1623	1374	335	265	751	921
MSH4	37	52	50	44	1	1	0	0
MSH6	6412	7936	9011	8441	2068	1448	3238	4579
MSI1	27	55	101	70	115	74	234	267
MSI2	193	315	353	293	207	188	482	656
MSL1	193	256	352	370	31	37	104	133
MSL2	313	469	523	435	80	78	235	292
MSL3	248	383	378	400	83	70	187	272
MSMO1	439	539	556	566	350	266	660	865
MSN	907	1172	1291	1246	804	555	1409	2144
MSRA	25	24	32	32	37	29	48	100
MSRB1	15	36	24	22	70	33	116	157
MSRB2	78	92	92	99	88	48	177	270
MSRB3	39	36	70	76	58	38	97	135
MSS51	37	38	56	41	1	2	2	0
MST1	22	42	44	26	0	0	0	0
MST4	791	1018	958	936	700	516	1504	2086
MSTO1	666	828	861	688	164	104	292	444
MSX1	42	72	72	53	34	14	80	118
MSX2	70	80	74	75	352	205	436	663
MT1X	53	58	56	35	27	17	34	72
MT2A	28	32	30	19	59	40	68	121
MTA1	719	1063	1294	1255	380	287	949	1476
MTA2	3349	4023	3904	3316	827	555	1601	2188
MTA3	330	461	488	508	301	226	661	760
MTAP	605	732	851	801	208	144	426	596
MTBP	513	668	771	727	131	91	216	298
MTCH1	869	1158	1254	1151	469	324	854	1336
MTCH2	1871	2251	2125	1853	558	432	1269	1576
MTDH	1946	2193	2532	2382	524	404	1289	1606
MTERF	207	232	286	223	118	101	172	255
MTERFD1	486	578	579	499	207	180	457	582
MTERFD3	201	308	298	300	94	55	172	214
MTF1	105	145	161	137	46	53	98	144
MTF2	1358	1696	1730	1632	233	186	496	631
MTFMT	260	356	411	282	84	76	193	257
MTFR1	330	468	503	544	82	33	201	216
MTFR1L	309	310	329	305	95	65	194	340
MTFR2	143	232	268	236	107	100	203	248
MTG1	399	492	619	541	163	99	251	394
MTG2	218	264	297	290	125	83	236	289
MTHFD1	3856	5229	6156	5579	2562	1927	4978	6708
MTHFD1L	1465	1885	2283	2165	422	308	950	1191
MTHFD2	2147	2716	2773	2649	549	373	1267	1665
MTHFD2L	75	104	102	93	40	39	86	86
MTHFR	93	129	117	142	53	30	98	155
MTHFS	200	296	329	314	135	84	213	328
MTHFSD	76	82	111	110	48	36	92	116
MTIF2	1441	1758	1911	1792	180	144	397	486
MTIF3	344	515	527	434	119	97	192	205
MTM1	183	213	232	284	81	89	190	250
MTMR1	907	1107	1238	1206	277	192	503	747
MTMR10	123	175	209	205	48	44	99	121
MTMR12	315	415	508	443	111	94	244	315
MTMR14	497	605	619	530	153	99	323	484
MTMR2	720	970	1013	925	255	196	566	713
MTMR3	509	656	753	623	125	95	311	403
MTMR4	1148	1354	1620	1398	203	146	453	616
MTMR6	418	438	444	419	380	327	735	1022
MTMR7	27	34	41	39	33	19	86	91
MTMR8	69	91	96	98	29	21	59	79
MTMR9	180	218	217	198	106	51	185	280
MTO1	611	780	821	793	291	235	510	649
MTOR	3109	3883	4224	3709	830	585	1386	2005
MTPAP	531	629	653	591	506	374	821	1106
MTR	3493	4296	5279	4950	803	531	1105	1710
MTRF1	109	154	176	141	56	50	131	131
MTRF1L	378	486	531	511	131	95	215	316
MTRR	521	625	635	533	210	145	357	525
MTSS1L	195	239	271	245	121	83	248	381
MTUS1	290	388	461	446	118	117	266	321
MTX1	620	705	837	772	460	275	800	1204
MTX2	512	638	595	546	323	225	589	787
MTX3	166	204	239	231	62	41	112	147
MUL1	211	279	299	223	217	144	364	484
MUM1	297	355	493	480	69	49	128	143
MUM1L1	62	73	97	98	0	0	3	1
MURC	31	39	62	50	1	1	1	1
MUS81	213	260	280	235	64	41	101	124
MUT	460	584	727	632	389	298	688	833
MUTYH	123	153	166	158	23	25	83	112
MVB12A	159	218	270	250	186	134	439	562
MVB12B	52	64	90	66	34	28	82	99
MVD	224	228	244	217	65	74	123	214
MVK	167	192	190	168	79	68	179	243
MXD1	35	48	51	45	58	41	85	134
MXD3	39	33	46	51	12	9	25	50
MXD4	208	244	228	225	124	108	199	355
MXI1	169	206	215	147	118	91	287	312
MXRA7	79	123	139	171	89	59	176	350
MYB	30	45	67	53	26	12	66	90
MYBBP1A	2027	2672	3390	2914	2171	1526	3669	5647
MYBL1	260	357	417	366	20	16	47	62
MYBL2	1566	2389	2444	2360	526	350	953	1419
MYC	949	1290	1185	978	615	469	1331	1612
MYCBP	149	226	286	317	145	163	401	616
MYCBP2	3992	5202	6275	5414	371	251	570	637
MYEF2	211	306	299	377	368	241	570	880
MYEOV2	28	48	59	70	318	207	422	770
MYH10	4268	5712	7100	6954	1847	1364	3071	4175
MYH11	42	46	26	13	37	32	114	125
MYH14	223	250	376	342	227	157	444	725
MYH15	46	53	76	71	1	1	2	1
MYH3	60	88	139	126	2	0	3	7
MYH9	3725	5048	6338	5820	2813	2070	5630	8526
MYL12A	697	891	772	595	880	692	1616	2351
MYL12B	917	1081	905	757	1120	934	2302	3187
MYL5	42	57	42	33	9	7	15	18
MYL6	3399	4235	3572	3463	2136	1462	3665	5492
MYL6B	444	480	465	519	136	95	237	404
MYLIP	151	206	231	217	53	42	106	164
MYLK	78	108	109	96	10	8	14	37
MYNN	430	547	612	571	67	41	136	163
MYO10	406	594	648	567	346	240	703	1022
MYO18A	173	262	351	345	115	60	171	288
MYO19	795	950	988	877	89	59	210	234
MYO1B	1086	1300	1297	1196	599	423	960	1410
MYO1C	509	600	782	677	418	264	850	1115
MYO1D	419	522	669	572	277	195	565	644
MYO1E	385	418	418	413	173	123	347	409
MYO3A	180	261	339	262	38	38	95	90
MYO5A	534	741	816	764	207	163	498	679
MYO5B	156	183	199	161	51	30	188	256
MYO5C	339	513	602	561	138	86	270	403
MYO6	533	754	1057	981	990	773	1649	2320
MYO9A	1733	2064	2426	2191	191	122	297	361
MYO9B	439	549	808	711	203	152	318	515
MYOM2	67	84	89	72	35	31	75	81
MYSM1	888	1161	1668	1602	86	38	125	191
MZF1	72	93	140	101	16	7	28	39
MZT1	159	246	243	254	188	173	368	456
MZT2A	567	669	826	862	328	235	609	1121
MZT2B	803	920	1121	1167	437	288	767	1504
N4BP1	434	522	582	561	112	76	237	302
N4BP2	719	898	1057	986	124	102	253	336
N4BP2L2	400	491	636	539	63	68	155	185
N6AMT1	69	90	87	84	32	40	83	113
N6AMT2	92	141	151	112	58	37	128	149
NAA10	1338	1727	1822	1793	810	537	1729	2644
NAA15	3075	3971	5075	4660	1797	1382	3072	3991
NAA16	467	566	825	793	174	134	389	521
NAA20	409	602	649	704	317	245	451	674
NAA25	1591	1987	2460	2339	732	523	1264	1630
NAA30	117	188	225	220	82	59	131	219
NAA35	869	1028	1199	1144	356	306	725	977
NAA38	366	482	605	591	280	227	476	772
NAA40	175	202	295	295	95	63	171	252
NAA50	958	1249	1219	1150	566	414	1151	1318
NAA60	60	62	70	42	51	54	108	144
NAAA	115	121	171	154	59	24	114	160
NAALAD2	28	30	59	59	22	11	39	29
NAB1	242	328	359	318	56	41	128	171
NAB2	43	58	72	81	38	42	100	178
NABP1	83	116	93	116	52	37	70	106
NABP2	247	318	294	259	211	139	481	699
NACA	8643	10994	10151	8994	4112	3073	10341	12456
NACA2	386	513	382	324	603	530	1798	2036
NACC1	291	388	661	517	255	197	601	911
NACC2	77	96	138	95	90	67	196	268
NADK	370	465	620	566	107	80	248	328
NADKD1	405	546	599	590	146	116	318	427
NADSYN1	314	401	429	369	81	66	169	250
NAE1	2422	2992	3134	2992	943	664	2198	2551
NAF1	181	260	459	426	260	198	471	660
NAGA	231	300	274	236	118	65	199	291
NAGK	129	140	152	144	146	107	231	409
NAGLU	219	250	290	249	85	48	176	239
NAGPA	138	135	175	165	44	21	54	86
NAIF1	40	60	55	67	36	22	60	84
NAIP	415	556	854	663	11	2	9	8
NAMPT	1045	1319	1398	1145	798	632	1638	1980
NANP	146	168	200	192	60	31	103	101
NANS	940	1210	1258	1240	460	313	726	1023
NAP1L1	5993	8085	9367	9981	2257	1539	5747	9474
NAP1L2	64	93	95	110	35	28	48	69
NAP1L3	290	345	435	385	46	15	80	81
