	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
HEATR5A	224	278	340	522
HEATR5B	333	399	552	798
HEATR6	235	352	466	645
HEBP1	144	213	304	435
HEBP2	311	398	612	742
HECA	82	120	160	226
HECTD1	940	1041	1481	2149
HECTD2	56	73	98	143
HECTD3	200	274	383	491
HECTD4	359	457	669	900
HECW2	21	51	48	70
HEG1	56	100	123	186
HELB	143	156	247	340
HELLS	1667	2143	3078	4047
HELQ	45	59	82	116
HELZ	515	749	1044	1350
HELZ2	39	55	61	110
HEMK1	25	36	54	71
HERC1	407	494	761	1004
HERC2	645	851	1123	1587
HERC3	113	141	244	329
HERC4	211	255	457	549
HERC5	335	445	591	849
HERC6	105	117	164	205
HERPUD1	141	169	277	377
HERPUD2	82	96	145	160
HES1	398	499	636	1044
HES4	123	159	219	329
HES6	33	49	66	88
HEXA	247	300	457	600
HEXB	335	433	640	840
HEXDC	12	34	36	50
HEXIM1	237	299	274	640
HEXIM2	15	16	22	52
HEY1	128	190	198	315
HEY2	73	108	130	205
HFM1	7	7	15	21
HGS	418	526	680	1035
HGSNAT	72	101	120	210
HHAT	20	40	23	35
HHEX	55	72	83	151
HHIP	17	30	40	49
HIAT1	171	222	260	369
HIATL1	105	146	234	348
HIBADH	250	296	460	637
HIBCH	294	356	584	679
HIC2	71	88	94	186
HID1	78	106	138	205
HIF1A	1595	2086	2760	3579
HIF1AN	275	351	477	711
HIGD1A	590	766	1022	1295
HIGD2A	208	314	370	574
HILPDA	19	22	58	77
HINFP	36	65	85	132
HINT1	1365	1669	2324	3507
HINT2	83	118	140	209
HINT3	115	127	216	276
HIP1	128	150	247	350
HIP1R	159	214	315	445
HIPK1	329	478	584	852
HIPK2	95	118	172	268
HIPK3	150	164	261	325
HIRA	186	205	323	456
HIRIP3	138	188	230	446
HIST1H1C	9243	11475	16128	24273
HIST1H1D	1414	1640	2458	3421
HIST1H1E	8832	10755	15756	23416
HIST1H2AB	1476	1867	2632	4007
HIST1H2AC	1921	2550	3073	5117
HIST1H2AD	2149	2785	4176	5525
HIST1H2AE	553	763	1106	1564
HIST1H2AG	3266	4288	6052	8665
HIST1H2AH	3263	4420	5961	8863
HIST1H2AJ	2944	3873	6158	7721
HIST1H2AK	987	1321	2067	2240
HIST1H2AL	817	1215	1571	2103
HIST1H2AM	1118	1614	2167	2891
HIST1H2BC	4644	6303	7670	14974
HIST1H2BD	4365	5832	7221	14028
HIST1H2BE	3862	5047	6127	12243
HIST1H2BF	1983	2467	2952	6543
HIST1H2BI	1406	1642	2871	3703
HIST1H2BJ	5924	7688	9965	17824
HIST1H2BK	7555	9876	13187	22083
HIST1H2BL	3985	5014	7118	9866
HIST1H2BN	4773	6106	7756	14193
HIST1H2BO	3630	4770	5481	11665
HIST1H3A	714	925	1234	1822
HIST1H3B	7592	10053	14665	21222
HIST1H3E	44	48	76	90
HIST1H3F	813	1075	1600	2166
HIST1H3H	1651	2368	3299	4479
HIST1H3J	4	9	25	23
HIST1H4A	875	1212	1661	2524
HIST1H4B	2792	3750	4888	7850
HIST1H4C	4043	5355	6740	10167
HIST1H4D	2174	2790	3779	5537
HIST1H4E	1972	2797	3489	5644
HIST1H4H	2755	3789	4637	7955
HIST1H4I	347	458	650	1061
HIST1H4J	1091	1594	1932	3134
HIST1H4K	1091	1594	1932	3134
HIST2H2AA4	22224	30128	40436	58294
HIST2H2AB	1853	2452	3252	4741
HIST2H2AC	6223	8321	11593	16304
HIST2H2BE	5130	6678	9783	14358
HIST2H2BF	5631	7186	10989	15435
HIST2H3C	21238	29744	36936	63234
HIST2H3D	5437	7679	9973	16924
HIST2H4A	21092	29440	39644	57438
HIST3H2A	1501	2207	2681	3946
