	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
BEX1	370	462	620	1021
BEX2	317	413	497	850
BEX4	152	192	247	465
BEX5	1	3	7	5
BFAR	166	242	290	470
BFSP1	16	29	41	50
BHLHB9	37	32	76	86
BHLHE40	106	142	197	258
BICC1	126	145	190	208
BICD1	50	70	127	164
BICD2	189	259	383	541
BID	308	441	559	791
BIN1	14	8	23	32
BIN3	55	72	96	152
BIRC2	97	118	194	249
BIRC5	350	439	661	916
BIRC6	1195	1480	2093	2806
BIVM-ERCC5	140	218	304	417
BLCAP	63	91	134	210
BLM	250	337	444	592
BLMH	568	748	1059	1592
BLOC1S1	216	290	413	616
BLOC1S2	170	205	313	405
BLOC1S4	68	100	160	223
BLOC1S6	68	89	132	158
BLVRA	481	667	971	1243
BLVRB	280	412	588	767
BLZF1	251	301	390	534
BMP1	40	67	96	111
BMP2K	108	173	187	282
BMP4	18	20	39	46
BMP6	30	36	63	80
BMP7	145	184	267	383
BMP8B	22	36	47	68
BMPR1A	165	223	275	404
BMPR1B	33	47	80	75
BMPR2	174	247	332	405
BMS1	1216	1492	2013	2921
BNC2	37	50	51	85
BNIP1	113	141	218	275
BNIP2	289	386	493	774
BNIP3	182	214	258	403
BNIP3L	259	263	436	623
BOC	13	16	21	34
BOD1	93	120	175	250
BOD1L1	494	619	806	1110
BOLA1	24	23	50	55
BOLA2	1176	1820	2164	3522
BOLA3	182	246	249	426
BOP1	1275	1555	2159	3414
BORA	88	106	196	239
BPGM	55	85	106	156
BPHL	112	120	190	275
BPNT1	302	367	592	737
BPTF	792	977	1401	1799
BRAF	150	201	256	445
BRAP	256	319	426	601
BRAT1	281	350	487	725
BRCA1	389	501	765	904
BRCA2	401	496	780	962
BRCC3	251	341	486	621
BRD1	198	282	351	605
BRD2	1927	2444	3591	5002
BRD3	251	381	485	780
BRD4	593	794	1084	1514
BRD7	188	256	403	546
BRD8	397	560	686	1071
BRD9	148	158	236	307
BRE	156	202	285	367
BRF1	152	203	249	380
BRF2	109	164	186	336
BRI3	101	160	205	348
BRI3BP	211	290	365	603
BRIP1	382	505	726	926
BRIX1	1040	1316	1927	2675
BRK1	301	371	516	697
BRMS1	117	132	161	266
BRMS1L	153	204	246	345
BROX	220	262	495	576
BRPF1	131	178	253	388
BRPF3	116	149	180	309
BRSK1	8	11	13	30
BRSK2	53	70	99	159
BRWD1	196	255	356	498
BRWD3	180	207	350	439
BSCL2	100	127	162	216
BSDC1	155	213	324	382
BSG	2259	3252	3976	6444
BSN	16	25	37	59
BTAF1	553	742	1028	1389
BTBD1	357	394	605	717
BTBD10	95	145	195	226
BTBD11	21	44	54	89
BTBD2	198	267	323	420
BTBD3	233	293	366	579
BTBD6	55	85	121	158
BTBD7	95	123	164	234
BTBD8	25	18	39	38
BTBD9	91	151	205	272
BTD	57	73	88	126
BTF3	4360	5470	7216	9621
BTF3L4	778	1012	1352	1911
BTG1	194	256	353	501
BTG3	278	356	529	768
BTN2A1	102	138	179	273
BTN2A2	72	80	124	170
BTN3A1	25	18	61	61
BTN3A2	24	28	75	75
BTN3A3	31	35	75	75
BTRC	187	256	344	408
BUB1	999	1265	1808	2272
BUB1B	965	1135	1660	2205
BUB3	1753	2295	3134	4410
BUD13	85	101	154	222
BUD31	287	388	492	718
BVES	66	92	114	172
BYSL	533	765	1056	1414
BZW1	1665	2029	2769	3652
BZW2	418	583	792	1176
C10orf118	129	161	288	332
C10orf12	232	315	436	560
C10orf137	367	474	737	1124
C10orf2	160	255	326	450
C10orf32	119	136	177	229
C10orf76	236	354	453	581
C10orf88	114	173	198	296
C11orf1	46	41	56	79
C11orf24	48	64	70	126
C11orf30	98	106	177	244
C11orf31	32	51	78	149
C11orf48	80	105	133	178
C11orf49	131	209	268	312
C11orf54	68	67	104	157
C11orf57	59	110	166	184
C11orf58	942	1222	1706	2373
C11orf63	18	23	36	49
C11orf68	30	51	70	109
C11orf73	130	214	315	355
C11orf74	67	75	136	165
C11orf80	13	17	29	36
C11orf82	90	94	156	160
C11orf83	39	69	53	167
C11orf84	88	143	177	310
C11orf95	19	26	21	51
C12orf10	292	368	535	795
C12orf23	105	156	205	319
C12orf29	344	411	643	803
C12orf4	357	401	527	696
C12orf43	97	135	136	226
C12orf44	108	149	205	294
C12orf45	209	218	357	425
C12orf49	32	55	57	82
C12orf5	229	329	424	601
C12orf52	24	35	57	66
C12orf57	361	469	667	1016
C12orf60	15	12	26	35
C12orf65	54	75	97	136
C12orf66	36	61	62	123
C12orf73	48	58	67	86
C12orf75	64	72	101	142
C14orf1	115	169	205	327
C14orf119	168	181	238	396
C14orf142	43	51	72	124
C14orf159	62	66	115	163
C14orf166	1102	1410	2030	2345
C14orf2	529	732	931	1490
C14orf28	2	1	1	1
C14orf37	38	52	96	118
C14orf79	16	24	28	45
C14orf80	67	100	132	222
C14orf93	15	11	17	37
C15orf27	9	1	12	5
C15orf38-AP3S2	172	219	299	464
C15orf39	255	330	436	685
C15orf40	59	84	95	129
C15orf41	87	110	146	217
C15orf57	63	68	141	193
C15orf59	1	0	1	5
C15orf61	73	95	156	213
C16orf13	201	281	396	535
C16orf55	11	13	21	34
C16orf58	80	88	145	212
C16orf59	111	108	185	218
C16orf62	177	256	347	459
C16orf70	94	120	166	227
C16orf72	147	154	263	359
C16orf80	283	399	595	683
C16orf87	132	143	252	270
C16orf91	34	38	31	91
C16orf93	21	22	47	79
C16orf95	5	17	13	19
C17orf104	7	9	21	13
C17orf51	98	107	169	278
C17orf53	80	100	166	209
C17orf58	36	51	45	67
C17orf59	27	42	55	68
C17orf62	58	61	74	122
C17orf70	47	59	95	142
C17orf75	92	112	204	245
C17orf80	149	225	300	382
C17orf85	381	467	675	983
C17orf89	80	115	152	258
C18orf21	124	164	230	311
C18orf25	145	224	264	374
C18orf32	94	122	163	209
C18orf54	13	19	25	28
C18orf8	184	274	312	411
C19orf10	309	386	443	736
C19orf12	78	100	121	206
C19orf24	82	136	142	259
C19orf25	26	35	45	97
C19orf40	62	54	97	139
C19orf43	381	480	671	983
C19orf44	36	49	97	115
C19orf47	181	221	334	432
C19orf48	4	7	16	20
C19orf52	146	181	259	418
C19orf53	333	574	660	1030
C19orf54	162	206	314	445
C19orf55	107	186	234	366
C19orf57	28	31	42	49
C19orf60	71	89	143	216
C19orf70	255	384	438	711
C1D	184	246	347	445
C1GALT1	47	50	75	107
C1GALT1C1	264	352	460	636
C1QBP	5547	7139	9966	14242
C1orf101	2	1	2	3
C1orf109	94	134	199	296
C1orf112	359	390	598	857
C1orf122	96	121	140	298
C1orf123	123	177	219	335
C1orf131	179	250	355	462
C1orf159	39	36	48	69
C1orf174	128	170	211	318
C1orf198	129	183	253	381
C1orf21	16	17	33	40
C1orf216	20	24	22	52
C1orf27	91	113	165	251
C1orf35	116	163	156	297
C1orf43	316	367	664	826
C1orf50	48	58	93	100
C1orf52	132	213	243	420
C1orf56	38	40	48	85
C1orf63	21	34	52	100
C1orf74	10	22	35	35
C1orf85	166	263	323	424
C1orf86	42	58	74	130
C20orf194	41	51	89	104
C20orf27	256	337	487	814
C20orf96	47	61	83	121
C21orf2	13	25	28	52
C21orf33	528	772	1013	1477
C21orf58	1	2	0	11
C21orf59	620	784	1003	1621
C21orf91	57	58	124	152
C22orf29	108	118	148	210
C22orf39	50	73	92	152
C22orf46	8	8	14	22
C2CD2L	31	40	65	104
C2CD3	80	103	191	216
C2CD5	204	267	400	502
C2orf42	20	25	25	40
C2orf43	71	92	136	162
C2orf44	131	207	313	360
C2orf47	194	253	309	462
C2orf49	113	158	227	279
C2orf68	18	34	39	36
C2orf69	76	113	163	221
C2orf74	6	7	18	18
C2orf76	31	32	67	80
C3orf14	70	87	117	125
C3orf17	141	172	260	356
C3orf33	41	38	64	78
C3orf37	521	726	1053	1388
C3orf38	118	152	216	308
C3orf52	35	36	55	59
C3orf58	103	116	174	265
C3orf62	0	1	1	0
C3orf67	4	5	16	11
C4B_2	2	2	12	16
C4orf21	88	136	186	217
C4orf27	260	275	452	593
C4orf29	61	64	127	184
C4orf3	77	101	148	281
C4orf32	53	68	138	157
C4orf33	23	24	58	58
C4orf46	29	33	70	84
C5	0	2	2	4
C5orf15	683	851	1180	1647
C5orf22	368	499	662	794
C5orf24	247	321	395	670
C5orf28	23	41	33	59
C5orf30	87	132	168	235
C5orf34	180	240	327	457
C5orf42	348	369	578	779
C5orf45	22	33	57	63
C5orf51	282	354	459	614
C5orf54	49	60	105	179
C6orf106	157	228	284	431
C6orf120	115	158	245	315
C6orf136	91	95	138	254
C6orf163	1	1	0	2
C6orf170	120	138	181	282
C6orf203	101	107	168	224
C6orf211	609	759	1122	1441
C6orf47	45	59	77	124
C6orf48	1	6	10	4
C6orf57	34	40	81	103
C6orf62	23	35	63	88
C6orf70	87	93	129	174
C6orf89	130	217	277	398
C7orf10	11	8	24	24
C7orf25	67	97	160	187
C7orf26	55	84	90	143
C7orf31	3	16	12	16
C7orf41	29	49	71	75
C7orf43	31	84	84	114
C7orf49	78	97	136	217
C7orf50	171	294	337	579
C7orf55-LUC7L2	1429	1800	2393	3347
C7orf60	90	93	158	174
C7orf63	22	29	29	37
C7orf73	91	145	189	288
C8orf33	181	262	336	577
C8orf34	17	28	46	68
C8orf47	28	59	65	109
C8orf59	289	322	525	605
C8orf76	98	126	175	214
C8orf82	47	65	86	144
C9orf114	181	253	321	456
C9orf123	120	162	234	346
C9orf129	56	57	88	126
C9orf142	108	134	194	288
C9orf156	52	81	114	145
C9orf16	49	72	86	124
C9orf3	13	23	36	80
C9orf37	9	9	13	25
C9orf40	95	140	232	325
C9orf41	134	188	291	396
C9orf64	179	227	296	466
C9orf69	13	33	36	58
C9orf72	38	60	99	105
C9orf78	261	336	429	610
C9orf85	43	49	62	111
C9orf89	32	56	67	82
C9orf9	18	18	28	54
C9orf91	19	27	33	56
CA11	5	9	17	21
CA2	301	411	583	852
CA5B	56	75	62	132
CA8	89	122	158	220
CAAP1	130	169	235	315
CAB39	384	456	720	931
CAB39L	7	6	12	18
CABIN1	291	402	517	815
CABLES1	56	67	102	119
CABLES2	35	36	71	106
CACHD1	169	250	358	518
CACNA1B	6	6	12	19
CACNA1C	3	5	10	16
CACNA1D	3	7	4	18
CACNA1H	6	3	18	19
CACNA2D1	169	198	303	359
CACNA2D2	24	38	69	89
CACNA2D3	18	23	28	27
CACNB2	18	21	32	54
CACNB3	9	24	27	37
CACNB4	10	18	31	23
CACTIN	72	98	98	207
CACUL1	156	181	259	326
CACYBP	1117	1377	1955	2861
CAD	1271	1795	2156	3376
CADM1	668	897	1134	1598
CADM4	91	157	201	275
CADPS2	183	230	359	447
CALCOCO1	123	160	240	371
CALCOCO2	423	506	813	1110
CALD1	434	613	908	1224
CALM1	1337	1627	2041	3104
CALM2	1493	1886	2278	4099
CALM3	708	958	1221	2009
CALML4	7	5	13	18
CALR	5546	7659	9512	14672
CALU	902	1225	1525	2591
CAMK1	332	432	613	762
CAMK2D	158	221	309	381
CAMK2G	123	157	231	278
CAMK4	105	120	176	224
CAMKK1	83	99	139	173
CAMKK2	98	129	161	226
CAMKMT	28	53	82	111
CAMKV	12	23	27	39
CAMLG	181	206	296	412
CAMSAP1	192	197	288	458
CAMSAP2	142	192	230	333
CAMSAP3	115	160	246	375
CAMTA1	191	260	382	522
CAMTA2	72	88	118	190
CAND1	3336	4109	5862	7688
CAND2	117	226	277	379
CANT1	60	92	121	177
CANX	3807	5242	7099	10428
CAP1	1925	2508	3262	4596
CAP2	139	213	280	382
CAPG	8	14	15	13
CAPN1	432	600	894	1275
CAPN10	26	25	47	73
CAPN2	469	644	828	1223
CAPN7	503	591	910	1182
CAPNS1	2219	2999	4071	5676
CAPRIN1	2966	3801	4809	6725
CAPRIN2	83	96	131	192
CAPZA1	1150	1545	2183	2810
CAPZA2	1095	1408	1826	2436
CAPZB	1109	1367	2038	2946
CARD10	89	125	167	197
CARD8	25	26	35	67
CARHSP1	117	165	217	250
CARKD	40	54	70	112
CARM1	586	759	1169	1534
CARS	315	406	657	768
CARS2	335	430	656	853
CASC3	274	396	494	699
CASC4	137	189	265	365
CASC5	497	669	780	1187
CASD1	37	32	56	74
CASK	522	682	939	1216
CASKIN1	15	14	26	27
CASKIN2	88	125	161	242
CASP2	303	384	477	788
CASP3	275	327	439	674
CASP6	134	197	299	383
CASP7	188	259	378	481
CASP8	287	348	500	700
CASP8AP2	319	374	585	707
CASP9	68	75	111	155
CAST	665	909	1364	1806
CASZ1	35	76	66	153
CAT	243	381	460	627
CATSPER2	0	3	5	6
CAV1	171	216	361	446
CAV2	84	147	163	202
CBFA2T2	78	89	116	185
CBFB	225	330	457	632
CBL	160	221	294	444
CBLB	41	41	68	112
CBLL1	174	228	293	450
CBR1	552	759	1091	1622
CBR3	117	155	240	359
CBR4	209	295	339	480
CBS	368	534	758	1042
CBWD1	293	369	550	662
CBWD2	285	344	533	621
CBWD3	585	717	1094	1223
CBWD6	248	321	495	554
CBX1	379	498	752	1104
CBX2	78	117	179	245
CBX3	1539	1894	2599	3840
CBX4	96	130	165	285
CBX5	556	679	1017	1428
CBX6	498	616	742	1239
CBX8	41	56	92	113
CBY1	80	118	135	204
CC2D1A	308	404	549	847
CC2D1B	132	178	214	394
CC2D2A	62	84	100	155
CCAR1	999	1285	1615	2236
CCBL1	54	52	114	123
CCBL2	417	520	815	925
CCDC101	63	64	88	112
CCDC102A	23	29	54	67
CCDC103	22	23	32	37
CCDC104	186	195	336	391
CCDC106	38	51	64	101
CCDC107	14	36	36	45
CCDC109B	185	265	336	412
CCDC111	72	88	133	155
CCDC112	138	187	272	313
CCDC113	16	38	51	75
CCDC115	39	68	92	144
CCDC117	159	206	282	448
CCDC12	89	128	167	267
CCDC121	22	12	17	26
CCDC122	47	45	73	70
CCDC124	474	665	804	1291
CCDC125	41	52	112	148
CCDC126	15	16	38	50
CCDC127	105	148	214	279
CCDC130	47	84	115	143
CCDC132	261	364	577	668
CCDC134	84	81	152	227
CCDC136	53	60	101	146
CCDC137	117	168	290	371
CCDC138	281	325	485	597
CCDC14	197	281	317	409
CCDC142	17	25	26	36
CCDC144A	18	16	21	24
CCDC146	4	0	1	4
CCDC15	59	73	123	140
CCDC150	11	6	17	24
CCDC157	2	8	11	15
CCDC167	80	123	211	249
CCDC168	0	2	1	1
CCDC171	21	25	26	39
CCDC174	63	111	112	198
CCDC176	6	4	3	5
CCDC18	160	155	191	299
CCDC180	8	10	10	11
CCDC181	42	43	92	90
CCDC22	197	231	340	545
CCDC23	26	29	34	70
CCDC25	201	255	409	510
CCDC28A	119	159	236	292
CCDC28B	67	90	161	208
CCDC3	43	59	94	127
CCDC34	102	146	208	303
CCDC40	12	15	13	22
CCDC41	95	124	196	229
CCDC43	126	197	235	398
CCDC47	905	1301	1646	2535
CCDC50	263	328	477	630
CCDC51	148	212	290	447
CCDC53	79	97	137	170
CCDC57	9	18	27	36
CCDC58	198	257	337	542
CCDC59	372	502	704	852
CCDC6	283	405	600	813
CCDC61	12	21	26	46
CCDC64	6	10	9	14
CCDC66	59	77	110	132
CCDC69	8	17	18	18
CCDC7	8	5	10	11
CCDC71	92	153	185	262
CCDC74A	32	33	47	55
CCDC74B	29	28	48	59
CCDC77	109	145	215	302
CCDC8	84	118	186	261
CCDC80	8	12	33	27
CCDC82	128	201	252	389
CCDC84	13	16	24	30
CCDC85B	59	99	108	215
CCDC85C	116	139	197	302
CCDC86	411	546	737	996
CCDC88A	246	349	551	634
CCDC88C	131	156	231	299
CCDC9	43	51	84	113
CCDC90B	56	73	108	138
CCDC91	174	188	306	388
CCDC92	30	37	68	71
CCDC93	126	155	219	330
CCDC94	131	189	219	345
CCDC97	150	199	261	443
CCHCR1	123	164	265	358
CCM2	34	46	67	97
CCNA2	1222	1674	2226	2812
CCNB1	2475	3080	3825	5473
CCNB1IP1	26	27	63	55
CCNB2	1028	1353	1923	2215
CCNB3	9	11	17	19
CCNC	367	428	641	833
CCND1	387	565	763	1062
CCND2	557	800	1091	1544
CCND3	185	264	360	520
CCNDBP1	248	309	454	635
CCNE1	234	381	439	676
CCNE2	202	226	299	374
CCNF	294	408	483	727
CCNG1	1179	1393	1829	2413
CCNG2	35	60	98	108
CCNH	408	452	820	961
CCNI	319	417	738	854
CCNJ	77	106	170	206
CCNK	323	481	558	877
CCNL1	77	81	131	174
CCNL2	91	115	172	279
CCNT1	390	507	740	1078
CCNT2	116	168	190	226
CCNY	88	114	145	183
CCNYL1	84	96	141	190
CCP110	157	191	288	364
CCPG1	341	470	582	786
CCRN4L	165	256	334	483
CCS	63	91	142	215
CCSAP	122	171	202	316
CCSER1	18	22	21	37
CCSER2	87	123	149	213
CCT2	6497	8252	10754	15557
CCT3	6713	8724	11963	16155
CCT4	5673	7291	9798	13401
CCT5	5956	7791	10455	15069
CCT6A	3749	4680	6435	8727
CCT7	6175	8385	10617	16065
CCT8	6224	7732	10933	14974
CCZ1	483	560	935	1117
CCZ1B	479	547	923	1099
CD101	0	1	0	2
CD109	181	229	363	433
CD151	825	1280	1703	2520
CD164	726	1028	1345	1797
CD276	383	588	793	1153
CD2AP	622	721	1028	1385
CD2BP2	250	346	418	695
CD320	499	714	925	1489
CD3EAP	130	169	246	326
CD46	272	423	501	800
CD47	263	380	498	639
CD55	176	231	299	408
CD58	68	89	126	182
CD59	321	419	616	862
CD63	1138	1652	2024	3305
CD81	1220	1722	2192	3337
CD83	16	35	35	44
CD9	705	958	1175	1943
CD97	470	649	918	1284
CD99	432	596	782	1246
CD99L2	126	157	210	302
CDADC1	23	25	38	56
CDAN1	85	105	140	232
CDC123	1393	1646	2431	2973
CDC14A	82	102	153	180
CDC14B	45	49	92	96
CDC16	512	595	869	1125
CDC20	1834	2551	3167	5069
CDC23	711	956	1236	1828
CDC25A	465	648	866	1250
CDC25B	657	971	1125	1815
CDC25C	222	282	406	560
CDC26	47	55	80	133
CDC27	1112	1287	1781	2470
CDC34	165	234	325	501
CDC37	1533	2192	2736	4248
CDC37L1	48	67	92	112
CDC40	365	421	661	881
CDC42	2097	2687	3604	5323
CDC42BPA	212	303	391	430
CDC42BPB	242	324	500	633
CDC42EP1	128	170	251	403
CDC42EP2	11	11	16	43
CDC42EP3	27	35	60	78
CDC42EP4	88	112	167	239
CDC42SE1	78	92	91	198
CDC42SE2	52	79	71	134
CDC45	486	662	924	1225
CDC5L	1236	1643	2223	2998
CDC6	586	724	906	1426
CDC7	695	841	1270	1594
CDC73	340	412	555	779
CDCA2	492	640	791	1218
CDCA3	418	621	825	1120
CDCA4	238	334	446	641
CDCA5	194	263	327	521
CDCA7	344	446	628	1020
CDCA7L	281	371	559	658
CDCA8	399	494	565	943
CDH2	693	941	1180	1736
CDH23	13	18	24	39
CDH24	6	12	21	26
CDHR1	20	39	71	63
CDIP1	146	221	281	419
CDIPT	166	243	351	489
CDK1	2149	2555	3782	4922
CDK10	12	32	37	37
CDK11B	433	532	671	1156
CDK12	520	730	912	1344
CDK13	208	295	351	537
CDK14	52	84	101	132
CDK16	71	113	162	217
CDK17	255	287	409	519
CDK18	38	23	61	49
CDK19	29	54	63	117
CDK2	562	747	930	1324
CDK20	31	59	62	100
CDK2AP1	251	368	428	685
CDK2AP2	72	106	136	190
CDK3	0	1	4	2
CDK4	779	1066	1494	2139
CDK5	200	259	353	545
CDK5R1	8	20	25	35
CDK5RAP1	204	285	420	524
CDK5RAP2	390	510	656	908
CDK5RAP3	275	316	392	638
CDK6	215	383	468	620
CDK7	202	232	347	481
CDK8	165	184	241	326
CDK9	224	327	381	567
CDKAL1	235	306	399	551
CDKL1	16	17	33	37
CDKL2	34	41	60	89
CDKL5	13	22	35	38
CDKN1A	206	266	307	546
CDKN1B	148	215	245	400
CDKN2A	1029	1549	1951	3537
CDKN2AIP	167	183	227	345
CDKN2AIPNL	322	476	551	876
CDKN2B	81	118	179	321
CDKN2C	108	133	177	282
CDKN3	208	267	384	470
CDON	76	104	137	164
CDR2	137	183	242	323
CDR2L	28	34	57	74
CDRT4	2	0	2	2
CDS1	112	92	171	211
CDS2	231	299	371	552
CDT1	687	982	1248	1933
CDV3	462	612	792	1130
CDX2	98	152	154	302
CDYL	160	225	301	411
CEBPA	166	212	328	439
CEBPB	51	78	138	165
CEBPG	358	453	725	791
CEBPZ	616	763	1127	1392
CECR2	125	136	209	259
CECR5	223	348	478	686
CELF1	616	790	1193	1601
CELF2	270	333	461	644
CELSR1	85	121	199	265
CELSR2	149	236	326	414
CELSR3	66	74	126	162
CENPA	46	51	100	121
CENPB	111	188	239	352
CENPC1	155	199	266	351
CENPE	1027	1307	1574	2266
CENPF	1946	2522	3284	4457
CENPH	310	428	631	768
CENPI	207	213	294	452
CENPJ	267	359	481	619
CENPK	175	187	320	380
CENPL	55	58	92	124
CENPM	262	339	451	704
CENPN	103	137	203	274
CENPO	71	98	149	207
CENPP	37	60	86	129
CENPQ	174	185	293	327
CENPT	158	197	266	446
CENPV	208	256	365	492
CENPW	419	567	796	1112
CEP104	161	195	289	405
CEP112	78	81	131	150
CEP120	133	167	242	362
CEP128	46	65	96	111
CEP135	201	278	371	462
CEP152	126	155	232	269
CEP164	50	87	110	151
CEP170	483	584	853	1105
CEP170B	146	249	315	485
CEP19	11	12	20	25
CEP192	444	469	664	922
CEP250	142	158	236	342
CEP290	240	296	518	542
CEP350	250	328	431	579
CEP41	123	166	257	302
CEP44	73	101	158	192
CEP55	431	539	848	982
CEP57	214	258	359	497
CEP57L1	134	165	235	308
CEP63	56	68	89	114
CEP68	86	107	153	233
CEP70	46	67	113	106
CEP72	71	105	150	240
CEP76	192	206	320	434
CEP78	283	318	392	565
CEP85	204	339	350	632
CEP85L	84	110	174	189
CEP89	218	304	392	530
CEP95	96	112	142	222
CEP97	193	201	371	462
CEPT1	337	377	557	790
CERCAM	115	144	219	284
CERK	150	205	227	320
CERS1	123	160	200	319
CERS2	759	1046	1241	2051
CERS4	87	127	150	241
CERS5	198	277	326	472
CERS6	224	334	405	624
CES2	11	11	27	48
CES3	33	41	40	86
CETN2	248	350	403	733
CETN3	230	289	407	599
CFD	14	21	37	45
CFDP1	188	254	370	532
CFL1	2498	3658	4612	7214
CFL2	453	518	759	1066
CFLAR	47	67	69	114
CGGBP1	142	230	367	483
CGN	56	95	110	131
CGNL1	49	62	83	104
CGRRF1	54	55	78	108
CHAC2	154	195	252	381
CHAF1A	435	625	801	1210
CHAF1B	524	615	911	1266
CHAMP1	358	489	640	939
CHCHD1	369	522	665	964
CHCHD10	252	300	535	698
CHCHD2	2009	2832	3644	5681
CHCHD3	575	824	1009	1465
CHCHD4	123	159	254	392
CHCHD5	61	83	135	194
CHCHD6	64	95	162	223
CHCHD7	87	99	175	203
CHD1	814	951	1420	1836
CHD1L	353	428	601	831
CHD2	121	145	216	370
CHD3	210	312	437	601
CHD4	2816	3616	4934	7162
CHD6	246	289	353	563
CHD7	295	411	572	775
CHD8	701	925	1270	1797
CHD9	161	177	312	401
CHDH	66	111	112	175
CHEK1	338	356	544	748
CHEK2	386	457	732	803
CHERP	888	1169	1447	2444
CHFR	61	93	109	160
CHIC1	18	27	26	49
CHIC2	45	55	83	101
CHID1	258	341	499	707
CHKA	125	166	266	304
CHKB	15	19	26	39
CHM	129	157	239	357
CHML	132	168	271	322
CHMP1A	239	348	475	664
CHMP1B	160	249	304	466
CHMP2A	288	399	557	833
CHMP2B	311	411	554	712
CHMP4B	352	470	588	844
CHMP4C	49	69	104	119
CHMP5	586	763	1119	1443
CHMP6	46	60	95	117
CHMP7	140	207	326	414
CHN1	59	101	146	190
CHN2	4	7	20	23
CHORDC1	449	553	871	1268
CHP1	155	214	257	438
CHPF	158	212	267	460
CHPF2	92	124	125	257
CHPT1	256	321	458	640
CHRAC1	92	129	172	237
CHRFAM7A	20	41	62	74
CHRNA5	138	181	240	304
CHRNA7	26	51	79	87
CHST10	45	64	101	153
CHST11	128	190	234	340
CHST12	69	101	107	183
CHST14	146	201	241	402
CHST15	28	46	66	82
CHST2	2	0	0	1
CHST3	32	47	66	74
CHST7	29	33	68	89
CHSY1	31	55	84	106
CHSY3	48	71	66	109
CHTF18	123	152	204	300
CHTF8	59	86	97	138
CHTOP	544	742	833	1355
CHUK	256	352	468	676
CHURC1-FNTB	249	370	445	737
CIAO1	354	515	790	1043
CIAPIN1	391	601	762	1082
CIB1	139	193	315	480
CIB2	5	5	10	13
CIC	93	140	156	279
CILP2	59	79	94	193
CINP	174	252	336	445
CIR1	116	176	237	360
CIRBP	184	218	235	501
CIRH1A	718	861	1207	1632
CISD1	273	345	466	678
CISD2	340	427	607	772
CISD3	62	75	120	163
CIT	429	569	750	1020
CITED1	23	35	46	67
CITED2	161	242	292	474
CIZ1	393	550	637	1021
CKAP2	2011	2349	3072	4218
CKAP2L	217	281	346	474
CKAP4	673	824	1096	1736
CKAP5	2860	3555	5057	6655
CKB	7989	11534	15594	23210
CKMT1A	565	718	1077	1554
CKMT1B	564	707	1073	1554
CKS1B	263	425	562	777
CKS2	555	735	1097	1474
CLASP1	269	351	492	627
CLASP2	312	403	635	884
CLASRP	112	169	206	311
CLCC1	292	397	515	767
CLCN2	21	25	34	39
CLCN3	212	256	315	463
CLCN5	39	58	77	141
CLCN6	27	38	42	61
CLCN7	155	200	244	406
CLDN12	80	104	156	208
CLDN15	0	0	4	1
CLDND1	144	196	303	326
CLEC16A	56	77	82	167
CLGN	163	170	272	346
CLHC1	3	8	8	15
CLIC1	886	1318	1753	2484
CLIC4	803	1073	1589	2000
CLINT1	1050	1298	1730	2517
CLIP1	269	357	501	692
CLIP2	10	12	22	22
CLIP4	48	57	91	112
CLK1	143	165	233	321
CLK2	70	133	187	252
CLK3	203	296	395	577
CLK4	77	81	122	159
CLMN	55	83	123	128
CLN3	76	99	141	243
CLN5	59	99	133	207
CLN6	228	311	406	620
CLN8	26	33	55	81
CLNS1A	908	1275	1762	2237
CLOCK	43	74	81	113
CLP1	136	163	180	295
CLPB	360	475	643	829
CLPP	427	599	857	1264
CLPTM1	548	749	963	1496
CLPTM1L	404	546	705	1148
CLPX	391	515	840	941
CLSPN	878	1217	1465	2127
CLSTN1	787	1162	1366	2129
CLSTN3	133	200	262	332
CLTA	811	1112	1329	1932
CLTB	268	324	427	721
CLTC	8911	10661	14815	20957
CLTCL1	107	148	173	252
CLU	696	1025	1428	1785
CLUAP1	92	138	174	230
CLUH	1062	1392	1872	2886
CLYBL	12	16	20	40
CMAS	431	597	828	1065
CMBL	488	584	944	1230
CMC1	87	123	166	244
CMC2	61	73	84	144
CMC4	31	35	53	65
CMIP	130	204	298	335
CMPK1	502	717	914	1303
CMSS1	187	260	444	504
CMTM3	34	41	86	125
CMTM4	35	49	77	95
CMTM6	237	282	423	569
CMTM7	71	83	89	173
CMTM8	69	84	101	194
CMYA5	0	0	1	3
CNBP	1828	2426	2967	4303
CNDP2	361	472	619	1003
CNEP1R1	26	16	38	53
CNIH	434	534	635	1026
CNIH4	451	585	875	1064
CNN2	316	473	678	1009
CNN3	1451	1874	2660	3324
CNNM1	87	157	162	275
CNNM2	36	92	97	151
CNNM3	126	152	211	289
CNNM4	68	77	132	207
CNOT1	1640	2093	3116	4141
CNOT10	465	526	770	1037
CNOT11	329	439	699	862
CNOT2	382	465	620	860
CNOT3	420	555	727	1061
CNOT4	115	185	235	348
CNOT6	152	209	332	408
CNOT6L	96	144	201	247
CNOT7	167	206	332	354
CNOT8	263	253	383	582
CNP	435	624	792	1263
CNPPD1	155	216	217	439
CNPY2	448	596	781	1132
CNPY3	111	157	216	275
CNPY4	16	33	38	63
CNRIP1	12	17	34	52
CNST	29	36	69	92
CNTF	0	2	4	2
CNTLN	153	141	205	289
CNTN1	83	126	200	190
CNTNAP1	22	15	40	45
CNTNAP3	20	30	48	78
