	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
EXOSC7	936	734	1074	1046
EXOSC8	896	634	1097	1052
EXOSC9	1593	1146	1660	1611
EXPH5	410	343	556	424
EXT1	844	659	750	634
EXT2	1482	1041	1410	1341
EXTL2	216	188	257	188
EXTL3	354	286	401	348
EYA1	159	140	142	147
EYA2	65	27	52	32
EYA3	689	568	749	543
EYA4	446	305	374	356
EZH1	284	258	321	292
EZH2	1449	1098	1403	1318
EZR	1967	1364	1816	1784
F11R	135	133	147	169
F2R	92	81	111	115
F2RL1	131	82	148	116
F8	94	93	101	89
FABP5	612	407	592	674
FADD	177	99	194	170
FADS1	474	299	439	330
FADS2	399	236	316	249
FADS3	55	41	61	54
FAF1	1651	1268	1837	1645
FAF2	1001	719	846	806
FAH	380	282	411	337
FAHD1	156	120	218	187
FAHD2A	520	421	474	401
FAHD2B	447	343	352	316
FAIM	679	443	801	764
FAM101B	99	81	90	99
FAM102A	43	32	53	44
FAM102B	229	160	270	257
FAM103A1	400	276	460	404
FAM104A	93	63	94	78
FAM104B	58	29	46	53
FAM105A	118	93	146	130
FAM105B	243	196	293	280
FAM107B	92	65	96	102
FAM110B	39	36	40	31
FAM114A1	73	45	54	69
FAM114A2	418	286	395	381
FAM115A	874	727	961	842
FAM117A	92	80	117	71
FAM117B	206	232	236	222
FAM118A	178	119	197	180
FAM118B	356	263	395	365
FAM120A	2389	2308	2625	2377
FAM120AOS	93	49	86	57
FAM120B	895	749	985	833
FAM120C	159	149	177	143
FAM122A	141	93	137	118
FAM122B	201	226	284	211
FAM126A	654	455	611	584
FAM126B	365	288	374	337
FAM127A	135	113	108	96
FAM127B	58	56	83	61
FAM127C	67	45	73	72
FAM129A	44	24	35	34
FAM129B	724	495	716	644
FAM133B	797	678	828	866
FAM134A	538	350	538	494
FAM134B	53	41	41	43
FAM134C	452	304	464	346
FAM135A	1071	774	1163	1044
FAM136A	437	323	460	397
FAM13A	529	427	563	549
FAM13B	1012	942	1157	1028
FAM13C	36	26	52	42
FAM149A	27	32	36	33
FAM149B1	175	155	226	225
FAM151B	44	30	62	45
FAM155B	65	62	59	52
FAM156A	344	270	312	318
FAM160A1	147	147	199	136
FAM160A2	336	286	346	309
FAM160B1	376	300	421	371
FAM160B2	85	61	93	81
FAM161A	225	176	279	275
FAM161B	71	68	69	63
FAM162A	777	538	826	864
FAM168A	61	42	46	30
FAM168B	243	165	197	161
FAM169A	670	505	838	778
FAM171A1	522	421	552	484
FAM171A2	92	62	96	90
FAM171B	368	251	331	300
FAM172A	239	184	253	264
FAM173A	90	57	140	128
FAM173B	171	147	233	178
FAM174A	51	31	64	54
FAM175A	145	98	134	116
FAM175B	398	271	412	390
FAM177A1	269	177	250	240
FAM178A	1447	1180	1661	1495
FAM179B	378	293	408	365
FAM184A	572	410	678	645
FAM185A	195	158	266	254
FAM188A	965	675	1067	1081
FAM188B	164	140	153	148
FAM189B	218	265	318	254
FAM192A	649	465	588	568
FAM193A	441	465	582	532
FAM193B	330	352	462	312
FAM195A	63	37	81	59
FAM195B	116	86	136	149
FAM198A	70	67	75	77
FAM199X	1139	917	1089	959
FAM200A	208	156	238	215
FAM200B	290	216	353	327
FAM203A	340	223	360	343
FAM204A	610	414	739	791
FAM206A	96	59	103	111
FAM207A	362	271	356	400
FAM208A	2932	2174	3262	2968
FAM208B	7380	5953	8108	7312
FAM20B	580	485	663	626
FAM20C	38	28	34	36
FAM210A	202	170	218	211
FAM210B	103	88	138	136
FAM213A	288	247	371	408
FAM214A	189	166	234	183
FAM216A	471	332	485	421
FAM217B	314	254	319	290
FAM219A	64	51	65	63
FAM219B	148	126	174	177
FAM21A	2714	2172	2921	2807
FAM21B	2431	1962	2605	2470
FAM21C	2558	2038	2749	2651
FAM220A	128	100	156	173
FAM221A	39	22	46	37
FAM222A	43	29	31	19
FAM222B	39	56	50	43
FAM227A	78	74	75	73
FAM229B	97	89	133	134
FAM32A	244	192	334	317
FAM35A	1192	914	1319	1167
FAM3A	302	215	284	276
FAM3C	471	325	472	457
FAM46A	107	81	133	114
FAM46C	49	45	38	34
FAM49B	1127	721	1095	1057
FAM50A	1418	961	1330	1446
FAM50B	35	13	27	31
FAM53B	257	218	292	236
FAM53C	484	346	320	302
FAM57A	134	86	133	115
FAM58A	387	268	361	305
FAM5C	39	21	35	37
FAM60A	687	540	701	646
