	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
FAM63A	114	107	153	113
FAM63B	167	122	178	140
FAM64A	208	173	225	229
FAM65A	90	200	209	135
FAM69A	115	96	166	152
FAM69B	516	391	620	519
FAM72A	297	224	308	228
FAM72B	300	238	303	231
FAM72D	296	211	287	209
FAM73A	477	335	575	493
FAM73B	282	205	268	263
FAM76A	333	254	338	345
FAM76B	284	158	224	241
FAM81A	56	42	82	37
FAM83B	72	73	104	70
FAM83D	794	650	797	701
FAM83G	216	225	287	272
FAM83H	111	118	132	127
FAM84B	225	169	215	210
FAM86A	205	163	256	208
FAM86B1	71	48	57	53
FAM86B2	54	38	48	43
FAM89A	74	44	104	112
FAM89B	38	36	64	45
FAM8A1	255	217	286	316
FAM91A1	1426	1074	1453	1371
FAM92A1	392	246	442	415
FAM96A	417	334	529	576
FAM98A	1068	828	1107	1026
FAM98B	297	355	471	309
FAM98C	50	32	66	56
FAN1	645	520	720	661
FANCA	1227	1145	1508	1205
FANCB	904	698	1053	1026
FANCC	253	222	306	249
FANCD2	3399	2826	3873	3541
FANCE	247	192	311	245
FANCG	516	422	569	477
FANCI	5031	3988	5351	5003
FANCL	497	402	570	580
FANCM	1340	1141	1444	1419
FAR1	1650	1258	1775	1677
FAR2	407	296	364	338
FARP1	360	364	423	324
FARP2	499	364	547	489
FARS2	361	285	360	382
FARSA	1702	1347	1970	1953
FARSB	1731	1447	1816	1420
FAS	56	50	66	65
FASN	5684	8537	10375	7717
FASTK	600	396	551	519
FASTKD1	1019	773	1001	914
FASTKD2	1327	904	1425	1266
FASTKD3	380	263	359	348
FASTKD5	819	609	952	675
FAT1	4331	3634	4940	4312
FAT3	293	241	344	291
FAT4	488	441	550	505
FAU	4810	3335	4907	4671
FAXC	112	114	144	142
FBF1	291	235	316	245
FBL	2668	2213	2767	2755
FBLIM1	41	31	41	48
FBLN1	137	120	187	156
FBN1	721	611	919	781
FBN2	2507	2434	3268	2880
FBRS	129	181	204	122
FBRSL1	131	157	230	192
FBXL12	109	77	113	105
FBXL14	142	104	128	97
FBXL15	88	71	148	128
FBXL17	139	116	153	123
FBXL18	120	128	143	130
FBXL19	603	459	726	596
FBXL2	132	93	146	112
FBXL20	187	200	211	181
FBXL3	943	674	978	871
FBXL4	438	369	489	475
FBXL5	993	681	1089	952
FBXL6	173	137	181	169
FBXO10	305	297	410	267
FBXO11	676	723	1073	918
FBXO16	36	38	40	47
FBXO18	1525	1194	1604	1471
FBXO21	983	675	1018	911
FBXO22	1015	781	1269	1175
FBXO25	235	150	205	174
FBXO28	930	725	1010	873
FBXO3	639	466	695	644
FBXO30	749	646	923	787
FBXO31	193	149	229	233
FBXO32	53	35	59	55
FBXO33	443	290	375	440
FBXO34	669	440	647	552
FBXO38	627	481	696	562
FBXO4	138	97	129	125
FBXO42	465	378	467	444
FBXO44	81	50	86	65
FBXO45	136	96	140	116
FBXO46	99	123	111	111
FBXO5	1446	1093	1483	1399
FBXO7	1373	1032	1543	1261
FBXO8	172	124	202	179
FBXO9	817	680	1030	889
FBXW11	895	773	959	993
FBXW2	749	655	855	842
FBXW4	201	137	239	198
FBXW5	681	481	681	568
FBXW7	501	389	475	441
FBXW8	162	185	230	219
FBXW9	166	141	136	178
FCF1	323	257	395	374
FCGBP	25	28	53	33
FCGRT	61	49	51	58
FCHO2	379	300	379	356
FCHSD1	64	65	83	55
FCHSD2	316	295	379	347
FDFT1	1609	1207	1601	1468
FDPS	2374	1676	2414	2225
FDX1	405	289	414	472
FDX1L	123	87	148	154
FDXACB1	154	106	185	158
FDXR	213	174	252	238
FECH	368	248	401	329
FEM1A	964	738	851	789
FEM1B	1681	1157	1807	1556
FEM1C	391	399	506	414
FEN1	1670	1298	1815	1772
FER	499	354	552	472
FERMT1	32	29	43	42
FERMT2	847	623	789	768
FEZ1	46	29	52	47
FEZ2	268	201	322	337
FGD1	232	243	312	258
FGD4	80	73	82	93
FGD6	190	191	206	180
FGF2	29	22	44	42
FGFR1	420	416	506	395
FGFR1OP	720	583	944	854
FGFR1OP2	479	310	498	484
FGFR2	392	327	432	341
FGFR3	509	438	499	427
FGFR4	143	147	167	132
FGFRL1	167	164	172	150
FGGY	66	55	75	69
FH	2315	1598	2229	2017
FHAD1	35	32	40	34
FHL1	570	473	632	586
FHL2	90	61	92	92
FHOD1	379	420	470	449
FHOD3	161	139	180	172
FIBP	607	503	607	584
FICD	44	47	42	40
FIG4	502	397	515	490
FIGN	101	119	182	156
FIGNL1	1696	1201	1666	1441
FIP1L1	460	269	386	368
FIS1	511	349	551	534
FITM2	78	61	100	74
FJX1	81	55	118	97
FKBP10	1025	778	926	850
FKBP11	46	58	52	47
FKBP14	216	169	291	272
FKBP15	757	684	857	698
FKBP1A	371	253	366	311
FKBP2	170	123	209	209
FKBP3	1509	1203	1561	1617
FKBP4	6426	4858	6851	6320
FKBP5	443	367	478	489
FKBP7	143	121	154	130
FKBP8	1135	909	1295	1298
FKBP9	299	230	353	362
FKBPL	198	137	229	178
FKRP	88	80	106	91
FKTN	348	250	341	341
FLAD1	906	666	970	856
FLCN	569	463	668	544
FLII	5402	4028	5082	4710
FLJ00285	1046	1040	1145	863
FLJ00322	284	230	306	223
FLJ14346	50	45	54	37
FLJ44955	70	111	140	122
FLNA	9426	9793	10640	8874
FLNB	4305	3988	4726	4298
FLNC	794	827	977	823
FLOT1	341	357	420	443
FLOT2	298	334	441	395
FLRT3	80	70	82	61
FLT1	109	67	121	92
FLT4	367	345	391	375
FLVCR1	448	399	522	434
FLYWCH1	321	302	440	416
FLYWCH2	184	148	179	192
FMN2	122	134	175	188
FMNL2	753	690	877	857
FMNL3	115	123	156	137
FMO4	35	19	31	38
FMR1	1476	1253	1675	1617
FN1	319	375	385	367
FN3KRP	275	181	270	278
FNBP1	293	278	376	305
FNBP1L	377	258	386	366
FNBP4	1408	1153	1540	1450
FNDC3A	1845	1407	1898	1667
FNDC3B	435	373	469	421
FNDC4	36	14	26	30
FNIP2	540	430	672	549
FNTA	732	515	707	715
FOCAD	2627	2015	2807	2411
FOPNL	220	156	263	245
FOXA1	30	26	45	31
FOXC1	554	466	534	451
FOXD1	120	79	125	116
FOXF2	54	46	74	58
FOXG1	92	68	85	64
FOXJ2	54	53	67	44
FOXJ3	318	280	333	298
FOXK1	237	271	260	192
FOXK2	891	736	917	764
FOXM1	849	819	990	750
FOXN2	205	172	258	199
FOXN3	166	145	154	152
FOXO1	180	178	238	200
FOXO3	726	598	760	606
FOXO4	80	54	57	58
FOXP1	423	313	354	290
FOXP2	199	146	200	133
FOXP4	71	104	134	98
FOXRED1	460	331	495	434
FOXRED2	837	1229	1246	1042
FPGS	417	287	450	406
FPGT-TNNI3K	101	58	94	75
FRA10AC1	333	258	364	380
FRAS1	741	874	1040	888
FRAT2	38	32	56	71
FREM2	848	685	932	790
FRG1	462	324	440	467
FRMD4A	74	88	102	91
FRMD4B	67	36	70	52
FRMD5	52	45	59	62
FRMD6	282	200	272	235
FRMD8	127	82	172	142
FRRS1	275	201	287	220
FRS2	365	312	382	335
FRY	119	108	131	118
FRYL	1186	1004	1327	1223
FSBP	113	86	150	111
FSCN1	135	138	157	133
FSD1	221	210	252	242
FSD1L	96	91	143	102
FSIP2	153	146	131	166
FSTL1	511	398	533	475
FTH1	2263	2354	2957	2716
FTL	2499	1813	2193	1735
FTO	724	671	906	869
FTSJ1	351	275	326	281
FTSJ2	439	311	416	323
FTSJ3	2498	1841	2565	2509
FTSJD1	309	227	330	266
FTSJD2	1542	1311	1761	1695
FUBP1	4949	3266	4587	3919
FUBP3	1079	735	842	760
FUCA1	303	197	289	295
FUCA2	1303	914	1334	1245
FUK	117	111	150	135
FUNDC1	175	125	189	217
FUNDC2	755	486	729	687
FUOM	111	69	110	127
FURIN	330	293	386	330
FUS	1380	1772	2016	1579
FUT10	183	123	202	163
FUT11	130	94	130	153
FUT4	30	20	43	24
FUT8	446	357	531	459
FUZ	287	213	305	250
FXN	301	230	357	311
FXR1	1864	1407	1851	1926
FXR2	974	664	903	892
FXYD5	111	79	72	55
FYCO1	519	477	819	660
FYN	746	594	752	774
FYTTD1	528	372	538	473
FZD1	81	59	73	68
FZD2	48	41	48	37
FZD3	290	263	387	353
FZD4	56	30	72	36
FZD5	57	51	53	42
FZD6	584	480	590	537
FZD7	89	75	106	97
FZD8	51	62	52	62
FZD9	73	33	71	51
FZR1	316	255	319	296
G2E3	1152	855	1359	1233
G3BP1	6115	4576	6272	5972
G3BP2	2465	1870	2592	2612
G6PC3	205	214	231	176
G6PD	452	403	460	415
GAA	573	553	659	555
GAB1	178	124	164	137
GABARAP	388	252	370	300
GABARAPL1	61	44	77	85
GABARAPL2	481	342	473	432
GABBR1	84	131	160	107
GABBR2	33	29	34	33
GABPA	1031	753	1085	1079
GABPB1	393	297	453	358
GABPB2	193	139	211	192
GABRB3	166	142	191	161
GAD1	124	81	157	100
GADD45A	31	28	32	49
GADD45B	56	34	39	27
GADD45GIP1	691	511	716	783
GAK	899	734	875	763
GAL	281	191	249	197
GALC	49	33	58	38
GALE	200	148	204	182
GALK1	233	182	218	218
GALK2	225	155	270	250
GALM	246	149	279	223
GALNS	129	96	114	128
GALNT1	956	628	985	929
GALNT10	95	99	83	102
GALNT11	577	464	595	601
GALNT12	75	44	75	73
GALNT13	562	463	690	672
GALNT16	43	56	55	52
GALNT18	242	153	204	176
GALNT2	948	765	1056	978
GALNT3	29	34	59	45
GALNT4	143	111	177	138
GALNT6	45	37	58	51
GALNT7	587	470	685	613
GALT	188	112	196	148
GAMT	143	90	113	119
GAN	397	307	530	523
GANAB	4725	4875	5892	5230
GANC	117	123	184	149
GAPDH	28567	19714	26075	21525
GAPVD1	3216	2647	3603	3240
GAR1	266	195	269	278
GAREM	82	79	108	97
GAREML	62	53	69	60
GARNL3	205	179	215	209
GARS	4110	3243	4623	4591
GART	5688	4355	6017	5774
GAS1	49	28	74	68
GAS2L3	261	195	276	255
GAS6	75	44	70	63
GAS8	220	166	246	263
GATA2	81	77	91	82
GATA4	39	42	48	47
GATA6	93	76	128	82
GATAD1	170	122	159	145
GATAD2A	954	803	924	884
GATAD2B	247	373	418	357
GATC	196	170	270	249
GATS	38	32	28	36
GATSL1	75	77	105	86
GATSL2	78	77	106	87
GBA	479	338	470	374
GBA2	867	749	1038	913
GBAS	621	363	564	572
GBE1	803	575	895	754
GBF1	1772	1961	2183	1843
GCA	246	155	219	205
GCAT	405	311	410	332
GCC1	494	359	493	503
GCC2	1551	1398	1841	1731
GCDH	426	290	450	394
GCFC2	1256	875	1161	1062
GCH1	95	70	98	99
GCHFR	27	17	32	31
GCLC	629	502	668	628
GCLM	458	396	507	460
GCN1L1	5140	4867	6255	5716
GCNT1	67	50	114	98
GCOM1	438	296	396	370
GCSH	599	370	696	716
GDAP1	292	233	331	314
GDAP2	526	480	591	496
GDE1	662	458	687	598
GDF11	69	55	58	71
GDI1	1009	737	894	755
GDI2	4382	2990	4383	4253
GDPD1	89	56	95	63
GDPD5	39	32	35	21
GDPGP1	80	87	112	87
GEMIN2	515	391	625	613
GEMIN4	1889	1623	2023	1819
GEMIN5	2863	2321	3341	3026
GEMIN6	434	300	519	441
GEMIN7	117	96	149	132
GEMIN8	76	70	89	72
GEN1	985	767	987	887
GET4	333	240	390	365
GFER	106	59	108	92
GFI1	31	33	40	42
GFM1	1977	1452	2098	1999
GFM2	1296	884	1457	1263
GFOD1	69	56	63	96
GFOD2	150	118	178	176
GFPT1	861	655	998	966
GFPT2	149	145	171	146
GGA1	476	368	487	438
GGA2	1148	1002	1216	1195
GGA3	288	223	312	265
GGCT	603	413	592	551
GGCX	555	440	574	514
GGH	627	457	690	676
GGNBP2	775	672	988	883
GGPS1	789	632	866	775
GGT7	185	174	189	168
GHDC	126	123	153	136
GHITM	3077	2001	3028	2848
GID4	132	132	162	165
GID8	490	347	505	520
GIGYF1	579	531	736	642
GIGYF2	2339	1690	2349	2198
GIN1	116	92	127	101
GINM1	449	380	590	545
GINS1	306	270	345	381
GINS2	1023	784	1151	1130
GINS3	319	208	304	246
GINS4	369	318	370	388
GIPC1	569	407	490	437
GIT1	249	296	270	256
GIT2	482	433	495	469
GJA1	391	323	407	346
GJC1	300	293	333	345
GK	393	270	373	372
GK5	295	254	393	394
GKAP1	101	105	144	153
GLA	4221	2763	3908	3365
GLB1	1106	768	992	883
GLB1L	57	49	67	39
GLB1L2	352	300	372	328
GLB1L3	41	36	56	36
GLCCI1	154	132	140	104
GLCE	343	273	365	294
GLDC	498	389	534	432
GLE1	1184	923	1162	1082
GLG1	1819	1596	2239	2076
GLI2	29	54	43	34
GLI3	154	254	254	199
GLI4	38	34	52	29
GLIPR2	39	21	36	25
GLMN	1063	818	1182	1104
GLO1	3457	2440	3964	3888
GLOD4	777	516	925	930
GLRB	107	77	94	109
GLRX	34	22	25	31
GLRX2	266	158	303	246
GLRX3	2022	1410	2101	1995
GLRX5	348	174	340	342
GLS	1293	996	1512	1492
GLS2	38	46	53	42
GLT8D1	542	375	503	491
GLT8D2	41	25	32	36
GLTP	203	148	235	198
GLTSCR1	21	53	78	57
GLTSCR1L	113	96	118	120
GLTSCR2	1311	985	1336	1418
GLUD1	2169	1541	2513	2301
GLUD2	534	369	663	629
GLUL	4397	3234	4449	4287
GLYCTK	98	77	103	88
GLYR1	1070	1012	1250	1156
GM2A	165	89	177	169
GMCL1	467	361	504	470
GMDS	300	281	402	322
GMEB1	443	331	473	453
GMEB2	171	118	169	142
GMFB	366	250	408	411
GMIP	52	51	76	57
GMNN	1767	1329	1965	1906
GMPPA	449	327	460	376
GMPPB	444	287	452	407
GMPR2	540	395	577	588
GMPS	3445	2647	3713	3317
GNA11	492	429	472	438
GNA12	169	150	202	185
GNA13	461	363	515	451
GNAI1	294	231	344	334
GNAI2	521	409	486	455
GNAI3	1670	1143	1611	1586
GNAL	122	107	123	134
GNAQ	348	270	363	337
GNAS	5218	5290	6579	5849
GNAZ	144	102	128	116
GNB1	1340	1234	1334	1238
GNB1L	163	131	183	140
GNB2	845	726	892	760
GNB2L1	41205	28350	40515	35538
GNB4	478	325	511	440
GNB5	152	122	154	156
GNE	752	608	741	758
GNG12	62	56	108	74
GNG5	152	106	110	74
GNL1	651	527	656	621
GNL2	3380	2480	3495	3220
GNL3	8429	5927	8906	8761
GNL3L	1163	1345	1781	1667
GNPAT	1919	1347	2193	1955
GNPDA1	644	465	575	481
GNPDA2	126	87	129	98
GNPNAT1	547	387	564	550
GNPTAB	928	769	1034	953
GNPTG	127	110	155	141
GNS	1034	709	1101	925
GOLGA1	257	229	356	280
GOLGA2	500	366	516	471
GOLGA3	1355	1192	1489	1425
GOLGA4	5028	3898	5141	5103
GOLGA5	761	536	749	649
GOLGA6L10	172	177	270	246
GOLGA6L4	124	144	132	113
GOLGA6L9	244	254	326	292
GOLGA7	229	143	237	211
GOLGA8A	840	819	983	921
GOLGA8B	833	810	974	914
GOLGB1	5168	4143	5315	5156
GOLIM4	1115	771	1035	979
GOLM1	1184	870	1072	1148
GOLPH3	453	310	508	447
GOLPH3L	279	265	317	279
GOLT1B	144	110	155	144
GON4L	2074	1852	2382	2066
GORAB	137	101	138	111
GORASP1	346	267	298	240
GORASP2	845	522	572	450
GOSR1	257	199	243	275
GOSR2	353	250	354	346
GOT1	685	521	709	640
GOT2	1696	1500	1952	1729
GPAA1	612	524	694	595
GPAM	890	598	901	818
GPANK1	119	80	115	117
GPATCH1	334	290	351	331
GPATCH11	212	234	273	255
GPATCH2	694	542	757	711
GPATCH2L	577	442	633	650
GPATCH3	265	179	266	273
GPATCH4	1532	1003	1395	1301
GPATCH8	963	1042	1412	1057
GPBP1	1643	1272	1620	1555
GPBP1L1	965	826	1033	971
GPC1	85	71	108	103
GPC3	417	454	572	528
GPC4	158	191	256	248
GPC6	148	146	175	159
GPCPD1	446	341	544	492
GPD1L	323	218	346	340
GPD2	777	614	1017	1037
GPHN	487	498	577	526
GPI	4604	3933	4629	3914
GPKOW	542	415	636	552
GPLD1	111	86	111	116
GPM6A	37	26	56	43
GPM6B	77	61	113	75
GPN1	658	492	644	607
GPN2	247	167	271	242
GPN3	590	372	604	607
GPR107	459	372	471	410
GPR108	290	205	212	207
GPR124	52	45	65	35
GPR125	930	749	1072	969
GPR126	89	68	76	89
GPR137	108	91	110	84
GPR137B	113	77	130	103
GPR137C	42	35	65	66
GPR155	107	77	88	97
GPR160	121	101	114	88
GPR161	130	115	128	123
GPR176	54	52	70	44
GPR180	425	350	412	346
GPR27	41	29	64	47
GPR52	29	33	41	28
GPR63	82	81	82	64
GPR75	60	90	100	53
GPR89A	1025	784	1060	857
GPR89B	1025	784	1060	857
GPR89C	722	597	800	668
GPR98	2671	2103	2869	2679
GPRASP1	226	190	263	244
GPRC5B	42	39	41	28
GPRC5C	25	21	28	25
GPRIN1	504	514	634	618
GPRIN3	93	63	92	78
GPS1	1524	1120	1583	1378
GPS2	525	383	481	401
GPSM1	188	129	190	149
GPSM2	671	490	757	757
GPT2	376	242	362	361
GPX1	1975	1329	2073	1842
GPX3	65	82	95	61
GPX4	1925	1274	1969	1858
GPX8	283	194	300	270
GRAMD1A	384	297	398	352
GRAMD1B	77	60	64	65
GRAMD1C	65	44	63	68
GRAMD4	193	168	196	216
GRB10	622	529	711	668
GRB14	130	115	174	149
GRB2	615	523	609	616
GREB1	112	124	151	139
GREB1L	728	662	785	711
GRHL1	77	48	64	59
GRHPR	748	508	715	645
GRID1	107	117	142	90
GRINA	445	393	496	364
GRIP1	128	93	135	117
GRIPAP1	604	514	677	644
GRK4	44	34	44	52
GRK5	103	95	97	93
GRK6	1260	985	1430	1351
GRN	780	705	915	851
GRPEL1	1179	867	1152	1124
GRPEL2	348	282	412	434
GRSF1	2116	1618	2452	2283
GRTP1	63	48	83	68
GRWD1	1127	894	1271	1148
GSE1	265	327	441	365
GSG2	720	512	732	584
GSK3A	284	286	335	293
GSK3B	605	633	725	626
GSKIP	139	138	157	130
GSN	126	115	127	117
GSPT1	3164	3106	3980	3954
GSR	1207	912	1294	1247
GSS	875	654	863	842
GSTA4	339	258	391	362
GSTCD	722	542	771	646
GSTK1	390	287	396	393
GSTM1	34	22	41	30
GSTM3	562	344	587	580
GSTM4	48	23	42	38
GSTO1	1161	857	1420	1372
GSTP1	3496	2411	4130	3582
GSTZ1	199	97	157	152
GTDC1	83	84	86	68
GTDC2	435	293	378	297
GTF2A1	481	352	428	432
GTF2A2	334	182	320	328
GTF2B	711	511	700	715
GTF2E1	168	141	234	207
GTF2E2	441	306	446	435
GTF2F1	1373	985	1147	1061
GTF2F2	528	414	597	606
GTF2H1	775	492	825	721
GTF2H2	2616	1899	2919	2812
GTF2H2C	2602	1886	2954	2850
GTF2H3	727	548	806	724
GTF2H4	191	180	237	164
GTF2H5	369	251	389	350
GTF2I	7059	6097	8338	7947
GTF2IRD1	273	262	317	290
GTF2IRD2	107	89	98	91
GTF2IRD2B	108	92	101	96
GTF3A	1979	1316	1904	1652
GTF3C1	4892	4404	5629	5124
GTF3C2	1269	1059	1270	1057
GTF3C3	1798	1315	1953	1835
GTF3C4	1274	1270	1618	1424
GTF3C5	932	653	943	822
GTF3C6	1499	969	1613	1586
GTPBP1	923	858	1135	940
GTPBP10	502	332	526	575
GTPBP2	422	336	477	425
GTPBP3	693	579	823	728
GTPBP4	3343	2265	3297	3327
GTPBP6	708	498	774	624
GTPBP8	454	289	449	464
GTSE1	619	531	646	523
GUCD1	305	238	304	262
GUCY1A2	40	31	35	43
GUCY1A3	210	146	203	189
GUCY1B3	158	113	162	142
GUF1	917	683	1038	994
GUK1	1073	713	1212	1123
GULP1	134	100	114	113
GUSB	604	454	587	562
GXYLT1	294	258	311	296
GXYLT2	269	220	293	258
GYG1	383	277	354	291
GYG2	114	106	133	110
GYLTL1B	97	89	111	88
GYPC	39	31	41	40
GYS1	632	623	829	602
GZF1	338	238	317	320
H1F0	341	238	267	212
H1FX	554	457	537	530
H2AFJ	38	31	43	45
H2AFV	520	307	549	500
H2AFX	1057	707	1023	789
H2AFY	2860	2156	3185	3054
H2AFY2	936	693	1003	950
H2AFZ	6201	4318	6045	5823
H3F3A	3745	2364	3140	2903
H3F3B	2724	1871	2476	2342
H3F3C	1227	783	974	758
H6PD	129	110	145	116
HABP4	170	151	207	184
HACE1	564	428	624	630
HACL1	847	604	957	866
HADH	593	489	736	623
HADHA	3258	2637	3590	3421
HADHB	1406	1043	1434	1226
HAGH	371	287	422	354
HAPLN3	55	39	66	51
HARBI1	52	53	49	44
HARS	1550	1121	1732	1651
HARS2	486	323	543	507
HAT1	1953	1406	2070	2032
HAUS1	684	450	650	651
HAUS2	283	197	248	289
HAUS3	1044	850	1175	1146
HAUS4	440	325	477	485
HAUS5	366	340	415	390
HAUS6	3168	2501	3524	3172
HAUS8	281	229	295	318
HAX1	1647	1302	1634	1478
HBP1	199	147	221	180
HBS1L	3145	2160	3157	3025
HCCS	433	369	479	465
HCFC1	2168	3437	3530	2491
HCFC2	314	233	336	300
HCN2	64	74	96	61
HCN3	58	44	57	36
HDAC1	3975	2696	3469	3071
HDAC10	100	99	112	77
HDAC11	42	32	60	46
HDAC2	4699	3903	5708	5377
HDAC3	1453	973	1264	1147
HDAC4	127	118	137	110
HDAC5	517	376	450	426
HDAC6	656	496	667	566
HDAC7	93	74	103	66
HDAC8	687	527	767	643
HDDC2	937	672	985	922
HDDC3	111	66	133	124
HDGF	2698	2280	3241	3366
HDGFRP2	1433	1138	1542	1565
HDGFRP3	591	398	626	513
HDHD1	38	25	51	44
HDHD2	216	170	240	217
HDHD3	121	85	125	89
HDLBP	11368	8695	10676	9285
HDX	189	148	231	162
HEATR1	12255	9482	13079	12152
HEATR2	560	589	771	674
HEATR3	1386	1021	1565	1342
HEATR5A	1340	1005	1416	1360
HEATR5B	1739	1299	1822	1724
HEATR6	692	559	825	701
HEBP1	65	82	109	93
HEBP2	680	428	702	700
HECA	248	179	286	227
HECTD1	6628	4814	7160	6763
HECTD2	246	191	264	228
HECTD3	200	286	321	284
HECTD4	1417	1777	2054	1746
HECW2	121	93	104	107
HEG1	150	177	194	162
HELB	420	366	540	485
HELLS	4574	4077	5986	5487
HELQ	471	425	542	477
HELZ	2003	1959	2498	2185
HELZ2	118	115	143	165
HEMK1	159	100	159	103
HERC1	2916	2396	3196	2847
HERC2	4434	4226	5581	4937
HERC3	351	288	446	384
HERC4	616	584	788	687
HERC5	744	521	862	839
HERC6	70	71	87	91
HERPUD1	395	277	328	275
HERPUD2	157	136	176	125
HES1	194	162	189	149
HES4	315	255	435	440
HES6	58	49	70	66
HEXA	1136	876	1172	971
HEXB	1213	897	1191	1066
HEXDC	207	150	174	185
HEXIM1	342	312	251	247
HEXIM2	23	33	41	47
HEY1	1415	1127	1228	1219
HEY2	41	17	46	33
HFM1	187	147	207	193
HGS	872	721	916	767
HGSNAT	256	226	286	245
HHAT	24	28	47	30
HHEX	32	32	50	46
HHIP	46	28	44	48
HIAT1	979	626	865	771
HIATL1	794	596	705	717
HIBADH	431	251	378	407
HIBCH	671	479	706	663
HIC2	240	218	258	216
HID1	30	20	44	31
HIF1A	2054	1519	2058	1890
HIF1AN	447	294	404	392
HIGD1A	919	470	726	601
HIGD2A	466	306	439	333
HILPDA	31	31	31	35
HINFP	256	196	275	256
HINT1	1704	942	1468	1219
HINT2	152	118	222	194
HINT3	126	79	148	131
HIP1	329	356	420	397
HIP1R	404	358	478	477
HIPK1	966	869	1086	850
HIPK2	288	327	387	327
HIPK3	1205	860	1252	1137
HIRA	1378	1354	1659	1500
HIRIP3	469	306	345	354
HIST1H1C	26630	19414	26520	25087
HIST1H1D	3314	2555	3914	3647
HIST1H1E	15725	11187	16437	15472
HIST1H2AB	1742	1169	1400	1053
HIST1H2AC	3679	2499	3606	3133
HIST1H2AD	3654	2446	2805	2192
HIST1H2AE	48	27	32	24
HIST1H2AG	8540	5595	7582	5788
HIST1H2AH	7872	5482	7100	6055
HIST1H2AJ	3591	2637	3244	2693
HIST1H2AK	1500	995	1179	923
HIST1H2AL	870	637	948	790
HIST1H2AM	4473	2977	4355	3728
HIST1H2BC	12354	7407	8877	6668
HIST1H2BD	13408	8126	10091	7446
HIST1H2BE	7032	4199	5216	3858
HIST1H2BF	1602	1186	1477	1264
HIST1H2BI	1061	714	1169	870
HIST1H2BJ	13153	8065	9400	6905
HIST1H2BK	17764	12113	15573	13113
HIST1H2BL	2753	1794	2372	2017
HIST1H2BN	7679	4638	5276	4145
HIST1H2BO	11327	6861	8228	6577
HIST1H3A	2328	1523	2200	1798
HIST1H3B	8685	6256	9346	8663
HIST1H3E	53	27	42	27
HIST1H3F	227	147	258	220
HIST1H3H	4188	2884	4203	3637
HIST1H3J	1248	807	1171	926
HIST1H4A	814	505	923	896
HIST1H4B	7052	4611	8063	7785
HIST1H4C	7046	4452	7931	7575
HIST1H4D	4059	3041	4516	4397
HIST1H4E	3573	2273	3986	3993
HIST1H4H	3438	1956	2867	2365
HIST1H4I	141	103	267	284
HIST1H4J	7119	4195	7513	6900
HIST1H4K	7119	4195	7513	6900
HIST2H2AA4	39928	27798	36362	32552
HIST2H2AB	1685	1275	2017	1747
HIST2H2AC	10882	7121	9406	7771
HIST2H2BE	18104	11185	13162	9330
HIST2H2BF	17524	11155	13597	10288
HIST2H3C	21802	14888	22880	19378
HIST2H3D	5140	3660	5659	5099
HIST2H4A	26324	15502	25514	21286
HIST3H2A	1542	1116	1792	1482
HIST3H2BB	5114	3186	4330	3470
HIST4H4	756	459	681	547
HIVEP1	752	812	861	862
HIVEP2	337	360	379	329
HJURP	790	606	784	678
HK1	1573	1238	1650	1583
HK2	717	713	921	834
HKR1	183	150	252	209
HLA-A	736	500	720	625
HLA-C	1185	951	1384	1204
HLA-DPA1	37	24	38	24
HLA-DQB1	61	28	60	54
HLA-E	445	340	437	471
HLA-F	85	70	104	92
HLA-G	58	55	53	94
HLCS	549	478	617	536
HLTF	2386	1630	2491	2332
HLX	53	61	69	68
HM13	866	712	805	653
HMBOX1	125	101	156	129
HMBS	353	311	372	392
HMCN1	141	113	148	121
HMG20A	680	505	705	568
HMG20B	553	427	605	572
HMGA1	850	681	722	669
HMGA2	130	86	155	154
HMGB1	9350	6060	8654	8240
HMGB2	3620	2432	3595	3760
HMGB3	2510	1741	2641	2684
HMGCL	157	117	200	182
HMGCR	2076	1586	2103	1862
HMGCS1	817	697	947	794
HMGN1	2981	2094	3392	3403
HMGN2	5149	3681	5176	5337
HMGN3	552	360	628	659
HMGN4	339	268	377	451
HMGN5	189	204	244	254
HMGXB3	1663	1369	1829	1669
HMGXB4	864	768	961	855
HMMR	1466	1171	1617	1645
HMOX1	212	163	217	180
HMOX2	857	610	894	905
HN1	1510	1047	1460	1344
HN1L	747	511	782	804
HNRNPA0	614	420	658	770
HNRNPA1	24101	16550	23873	25969
HNRNPA1L2	7976	5109	7454	7767
HNRNPA2B1	11079	8286	10782	11624
HNRNPA3	2087	2984	3554	3523
HNRNPAB	5373	4162	5866	6463
HNRNPC	15806	10778	14787	13844
HNRNPD	2206	2938	4042	3721
HNRNPF	4638	3143	4155	3836
HNRNPH1	11355	8097	11065	11409
HNRNPH2	2019	1295	2006	2243
HNRNPH3	725	637	586	626
HNRNPK	10932	7418	10296	8836
HNRNPL	7363	5396	6807	6126
HNRNPM	5417	4671	6309	6460
HNRNPR	5829	4018	6117	6031
HNRNPU	23368	18210	25777	26110
HNRNPUL1	2791	2922	3396	2895
HNRNPUL2	1002	1224	1639	1494
HNRPDL	6522	4188	6641	6864
HNRPLL	917	642	1000	937
HOMER1	411	286	418	357
HOMER2	476	362	471	461
HOMER3	41	27	35	40
HOMEZ	296	217	306	229
HOOK1	1025	756	1196	1027
