	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
MARF1	392	381	171	203	779	608	576	587
MARK1	222	277	101	157	679	521	545	516
MARK2	443	581	216	319	919	754	658	754
MARK3	936	1070	460	592	2043	1892	1960	1552
MARK4	234	314	126	161	233	217	169	181
MARS	4547	5482	2120	2843	5659	5099	5317	4179
MARS2	410	485	159	256	580	489	562	421
MARVELD1	198	308	103	132	24	21	19	16
MARVELD2	244	264	121	147	267	231	199	226
MARVELD3	119	131	49	49	18	17	15	11
MASP2	1	2	1	0	77	69	119	99
MAST1	115	85	31	45	63	56	57	38
MAST2	327	405	157	197	766	653	728	616
MAST3	188	191	68	96	154	122	80	112
MAST4	135	162	62	98	179	209	167	177
MASTL	929	948	409	507	1044	969	1061	740
MAT2A	2815	3908	1662	2097	4216	4214	3512	3278
MAT2B	1498	1701	681	806	967	816	1065	618
MATK	44	57	17	23	267	231	290	214
MATN2	52	64	22	40	32	21	28	17
MAU2	703	896	346	486	522	443	454	436
MAVS	890	1056	381	525	339	249	389	298
MAX	481	597	234	299	390	343	471	293
MAZ	3046	4022	1594	2269	6182	5956	6013	4395
MB21D2	198	268	114	151	107	107	102	80
MBD1	605	831	295	425	616	628	591	485
MBD2	207	259	101	120	387	369	436	299
MBD3	774	1106	443	560	1049	1061	1056	826
MBD4	366	440	196	247	899	848	879	618
MBD5	18	25	13	12	259	206	214	231
MBD6	165	198	84	105	176	97	97	151
MBIP	610	590	271	329	459	479	398	308
MBLAC2	238	350	131	184	97	91	86	75
MBNL1	1195	1396	558	650	703	548	824	611
MBNL2	146	138	53	54	119	105	131	91
MBNL3	304	351	149	184	202	202	227	185
MBOAT1	96	124	60	90	123	103	102	87
MBOAT2	534	585	234	331	737	631	734	483
MBOAT7	416	601	207	276	226	159	196	159
MBTD1	304	334	166	195	709	669	613	546
MBTPS1	421	489	172	227	2499	2275	2348	1921
MBTPS2	947	1109	452	558	380	338	346	319
MCAT	663	883	331	465	488	434	466	333
MCC	517	565	218	320	220	202	239	192
MCCC1	493	555	229	300	425	427	425	299
MCCC2	1666	1752	743	954	1654	1593	1300	1269
MCEE	62	71	32	33	110	99	101	77
MCF2L	111	139	58	81	125	117	104	116
MCFD2	545	700	263	337	367	325	403	258
MCIDAS	27	60	19	23	43	33	18	25
MCL1	1521	2420	836	1126	1525	1562	1461	1092
MCM10	1687	2028	825	985	2771	2532	2591	2069
MCM2	6893	9358	3423	4855	7266	6779	6947	5277
MCM3	8554	9963	3911	5132	8410	7953	8063	6055
MCM3AP	1758	2155	808	1116	5584	4940	4705	4375
MCM4	12476	13911	5738	7816	9308	8370	9137	6913
MCM5	4998	6478	2453	3365	3858	3597	4216	3001
MCM6	5613	6250	2669	3304	5669	5427	4888	4331
MCM7	12974	18053	6837	9235	12939	11176	13716	9688
MCM8	19	21	10	13	125	137	114	94
MCM9	402	443	215	263	1586	1400	1300	1168
MCMBP	3617	4000	1771	2221	3521	3114	3462	2500
MCOLN1	211	328	112	180	143	128	156	122
MCOLN2	345	393	165	193	357	316	292	281
MCOLN3	389	412	173	242	372	344	238	260
MCPH1	429	497	228	312	727	644	625	509
MCRIP1	184	304	91	130	225	245	194	151
MCRIP2	145	222	73	96	151	120	108	80
MCRS1	770	1179	419	559	1568	1459	1607	1212
MCTP1	103	95	36	62	63	73	62	61
MCTS1	1271	1370	607	750	767	659	843	594
MCTS2P	168	176	91	113	340	269	330	256
MCU	452	529	212	291	292	277	269	239
MCUB	508	536	236	343	529	432	496	351
MCUR1	484	554	223	299	693	594	633	439
MDC1	3665	4666	1900	2360	2052	1650	1389	1831
MDFIC	262	350	103	146	181	151	159	104
MDGA1	23	40	12	17	51	38	31	25
MDGA2	1	0	0	0	118	113	114	94
MDH1	4169	5034	1995	2440	4099	3836	3859	2653
MDH1B	18	21	9	7	35	36	27	27
MDH2	6652	8013	2983	4052	4408	4492	4206	3299
MDK	1720	2533	876	1290	595	577	551	358
MDM1	243	294	97	142	407	367	425	300
MDM2	2336	3544	1421	1811	2453	2197	2038	1969
MDM4	84	106	49	54	1101	936	920	787
MDN1	3704	4445	1941	2421	15336	13513	13592	11233
MDP1	35	47	14	12	91	67	77	45
ME1	2470	2592	1129	1367	721	639	608	535
ME2	2493	2637	1161	1440	1310	1222	1225	816
MEA1	1172	1687	583	810	891	873	935	637
MEAF6	555	769	290	392	414	422	380	303
MEAK7	225	307	104	111	179	156	187	146
MECOM	469	562	283	307	872	756	826	596
MECP2	316	386	138	206	803	692	701	605
MECR	238	280	104	138	619	585	462	475
MED1	1014	1123	483	636	1579	1322	1511	1410
MED10	928	1164	500	597	120	152	127	83
MED11	275	287	104	170	154	124	152	85
MED12	1457	1932	691	1049	1633	1258	1102	1398
MED12L	250	280	97	144	1064	835	873	820
MED13	1087	1295	595	638	5269	4502	4630	3930
MED13L	619	771	298	401	2185	1744	1875	1759
MED14	1967	2184	888	1152	2048	1659	1652	1706
MED15	856	965	411	528	419	340	368	367
MED16	711	894	344	485	573	565	553	508
MED17	62	77	31	37	181	147	156	119
MED18	247	393	130	165	147	174	192	145
MED19	163	213	83	117	204	199	189	150
MED20	202	284	86	123	232	214	196	172
MED21	642	649	303	345	251	199	254	172
MED22	286	337	126	174	202	183	166	145
MED23	985	1219	517	619	2264	1947	2283	1591
MED24	1459	1821	671	945	1719	1522	1619	1300
MED25	821	1022	385	533	312	296	220	250
MED26	56	87	44	53	93	76	87	88
MED27	351	449	200	239	236	215	191	158
MED28	391	395	186	232	509	419	591	409
MED29	1302	1682	646	978	179	164	192	173
MED30	176	175	64	86	184	187	174	123
MED31	385	545	186	242	224	157	189	141
MED4	952	1136	464	575	620	614	678	484
MED6	641	780	315	462	761	625	774	525
MED7	291	285	136	151	198	194	137	107
MED8	736	873	335	494	562	492	537	388
MED9	86	118	43	57	130	110	123	99
MEF2A	299	396	191	211	495	475	510	430
MEF2C	266	294	130	156	187	149	209	153
MEF2D	224	256	102	118	114	56	63	93
MEGF11	67	106	28	51	101	96	118	79
MEGF6	22	23	6	15	36	30	20	35
MEGF8	706	882	323	449	1487	1229	1124	1140
MEGF9	74	77	36	40	133	106	116	87
MEIOC	35	18	11	9	139	127	147	94
MEIS1	165	165	60	80	223	206	244	166
MEIS2	195	294	105	129	465	347	392	298
MEIS3	8	7	1	3	38	33	22	26
MELK	1207	1353	569	739	1616	1403	1581	1203
MELTF	69	78	29	35	75	79	53	46
MEMO1	83	109	31	59	221	189	194	160
MEN1	707	952	296	473	686	564	556	611
MEPCE	956	1410	525	687	1066	938	1146	839
MERTK	122	158	71	91	291	239	276	234
MESD	405	593	227	287	882	822	851	590
MESP1	14	19	12	11	46	33	27	15
MET	1372	1583	663	832	906	810	791	590
METAP1	1109	1224	544	643	1051	979	958	759
METAP1D	81	85	34	46	176	148	156	146
METAP2	4662	5401	2280	2952	3654	3769	3458	2222
METRN	30	24	8	9	131	83	93	76
METRNL	40	43	10	28	37	35	50	27
METTL1	260	390	122	182	195	166	204	143
METTL14	365	444	191	239	603	591	633	444
METTL15	79	102	32	51	223	222	201	156
METTL16	457	530	252	318	894	854	805	646
METTL17	741	789	301	446	1328	1223	1454	954
METTL18	169	181	73	89	235	222	198	122
METTL21A	189	235	82	120	240	196	209	141
METTL22	37	38	18	14	260	229	219	171
METTL23	124	156	59	85	303	310	263	182
METTL25	170	262	87	122	387	384	348	273
METTL26	792	1021	363	527	582	566	571	362
METTL2A	208	230	109	138	381	384	359	273
METTL2B	225	197	96	94	587	516	480	377
METTL3	1119	1415	502	736	2064	1922	1944	1467
METTL4	93	115	45	69	226	196	203	167
METTL5	949	987	474	552	990	892	816	606
METTL6	296	339	134	175	664	634	609	431
METTL7A	519	626	225	273	101	66	73	45
METTL7B	128	209	58	78	24	24	24	27
METTL8	391	419	156	243	557	536	452	356
METTL9	335	363	135	168	1191	1013	989	741
MEX3A	137	202	72	68	98	80	58	66
MEX3B	62	77	32	36	58	47	55	40
MEX3C	205	199	78	94	247	216	251	178
MEX3D	35	49	20	29	206	192	236	155
MFAP1	1072	1371	504	669	713	805	860	530
MFAP2	205	281	92	149	34	36	49	23
MFAP3	487	676	255	319	540	467	590	422
MFAP3L	22	40	18	16	77	73	78	56
MFF	862	947	427	522	1200	1144	1102	735
MFGE8	1078	1312	470	703	282	310	225	228
MFHAS1	151	178	65	96	330	321	302	223
MFN1	925	1026	428	543	1291	1222	1203	787
MFN2	2194	2763	990	1358	2034	1813	1883	1592
MFSD1	215	298	132	115	756	676	743	469
MFSD10	346	502	166	273	331	241	295	255
MFSD11	222	299	154	180	373	286	351	280
MFSD12	204	296	106	178	425	395	460	347
MFSD13A	66	79	14	40	155	153	154	158
MFSD14A	37	41	12	29	53	71	62	27
MFSD14B	301	335	106	161	697	686	796	611
MFSD14C	9	9	7	5	22	17	24	24
MFSD2A	361	447	177	204	78	45	82	74
MFSD3	111	144	49	65	295	264	301	171
MFSD4B	169	196	69	89	494	441	397	414
MFSD5	363	515	180	235	313	245	333	209
MFSD6	126	132	60	73	85	70	84	60
MFSD8	318	405	168	213	460	449	388	331
MFSD9	99	119	28	60	170	163	180	122
MGA	1604	1865	747	908	5144	4644	4359	3562
MGARP	64	62	34	26	141	138	121	97
MGAT1	257	313	105	170	604	530	517	382
MGAT2	251	367	130	160	1251	1166	1048	814
MGAT3	20	18	13	8	30	32	27	18
MGAT4A	109	108	30	67	209	189	193	166
MGAT4B	320	434	146	261	1308	1165	1102	1035
MGAT5	325	321	140	180	873	759	751	671
MGAT5B	2	1	1	1	53	36	24	28
MGME1	484	635	230	300	1094	958	939	777
MGRN1	635	824	270	412	573	447	373	470
MGST1	1716	1897	782	919	277	291	316	194
MGST2	655	740	327	402	184	182	191	137
MGST3	1067	1251	428	617	647	627	647	390
MIA2	117	175	58	106	577	575	455	373
MIA3	1179	1321	585	717	3869	3537	3346	2709
MIB1	691	762	298	435	2892	2701	2521	1937
MIB2	180	283	95	146	312	271	298	254
MICA	189	257	89	139	185	155	135	119
MICAL1	101	130	39	58	138	125	106	107
MICAL2	105	154	52	69	169	142	124	106
MICAL3	517	699	272	339	1746	1365	1164	1367
MICALL1	568	775	265	379	815	770	708	591
MICALL2	33	26	12	19	49	45	49	38
MICB	156	171	73	101	51	37	40	29
MICOS10	152	320	73	125	66	58	38	25
MICOS13	681	1021	352	517	318	285	319	189
MICU1	1262	1531	621	790	1028	902	941	708
MICU2	1732	1780	809	864	781	717	717	543
MICU3	91	76	44	55	150	148	106	114
MID1	516	597	276	337	374	327	380	293
MID1IP1	201	250	91	128	358	326	343	239
MID2	227	248	106	122	603	498	526	484
MIDN	842	1189	474	651	148	115	106	126
MIEF1	421	465	173	238	1168	986	1058	864
MIEF2	84	104	38	51	165	161	153	153
MIEN1	424	552	197	279	196	180	149	85
MIER1	560	672	305	323	1643	1556	1474	1144
MIER2	281	333	130	148	141	124	108	114
MIER3	351	460	199	202	744	783	707	517
MIF	7296	8764	3362	4835	2536	1886	2937	1483
MIF4GD	220	219	93	112	123	118	114	106
MIGA1	619	622	316	355	655	571	557	423
MIGA2	104	143	44	93	322	307	328	252
MIIP	328	417	159	231	305	269	288	239
MINAR1	4	7	1	1	159	114	157	149
MINDY1	209	219	85	114	197	146	165	139
MINDY2	155	164	69	88	212	174	198	153
MINDY3	1120	1162	492	562	1356	1278	1160	835
MINDY4	98	136	60	69	194	189	192	156
MINK1	502	576	223	283	800	586	595	619
MINPP1	969	1098	455	599	579	501	524	372
MIOS	343	427	165	210	1156	1121	1032	684
MIPEP	557	725	275	387	680	647	603	462
MIPOL1	209	231	85	107	461	386	394	326
MIS12	322	363	169	229	428	343	423	293
MIS18A	590	802	326	400	626	631	539	395
MIS18BP1	888	903	438	540	1634	1458	1532	1130
MITD1	237	262	123	150	363	320	351	270
MITF	61	63	40	43	127	112	111	88
MKI67	6585	7373	3456	4357	13376	10642	10021	11509
MKKS	52	52	11	29	513	426	490	370
MKLN1	1686	1842	787	972	1505	1374	1226	1111
MKNK1	376	501	197	250	324	318	290	224
MKNK2	357	443	185	223	544	498	531	449
MKRN1	671	849	360	457	929	898	897	675
MKRN2	707	884	388	560	1128	1034	1041	778
MKRN2OS	0	0	0	0	31	29	29	24
MKRN3	44	61	16	28	24	26	19	21
MKS1	493	538	213	287	452	454	489	341
MKX	0	0	0	1	69	46	47	49
MLEC	764	1138	423	539	1135	1014	1070	797
MLF1	478	425	167	250	588	555	525	367
MLF2	2635	2982	1124	1558	1166	995	1017	944
MLH3	404	418	166	197	166	152	138	117
MLLT1	777	1015	379	558	328	291	309	291
MLLT10	332	297	131	165	850	673	669	629
MLLT11	863	772	349	466	43	32	49	23
MLLT3	487	496	219	296	990	903	956	701
MLLT6	101	108	43	65	376	288	354	279
MLST8	531	646	228	347	490	442	676	410
MLX	826	975	335	503	368	304	399	302
MLXIP	411	503	208	282	475	341	241	442
MLXIPL	58	70	21	34	79	51	56	60
MLYCD	111	163	51	74	89	71	66	77
MMAA	53	81	34	41	39	51	55	34
MMAB	513	667	253	359	572	510	593	392
MMACHC	267	371	131	175	165	167	211	112
MMADHC	1748	2283	893	1194	2775	2572	2578	1757
MMD	27	59	29	26	74	84	78	54
MME	42	48	19	27	55	50	32	36
MMGT1	469	546	240	313	223	213	210	185
MMP11	12	12	1	8	25	31	20	18
MMP15	103	140	34	82	40	30	37	30
MMP16	2	2	0	0	111	99	119	84
MMP17	37	37	8	21	15	17	17	19
MMP21	0	0	0	0	29	20	22	19
MMP24	2	4	2	3	20	22	20	17
MMP25	11	19	6	9	42	28	22	27
MMS19	1304	1581	581	824	1674	1481	1636	1298
MMS22L	1078	1227	480	613	2082	1867	1793	1497
MMUT	1088	1137	505	634	764	668	610	497
MN1	54	76	29	39	32	20	13	23
MNAT1	837	858	393	459	1143	1106	909	691
MND1	395	454	159	198	425	394	345	291
MNS1	302	369	163	195	97	78	95	69
MNT	156	175	71	109	68	44	46	47
MNX1	198	277	89	147	79	81	49	51
MOAP1	629	690	273	372	347	336	272	221
MOB1A	1403	1613	688	803	1274	1247	1268	894
MOB1B	275	303	118	183	85	72	101	72
MOB2	149	186	86	102	135	119	183	129
MOB3A	143	218	64	116	34	22	25	29
MOB3B	87	97	35	55	64	52	40	47
MOCOS	64	79	34	35	228	197	220	174
MOCS1	186	225	83	128	270	217	279	177
MOCS2	507	613	260	333	641	597	523	394
MOCS3	372	456	175	224	285	234	211	200
MOGS	726	970	323	463	1079	973	1037	853
MOK	75	92	35	49	200	203	169	139
MON1A	103	148	66	77	368	349	331	269
MON1B	194	267	97	121	203	187	205	163
MON2	1832	2047	948	1119	2416	2155	2253	1752
MORC2	1246	1709	675	855	880	791	659	728
MORC3	715	777	379	426	1254	1110	1206	946
MORC4	1097	1200	509	622	1350	1240	1186	904
MORF4L1	883	1217	509	611	2370	2342	1868	1622
MORF4L2	3849	4658	1915	2396	7892	8037	7166	5072
MORN1	122	143	63	68	127	153	140	106
MORN2	178	224	110	131	276	274	264	181
MORN4	57	47	23	38	59	50	75	55
MOSMO	18	24	6	17	35	39	50	31
MOSPD1	201	171	91	102	318	256	280	196
MOSPD2	474	545	202	266	296	265	223	201
MOSPD3	10	18	11	11	26	17	26	24
MOV10	1124	1434	537	714	967	785	786	692
MOXD1	393	371	140	233	404	336	359	286
MPC1	518	666	235	344	518	405	476	291
MPC2	615	778	257	353	667	605	525	408
MPDU1	573	639	256	347	560	431	541	360
MPDZ	635	686	291	410	1263	1043	1071	825
MPG	594	752	294	394	484	454	435	306
MPHOSPH10	832	1047	401	519	1499	1499	1509	1067
MPHOSPH6	519	585	268	303	561	600	539	366
MPHOSPH8	226	276	131	173	891	925	762	635
MPHOSPH9	492	558	276	291	3334	2874	3162	2511
MPI	955	1140	454	599	1651	1459	1611	1223
MPLKIP	553	766	271	338	280	247	251	174
MPND	80	104	52	61	152	146	154	125
MPP1	974	1093	394	553	561	517	597	491
MPP2	366	438	148	200	244	224	204	182
MPP3	40	45	21	32	261	222	172	170
MPP5	400	404	170	216	830	711	717	601
MPP6	542	609	249	333	1313	1168	973	887
MPP7	454	533	191	261	200	167	163	140
MPPE1	35	50	19	23	155	166	131	109
MPRIP	301	396	132	188	3593	3332	3148	2730
MPST	682	886	337	473	588	512	476	394
MPV17	346	424	158	217	376	377	320	285
MPV17L2	352	471	192	249	126	90	125	102
MPZL1	656	713	302	378	608	514	516	362
MPZL3	59	45	13	23	39	35	32	23
MR1	78	82	33	50	60	51	61	39
MRAP	1	0	0	0	92	65	71	82
MRAS	21	31	13	33	55	41	62	40
MRE11	1197	1389	577	701	1850	1782	1760	1305
MREG	79	103	30	48	227	170	154	119
MRFAP1	1225	2159	708	1003	1193	1422	1126	860
MRFAP1L1	226	351	132	200	392	474	384	287
MRGBP	131	160	75	71	357	358	326	243
MRI1	660	830	287	406	839	733	801	594
MRM1	59	71	28	47	113	94	90	86
MRM2	229	343	110	162	331	286	371	262
MRM3	649	738	305	435	644	606	609	445
MRNIP	105	120	47	78	342	296	300	292
MROH1	65	64	28	33	265	249	213	221
MROH6	14	18	7	6	24	25	27	20
MROH8	211	328	121	181	155	167	101	116
MRPL1	576	701	273	365	996	1001	894	667
MRPL10	700	841	314	421	249	243	355	217
MRPL11	601	810	340	402	1234	1247	1156	781
MRPL12	52	86	30	27	129	93	103	98
MRPL13	1761	1999	841	1103	1268	1095	1144	690
MRPL14	1565	2098	719	1058	756	670	716	528
MRPL15	1203	1451	640	772	1468	1421	1605	1077
MRPL16	1447	1782	722	892	1340	1317	1139	792
MRPL17	1274	1406	556	780	838	757	824	507
MRPL18	971	1193	424	602	1202	1209	1149	820
MRPL19	1309	1718	676	889	1843	1650	1461	1101
MRPL2	1306	1385	571	765	527	484	508	370
MRPL20	2796	3112	1181	1654	1809	1818	1613	1089
MRPL21	1054	1179	448	590	1206	1118	1108	795
MRPL22	1802	1900	864	1053	622	566	666	487
MRPL23	1337	1500	555	856	1111	991	956	620
MRPL24	1343	1699	622	932	1062	1071	1083	778
MRPL27	1166	1647	597	767	651	562	724	459
MRPL28	3447	4242	1558	2197	1182	1140	1293	883
MRPL3	2994	4020	1578	2021	3717	3398	3129	2257
MRPL32	1066	1381	563	716	693	685	785	520
MRPL33	561	659	306	375	744	682	605	424
MRPL34	380	554	179	272	213	201	143	130
MRPL35	342	463	188	242	531	506	506	319
MRPL36	266	377	140	155	204	184	205	95
MRPL37	2962	3399	1329	1870	3815	3554	4213	2945
MRPL38	1078	1395	497	698	944	826	870	652
MRPL39	2116	2812	1118	1379	1327	1162	1353	880
MRPL4	2648	3293	1266	1638	677	552	617	550
MRPL40	1180	1182	547	613	816	649	790	551
MRPL41	1102	1569	554	825	740	703	567	425
MRPL42	1451	1504	665	866	1057	1012	1216	800
MRPL43	1401	1630	647	921	267	251	300	212
MRPL44	1488	1868	825	1011	861	843	745	529
MRPL45	401	534	196	337	351	335	266	230
MRPL46	544	646	269	374	719	634	653	532
MRPL47	1163	1273	526	654	910	846	824	553
MRPL48	481	512	200	300	644	636	653	408
MRPL49	556	793	288	411	441	376	491	331
MRPL50	471	487	190	270	565	463	580	349
MRPL51	1590	2396	754	1151	2316	2369	2247	1455
MRPL52	829	1060	467	526	679	660	663	410
MRPL53	615	867	299	405	402	374	360	278
MRPL54	362	505	179	295	526	550	451	321
MRPL55	700	1002	342	516	968	836	802	586
MRPL57	577	649	214	358	189	178	197	147
MRPL58	680	842	343	492	489	410	517	320
MRPL9	1176	1601	635	878	1345	1299	1092	831
MRPS10	904	1188	534	686	540	477	457	328
MRPS11	520	660	227	338	591	495	632	423
MRPS12	1152	1446	496	780	314	241	361	293
MRPS14	601	769	289	375	533	493	450	287
MRPS15	1627	1870	655	978	1671	1341	1793	1186
MRPS16	1460	1654	721	924	1043	860	911	701
MRPS18A	983	1157	527	655	435	387	449	288
MRPS18B	2051	2264	908	1265	738	563	859	623
MRPS18C	562	645	263	312	647	591	594	377
MRPS2	2179	2486	996	1402	831	782	865	619
MRPS21	781	1171	472	657	1212	1167	1195	748
MRPS22	1481	1660	724	909	1541	1400	1462	995
MRPS23	1943	2387	953	1214	1250	1179	1202	840
MRPS24	1073	1313	481	694	1139	1077	998	650
MRPS25	536	762	286	389	707	726	721	543
MRPS26	1010	1551	476	748	1071	1141	744	537
MRPS27	1305	1435	612	821	1751	1443	1501	1209
MRPS28	654	784	309	397	404	373	365	239
MRPS30	1753	2035	874	1053	1147	990	1016	752
MRPS31	1528	1736	740	995	892	787	929	556
MRPS33	601	722	285	375	546	506	463	307
MRPS34	1450	2254	691	994	1403	1294	1310	898
MRPS35	2317	2608	1121	1385	1319	1321	1154	846
MRPS36	211	266	115	169	213	133	298	161
MRPS5	833	1094	402	515	1452	1454	1284	944
MRPS6	408	554	245	275	167	189	210	124
MRPS7	1753	2136	813	1108	1598	1562	1508	1053
MRPS9	1082	1166	543	652	1470	1319	1331	865
MRRF	225	239	110	143	616	536	570	461
MRS2	416	596	207	284	1405	1317	1243	967
MRTFA	378	544	175	290	428	361	285	391
MRTFB	357	427	153	208	366	296	300	354
MRTO4	1284	1868	698	990	1166	1040	1191	890
MSANTD2	45	94	23	29	273	269	281	246
MSANTD3	102	116	50	72	300	309	270	197
MSANTD4	324	379	146	199	476	481	397	311
MSH2	3901	4069	1811	2191	4495	4171	4077	3055
MSH3	1270	1339	589	753	1816	1543	1523	1228
MSH4	1	1	0	0	66	68	66	55
MSH6	5041	6122	2599	3258	10020	9395	9058	6531
MSI1	321	353	159	218	120	93	64	77
MSI2	802	901	354	473	473	409	428	344
MSL1	195	266	95	103	630	634	459	390
MSL2	364	424	158	212	625	556	615	581
MSL3	206	302	106	109	484	496	468	338
MSMO1	1018	1114	444	579	660	634	646	448
MSMP	6	1	1	0	101	104	122	111
MSN	1424	1904	760	1018	1156	1124	1038	912
MSRA	79	141	59	55	49	39	45	32
MSRB1	192	248	78	108	41	37	66	36
MSRB2	266	347	116	184	133	124	128	71
MSRB3	158	227	70	90	91	92	83	65
MSS51	3	1	1	5	77	63	74	62
MST1	1	2	1	0	127	93	101	107
MSTO1	23	59	10	27	117	105	161	99
MSX1	129	173	51	89	79	59	68	45
MSX2	603	781	349	510	105	99	107	93
MT1X	15	21	3	7	35	20	30	20
MT2A	81	83	27	40	22	20	30	13
MTA1	1521	2026	772	1106	1626	1507	1338	1321
MTA2	2502	2925	1195	1672	4851	4069	5292	3762
MTA3	973	988	436	560	532	535	505	353
MTAP	336	457	187	214	805	700	729	544
MTBP	355	388	163	207	951	939	924	682
MTCH1	1350	1762	608	900	1760	1580	1479	1121
MTCH2	1860	2001	850	1087	2479	2191	2272	1554
MTCL1	108	142	45	84	549	510	429	421
MTCP1	9	13	3	8	35	21	55	28
MTDH	1883	2124	878	1120	3263	3033	2919	2335
MTERF1	286	349	146	166	398	302	305	277
MTERF2	271	277	99	133	408	411	347	255
MTERF3	787	755	367	404	690	630	734	505
MTERF4	564	627	273	352	481	492	518	371
MTF1	153	195	69	102	204	171	172	162
MTF2	807	860	400	440	1993	1908	2014	1393
MTFMT	296	336	139	188	464	333	364	270
MTFP1	49	78	30	33	33	36	37	19
MTFR1	326	328	125	151	689	699	607	427
MTFR1L	358	456	175	209	487	415	470	326
MTFR2	296	307	131	200	314	273	256	210
MTG2	356	387	135	211	357	328	311	257
MTHFD1	5790	6782	2837	3625	7019	6396	6094	5313
MTHFD1L	1461	1593	674	903	2887	2760	2398	2156
MTHFD2	1308	1407	571	793	2770	2638	2776	1892
MTHFD2L	127	138	45	87	138	124	124	85
MTHFR	158	214	74	109	206	201	205	186
MTHFS	54	94	32	54	33	37	21	10
MTHFSD	167	184	70	88	209	174	181	133
MTIF2	593	641	226	332	2227	2097	2085	1412
MTIF3	300	313	129	183	837	701	792	534
MTLN	146	196	64	87	51	33	23	21
MTM1	262	326	121	199	305	336	293	219
MTMR1	773	958	365	452	1481	1405	1394	1102
MTMR10	142	184	64	80	376	338	361	259
MTMR11	7	4	5	1	24	23	30	25
MTMR12	344	390	179	199	673	591	505	459
MTMR14	488	600	231	320	688	603	667	504
MTMR2	843	985	393	499	1499	1386	1339	1135
MTMR3	447	516	172	289	981	860	788	768
MTMR4	688	833	333	429	1957	1709	1800	1410
MTMR6	1178	1357	616	732	551	532	518	371
MTMR7	141	134	49	56	102	99	92	81
MTMR8	86	105	52	52	159	136	120	94
MTMR9	282	339	151	170	270	254	309	194
MTO1	809	849	357	462	1026	993	943	720
MTOR	2125	2651	1021	1416	5118	4476	4904	3902
MTPAP	1298	1462	686	800	838	797	835	618
MTPN	1673	2295	843	1132	643	576	618	421
MTR	1577	2117	846	1079	5933	5526	5140	4260
MTREX	3100	3696	1583	1872	4748	4640	4294	3018
MTRF1	214	194	83	101	253	220	214	185
MTRF1L	89	118	50	59	227	195	240	151
MTRNR2L1	1	3	3	5	46	68	72	98
MTRR	592	709	308	389	853	670	804	653
MTSS1	71	87	39	54	86	62	85	72
MTSS1L	402	518	183	286	345	314	330	301
MTURN	130	118	39	74	130	117	94	76
MTUS1	436	420	148	212	574	526	431	434
MTX1	520	586	234	338	353	290	329	205
MTX2	866	962	390	532	733	697	806	532
MTX3	231	260	111	137	369	328	355	283
MUL1	553	678	243	341	365	300	323	240
MUS81	188	234	102	99	410	331	394	304
MUTYH	145	178	52	100	226	234	236	168
MVB12A	650	754	297	386	297	296	272	227
MVB12B	143	157	64	91	111	70	84	73
MVD	214	307	120	148	324	277	369	262
MVK	248	324	98	166	287	247	276	187
MVP	66	74	35	41	14	15	13	12
MXD1	135	186	79	98	62	62	61	58
MXD3	46	72	35	47	210	170	169	145
MXD4	346	609	218	329	385	362	401	252
MXI1	418	437	179	233	280	204	273	231
MXRA7	88	160	52	98	108	113	93	75
MXRA8	2	4	1	2	19	28	27	18
MYADM	456	520	192	277	30	31	39	26
MYB	107	112	30	45	83	65	36	39
MYBBP1A	5708	7676	2748	3878	4030	3517	3490	3125
MYBL1	83	88	19	43	502	475	456	349
MYBL2	1507	1964	707	935	2790	2612	2444	2306
MYC	2591	2545	1020	1446	1600	1309	1775	1358
MYCBP2	874	836	399	538	7302	6373	6266	5316
MYCL	55	67	24	27	30	37	34	25
MYD88	130	213	69	117	26	27	12	17
MYDGF	846	1238	533	695	562	568	616	359
MYEF2	957	1213	491	625	386	440	371	255
MYH10	4854	5690	2473	3115	8416	8192	6915	6282
MYH11	22	8	1	6	76	77	48	82
MYH14	641	878	314	455	438	394	368	326
MYH15	3	1	1	0	93	86	77	88
MYH3	11	10	4	3	163	153	108	119
MYH7B	1	4	0	0	31	13	32	36
MYH9	8460	11321	4413	5887	7624	6890	6429	6333
MYL12A	851	925	364	538	491	390	552	386
MYL12B	1318	1562	637	875	541	488	625	478
MYL5	26	23	14	21	70	58	60	45
MYL6	5631	7633	2839	3776	3846	3661	4157	2876
MYL6B	151	176	70	94	624	677	610	462
MYLIP	178	212	81	112	271	258	234	201
MYLK	36	55	29	20	168	133	148	126
MYLK2	1	3	1	0	21	26	21	22
MYNN	223	223	100	120	784	713	724	550
MYO10	1033	1343	562	690	776	678	655	580
MYO15A	0	1	1	2	39	33	23	27
MYO15B	6	4	2	6	46	46	39	39
MYO18A	282	372	125	192	435	414	370	364
MYO19	314	333	143	177	1276	1113	1163	1051
MYO1B	1590	1949	838	1086	1533	1376	1525	1052
MYO1C	1337	1488	597	762	841	738	717	701
MYO1D	913	882	429	492	752	620	613	525
MYO1E	539	566	221	299	511	472	579	450
MYO1F	8	4	3	1	23	18	19	14
MYO3A	187	156	88	94	435	339	295	273
MYO5A	838	928	323	467	936	893	870	718
MYO5B	228	292	121	156	217	180	200	150
MYO5C	441	555	218	287	732	677	595	579
MYO6	2600	3078	1298	1643	1180	1144	856	826
