	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
AP002748.4	10	15	8	14
AP002956.1	152	216	197	214
AP1AR	158	149	104	117
AP1B1	3646	4301	3064	3002
AP1G1	1780	2097	1494	1574
AP1G2	204	187	159	159
AP1M1	1692	2111	1474	1355
AP1S1	987	1171	829	780
AP1S2	175	195	113	116
AP1S3	228	257	177	160
AP2A1	980	1264	854	810
AP2A2	1256	1445	946	1003
AP2B1	2497	2850	2227	2241
AP2M1	3307	3830	2683	2572
AP2S1	1744	2139	1363	1259
AP3B1	1762	2030	1503	1586
AP3B2	33	49	28	25
AP3D1	2657	3396	2217	2212
AP3M1	2035	2270	1552	1749
AP3M2	382	451	331	337
AP3S1	646	663	475	540
AP3S2	143	155	102	120
AP4B1	379	455	288	259
AP4E1	317	392	296	304
AP4M1	148	229	148	142
AP4S1	37	44	29	23
AP5B1	217	291	199	209
AP5M1	271	281	190	210
AP5S1	168	237	174	143
AP5Z1	119	202	120	117
APAF1	808	860	716	650
APBA2	254	351	211	213
APBA3	91	117	58	80
APBB1	636	754	468	509
APBB2	207	222	157	173
APBB3	51	62	43	39
APC	844	972	743	792
APC2	11	12	10	10
APCDD1	11	18	15	19
APEH	1346	1478	1054	954
APEX1	2389	3355	2007	2039
APEX2	355	465	299	289
APH1A	891	1096	834	733
APH1B	178	183	134	150
API5	1288	1479	1062	1124
APIP	330	377	265	299
APLF	21	23	16	21
APLP1	488	616	479	469
APLP2	6129	7017	5572	5030
APMAP	726	1130	842	814
APOBEC3C	475	548	338	414
APOC1	114	126	90	103
APOL2	470	607	387	352
APOLD1	54	89	45	54
APOM	25	30	8	23
APOO	400	458	330	327
APOOL	332	323	232	266
APOPT1	60	84	44	56
APP	7580	9148	7034	6667
APPBP2	935	1092	715	711
APPL1	1332	1396	1058	1134
APPL2	468	550	429	414
APRT	2823	3575	2307	2337
APTX	475	595	399	411
AQP11	13	16	24	9
AQR	1538	1746	1240	1309
ARAF	455	568	352	354
ARAP1	522	570	479	392
ARAP2	167	194	123	120
ARAP3	135	179	99	124
ARCN1	3719	4183	3041	3066
AREL1	185	213	152	169
ARF1	5200	6491	3988	4272
ARF3	43	63	39	43
ARF4	1202	1528	957	1081
ARF5	2442	2638	1757	1852
ARF6	643	878	490	516
ARFGAP1	667	971	575	566
ARFGAP2	650	917	617	576
ARFGAP3	826	971	607	706
ARFGEF1	840	860	617	706
ARFGEF2	799	947	732	729
ARFGEF3	556	625	527	495
