	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
AP1S3	228	257	106	74
AP2A1	980	1264	463	250
AP2A2	1256	1445	505	330
AP2B1	2497	2850	1214	806
AP2M1	3307	3830	1501	906
AP2S1	1744	2139	921	595
AP3B1	1762	2030	821	514
AP3B2	33	49	38	12
AP3D1	2657	3396	1292	825
AP3M1	2035	2270	994	721
AP3M2	382	451	213	137
AP3S1	646	663	275	176
AP3S2	143	155	139	80
AP4B1	379	455	223	137
AP4E1	317	392	188	145
AP4M1	148	229	95	70
AP4S1	37	44	12	12
AP5B1	217	291	113	86
AP5M1	271	281	159	114
AP5S1	168	237	112	67
AP5Z1	119	202	87	59
APAF1	808	860	455	288
APBA2	254	351	124	81
APBA3	91	117	52	29
APBB1	636	754	351	176
APBB2	207	222	98	49
APBB3	51	62	33	12
APC	844	972	528	357
APC2	11	12	9	8
APCDD1	11	18	3	2
APEH	1346	1478	625	366
APEX1	2389	3355	1287	854
APEX2	355	465	197	107
APH1A	891	1096	433	263
APH1B	178	183	79	38
API5	1288	1479	718	509
APIP	330	377	185	108
APLF	21	23	8	7
APLP1	488	616	277	133
APLP2	6129	7017	3097	1810
APMAP	726	1130	489	253
APOBEC3C	475	548	238	192
APOC1	114	126	48	45
APOL2	470	607	351	205
APOLD1	54	89	40	24
APOM	25	30	18	11
APOO	400	458	226	154
APOOL	332	323	171	120
APOPT1	60	84	15	11
APP	7580	9148	3739	2103
APPBP2	935	1092	562	345
APPL1	1332	1396	523	370
APPL2	468	550	202	131
APRT	2823	3575	1676	941
APTX	475	595	311	189
AQP11	13	16	7	0
AQR	1538	1746	872	589
ARAF	455	568	232	130
ARAP1	522	570	278	152
ARAP2	167	194	86	60
ARAP3	135	179	87	46
ARCN1	3719	4183	1990	1257
AREL1	185	213	77	47
ARF1	5200	6491	2904	1817
ARF3	43	63	28	23
ARF4	1202	1528	748	502
ARF5	2442	2638	1081	745
ARF6	643	878	364	247
ARFGAP1	667	971	393	239
ARFGAP2	650	917	489	316
ARFGAP3	826	971	362	260
ARFGEF1	840	860	372	234
ARFGEF2	799	947	366	230
ARFGEF3	556	625	235	158
ARFIP1	614	591	287	198
ARFIP2	675	811	421	232
ARFRP1	274	343	177	81
ARG1	0	0	0	0
ARG2	730	721	335	184
ARGLU1	587	694	383	215
ARHGAP1	557	729	328	196
ARHGAP10	285	332	124	93
ARHGAP11A	890	915	460	298
