	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
GMPS	3324	3593	1550	2076
GNA11	517	715	253	345
GNA12	125	158	62	81
GNA13	393	481	205	261
GNAI1	882	1010	446	558
GNAI2	882	1159	418	593
GNAI3	2721	3108	1355	1635
GNAL	169	155	73	80
GNAQ	180	228	82	130
GNAS	17494	21494	7568	11111
GNAT2	8	9	2	11
GNAZ	71	84	20	46
GNB1	3836	4816	1775	2469
GNB1L	283	338	145	204
GNB2	2882	3530	1209	1728
GNB3	3	5	0	2
GNB4	1177	1342	548	730
GNB5	286	403	136	204
GNE	742	844	329	446
GNG12	594	669	290	404
GNG5	869	1064	403	606
GNL1	566	923	308	414
GNL2	2808	3240	1475	1875
GNL3	3318	3938	1690	2065
GNL3L	2027	2499	964	1269
GNPAT	657	747	333	386
GNPDA1	1071	1311	526	635
GNPDA2	288	276	130	210
GNPNAT1	486	473	215	249
GNPTAB	302	299	120	175
GNPTG	97	122	29	65
GNS	1304	1458	591	816
GOLGA1	171	248	114	148
GOLGA2	443	506	196	241
GOLGA3	861	1030	413	549
GOLGA4	888	938	395	536
GOLGA5	654	674	301	357
GOLGA7	689	775	314	391
GOLGB1	1978	2379	1038	1246
GOLIM4	695	772	321	444
GOLM1	1286	1692	633	801
GOLPH3	846	1012	455	529
GOLPH3L	418	544	221	252
GOLT1B	278	318	124	171
GON4L	441	477	209	274
GON7	168	209	99	119
GOPC	531	631	248	336
GORAB	94	139	45	56
GORASP1	243	330	126	160
GORASP2	1630	1832	727	920
GOSR1	410	470	214	244
GOSR2	78	93	49	47
GOT1	1502	1837	701	931
GOT2	3693	4510	1792	2401
GPAA1	796	1110	394	573
GPALPP1	675	727	334	397
GPAM	410	550	218	304
GPANK1	170	230	63	103
GPAT2	3	4	1	2
GPAT3	343	470	159	228
GPAT4	363	534	203	225
GPATCH1	485	619	253	290
GPATCH11	298	318	108	159
GPATCH2	336	358	149	181
GPATCH2L	355	424	176	208
GPATCH3	185	271	108	138
GPATCH4	843	1173	474	589
GPATCH8	1069	1334	544	714
GPBP1	400	398	153	236
GPBP1L1	185	230	86	126
GPC1	177	241	83	129
GPC3	346	384	167	208
GPC4	1178	1384	569	697
GPC6	142	179	74	79
GPCPD1	422	496	234	303
GPD1L	421	497	195	247
GPD2	887	1162	476	577
GPHN	465	700	262	348
GPI	25564	32789	12287	17250
GPKOW	619	803	280	421
GPLD1	22	24	16	11
GPM6A	229	251	97	117
GPM6B	401	491	205	252
GPN1	662	778	314	397
GPN2	601	737	271	381
GPN3	1370	1605	676	812
GPR107	812	897	342	477
GPR108	258	309	108	182
GPR137	71	121	37	61
GPR137B	77	102	33	52
GPR137C	38	62	26	20
GPR155	76	74	26	40
GPR160	18	5	5	10
GPR161	114	150	50	66
GPR176	18	32	5	15
GPR18	0	1	0	0
GPR180	253	272	121	137
GPR183	2	1	0	0
GPR22	0	0	0	0
GPR27	56	84	30	60
GPR39	3	11	1	0
GPR63	53	49	16	31
GPR75	0	0	0	1
GPRASP1	2	3	1	0
GPRASP2	301	381	178	197
GPRC5B	85	111	49	64
GPRIN1	285	318	147	170
GPRIN3	252	260	90	132
GPS1	2188	2863	968	1447
GPS2	533	638	250	342
GPSM1	601	709	280	396
GPSM2	363	441	179	229
GPT	0	1	1	0
GPT2	451	481	178	264
GPX1	401	552	171	232
GPX3	254	327	115	147
GPX4	1172	1265	481	680
GPX8	241	257	101	141
GRAMD1A	1889	2252	867	1104
GRAMD1B	115	131	59	88
GRAMD1C	50	42	12	22
GRAMD4	148	176	79	108
GRB10	460	499	180	268
GRB14	88	76	37	31
GRB2	1378	1773	670	928
GREB1	24	30	18	22
GREB1L	338	396	187	203
GRHL1	97	116	29	54
GRHPR	829	986	359	550
GRID1	132	155	60	77
GRINA	1303	1682	598	859
GRIP1	240	263	124	132
GRIPAP1	512	662	263	337
GRK2	358	428	174	215
GRK3	92	97	33	44
GRK4	23	17	4	5
GRK5	35	46	21	22
GRK6	571	877	294	441
GRN	1952	2798	1020	1438
GRPEL1	1143	1384	571	725
GRPEL2	605	778	309	407
GRSF1	3028	3354	1345	1758
GRTP1	124	127	61	82
GRWD1	1198	1669	630	871
GSDME	105	116	58	68
GSE1	999	1334	483	618
GSK3A	766	967	363	494
GSK3B	511	565	245	359
GSKIP	299	327	157	174
GSN	407	476	190	235
GSPT1	2199	2420	921	1297
GSR	3077	3621	1421	1892
GSS	925	1090	395	535
GSTA4	620	667	279	339
GSTCD	327	350	149	194
GSTK1	567	650	256	375
GSTM2	69	101	38	40
GSTM3	840	997	386	514
GSTO1	3144	4122	1566	1923
GSTP1	1328	1702	640	863
GSTZ1	221	231	82	145
GTDC1	36	37	13	26
GTF2A1	941	1233	539	667
GTF2A2	916	1035	475	549
