	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
MED22	253	295	104	158	221	210	181	161
MED23	974	1206	511	612	2249	1928	2262	1575
MED24	1463	1828	669	952	1705	1519	1617	1303
MED25	822	1022	384	533	313	296	220	250
MED26	56	83	43	50	90	71	78	86
MED27	339	431	190	223	233	213	189	157
MED28	391	395	187	234	515	420	591	411
MED29	1302	1683	646	979	179	164	192	173
MED30	176	175	64	86	184	187	174	123
MED31	360	466	166	218	213	151	188	142
MED4	943	1094	451	551	615	603	675	484
MED6	617	730	307	442	764	624	769	525
MED7	291	285	136	151	198	194	137	107
MED8	716	828	317	468	569	496	544	392
MED9	86	117	43	57	130	110	123	99
MEF2A	300	396	191	212	495	476	510	430
MEF2C	265	293	126	153	171	141	196	144
MEF2D	215	248	98	115	111	54	59	89
MEGF11	67	107	27	51	105	102	122	82
MEGF8	708	879	320	451	1487	1228	1124	1141
MEGF9	70	76	36	38	127	98	109	82
MEIOC	35	18	10	9	138	127	143	92
MEIS1	166	165	60	80	223	206	244	166
MEIS2	185	279	101	124	454	336	382	290
MELK	1208	1354	570	741	1616	1402	1580	1204
MELTF	66	73	28	35	75	76	52	46
MEMO1	83	109	30	59	227	190	196	165
MEN1	692	904	280	458	681	556	557	612
MEPCE	960	1412	526	687	1066	938	1146	839
MERTK	122	159	71	91	291	239	276	234
MESD	394	563	217	277	828	778	824	571
MET	1375	1583	663	834	906	810	791	590
METAP1	1108	1221	543	645	1051	979	958	759
METAP1D	81	86	35	46	176	148	156	146
METAP2	4663	5400	2284	2960	3651	3768	3457	2222
METRN	30	24	8	9	131	83	93	76
METRNL	40	43	10	28	37	35	50	27
METTL1	243	361	114	165	205	171	207	143
METTL14	366	445	192	240	603	591	633	444
METTL15	79	102	34	51	223	222	201	156
METTL16	463	531	252	316	882	850	794	647
METTL17	740	789	301	448	1328	1223	1454	953
METTL18	169	181	73	90	235	222	198	122
METTL21A	169	230	78	108	237	183	197	138
METTL22	37	38	18	14	259	229	219	171
METTL23	124	157	60	85	303	310	263	182
METTL25	171	265	87	123	390	385	348	273
METTL26	817	998	363	534	545	550	553	343
METTL2A	208	231	108	136	382	384	360	273
METTL2B	224	199	97	94	586	515	479	377
METTL3	1106	1396	502	731	2065	1908	1923	1468
METTL4	90	110	45	66	212	185	200	163
METTL5	799	801	405	469	1134	1035	996	741
METTL6	302	341	130	182	618	612	580	406
METTL7A	519	626	225	274	101	66	73	45
METTL8	376	404	151	236	541	529	441	354
METTL9	334	363	136	168	1191	1013	989	741
MEX3A	110	183	55	68	101	80	57	63
MEX3B	58	73	31	36	58	47	55	40
MEX3C	204	198	77	91	247	216	251	177
MEX3D	35	50	19	27	202	185	229	145
MFAP1	1010	1276	482	620	684	761	816	500
MFAP3	486	677	256	319	540	467	590	421
MFAP3L	23	37	20	17	76	73	78	56
MFF	864	948	427	523	1201	1142	1102	736
MFGE8	1085	1290	464	700	281	309	221	226
MFHAS1	143	171	65	96	328	322	303	223
MFN1	924	1024	428	544	1292	1222	1203	787
MFN2	2197	2770	993	1357	2034	1813	1882	1592
MFSD1	215	299	133	114	760	680	747	471
MFSD10	325	486	157	260	328	239	289	252
MFSD11	222	299	153	180	373	285	351	280
MFSD12	201	282	101	171	415	385	453	344
MFSD13A	66	79	14	40	155	152	154	158
MFSD14A	37	41	12	29	53	71	62	27
MFSD14B	301	334	107	161	698	686	797	612
MFSD2A	361	447	177	203	78	45	82	74
MFSD3	111	144	49	65	295	264	301	171
MFSD4B	169	196	70	89	496	443	398	415
MFSD5	363	516	180	236	313	245	333	209
MFSD6	126	132	60	73	85	70	84	60
MFSD8	312	398	162	210	459	449	386	330
MFSD9	96	113	27	60	168	160	180	124
MGA	1604	1864	748	910	5144	4644	4359	3562
MGARP	65	59	33	25	140	133	111	96
MGAT1	258	312	105	170	604	530	517	382
MGAT2	251	366	130	161	1252	1166	1049	814
MGAT4A	103	107	29	66	196	181	189	160
MGAT4B	279	376	127	225	1299	1146	1090	1029
MGAT5	326	321	140	179	873	759	751	671
MGME1	484	635	230	302	1094	958	939	777
MGRN1	633	825	271	415	574	447	373	470
MGST1	1719	1896	783	918	277	291	316	194
MGST2	656	740	327	403	184	182	191	137
MGST3	1070	1252	429	618	647	627	647	390
MIA2	118	173	58	105	576	576	455	374
MIA3	1180	1323	588	717	3865	3540	3344	2699
MIB1	692	765	299	435	2891	2700	2521	1937
MIB2	180	285	95	147	311	271	298	254
MICA	189	258	89	139	184	155	135	119
MICAL1	103	132	40	58	138	125	108	107
MICAL2	117	168	54	78	175	145	131	115
MICAL3	503	695	265	330	1736	1354	1146	1359
MICALL1	568	774	265	379	815	771	708	591
MICALL2	33	26	12	20	47	45	49	40
MICB	154	171	73	101	51	37	40	29
MICOS13	651	946	333	485	305	281	312	184
MICU1	1246	1529	627	788	1019	883	930	700
MICU2	1739	1745	805	869	776	711	715	542
MICU3	91	76	45	55	150	148	106	114
MID1	510	564	267	329	363	313	371	283
MID1IP1	201	251	91	128	358	326	343	239
MID2	227	248	106	123	602	498	526	484
MIDN	842	1191	475	654	148	115	106	126
MIEF1	422	464	173	238	1168	985	1058	863
MIEF2	84	105	38	52	165	161	153	153
MIEN1	378	492	180	246	193	178	149	80
MIER1	560	672	307	322	1644	1556	1474	1144
MIER2	274	317	122	140	140	124	109	113
MIER3	341	438	195	194	739	781	707	516
MIF	7302	8773	3367	4846	2537	1887	2937	1484
MIF4GD	202	196	80	98	121	114	108	102
MIGA1	620	622	315	355	655	571	557	424
MIGA2	104	144	45	93	322	308	328	252
MIIP	327	415	160	231	305	269	288	239
MINAR1	4	7	1	1	159	114	157	149
MINDY1	212	219	85	117	198	145	164	140
MINDY2	156	169	69	88	212	174	198	153
MINDY3	1086	1136	485	548	1331	1262	1135	824
MINDY4	98	136	60	69	194	189	192	156
MINK1	501	575	224	285	799	586	595	619
MINPP1	970	1097	454	599	579	501	524	372
MIOS	343	427	166	210	1156	1121	1032	684
MIPEP	557	697	269	379	677	643	602	461
MIPOL1	209	231	85	107	462	386	394	326
MIS12	322	364	170	228	428	343	423	293
MIS18A	590	764	314	387	566	567	499	364
MIS18BP1	873	892	432	524	1606	1438	1513	1123
MITD1	227	236	118	138	370	326	349	277
MITF	61	63	40	43	127	112	111	88
MKI67	6514	7256	3417	4304	13312	10594	9974	11474
MKKS	52	49	11	28	496	407	486	359
MKLN1	1688	1845	788	971	1505	1374	1224	1110
MKNK1	382	506	200	251	320	314	284	221
MKNK2	336	420	175	211	552	499	522	455
MKRN1	587	749	321	391	915	886	885	662
MKRN2	708	884	389	561	1128	1034	1041	778
MKS1	477	517	200	273	463	464	495	344
MKX	0	0	0	1	65	42	47	48
MLEC	766	1141	424	539	1135	1014	1070	797
MLF1	478	423	167	250	588	555	525	367
MLF2	2550	2862	1087	1498	1098	930	965	896
MLH3	390	408	156	189	170	152	138	115
MLLT1	767	1001	381	551	329	289	307	288
MLLT10	332	296	131	167	850	673	669	628
MLLT3	488	495	215	293	989	900	950	696
MLLT6	101	107	42	65	376	288	354	279
MLST8	531	646	228	346	490	442	676	410
MLX	826	975	335	506	368	304	399	302
MLXIP	410	498	209	282	475	341	241	442
MLXIPL	58	66	20	34	80	52	56	61
MLYCD	154	181	69	84	119	93	102	89
MMAA	53	81	34	41	39	51	55	34
MMAB	483	615	235	335	573	516	595	395
MMACHC	267	372	132	175	165	167	211	112
MMADHC	1696	2186	864	1165	2735	2557	2556	1740
MMD	15	40	25	18	70	80	74	48
MMGT1	427	522	216	282	201	192	185	171
MMP16	1	2	0	0	107	98	114	79
MMS19	1289	1566	573	807	1683	1489	1649	1302
MMS22L	1046	1207	470	595	2036	1823	1733	1463
MMUT	1039	1100	485	613	763	667	600	495
MNAT1	838	860	393	460	1143	1106	909	691
MND1	396	456	160	200	425	394	345	292
MNS1	285	336	156	181	99	79	100	69
MNX1	187	259	81	136	71	76	46	49
MOAP1	630	689	274	373	347	336	272	221
MOB1A	1397	1635	713	816	1216	1203	1219	836
MOB1B	275	303	118	183	84	72	101	72
MOB2	151	188	86	104	132	117	181	129
MOB3B	92	94	34	54	59	51	37	46
MOCOS	65	79	35	36	228	197	220	174
MOCS1	171	205	76	115	269	219	278	178
MOCS2	511	613	258	331	645	605	525	395
MOCS3	373	455	178	224	285	234	211	200
MOGS	710	935	317	453	1050	957	1027	848
MOK	73	87	35	47	192	192	162	134
MON1A	103	149	67	76	366	351	332	269
MON1B	194	267	97	121	203	187	205	163
MON2	1834	2047	951	1120	2418	2155	2253	1752
MORC2	1205	1668	656	848	877	789	650	716
MORC3	714	779	381	426	1254	1111	1206	947
MORC4	1099	1192	504	609	1336	1232	1181	900
MORF4L1	884	1215	510	609	2370	2341	1872	1626
MORF4L2	3693	4525	1844	2273	7734	7905	6850	4870
MORN1	121	139	62	68	129	154	141	109
MORN2	179	223	110	131	276	274	264	181
MORN4	48	36	17	32	56	43	68	50
MOSMO	18	24	6	17	35	39	50	31
MOSPD1	170	150	75	80	291	231	263	187
MOSPD2	475	545	205	270	297	265	222	201
MOV10	1123	1436	538	715	967	785	786	692
MOXD1	398	367	145	231	400	332	352	281
MPC1	533	656	235	335	540	419	495	310
MPC2	631	776	279	350	631	579	499	393
MPDU1	571	638	253	343	560	430	541	360
MPDZ	633	688	289	412	1258	1036	1067	820
MPG	593	752	294	394	484	454	436	306
MPHOSPH10	832	1048	402	514	1499	1499	1509	1067
MPHOSPH6	498	553	262	287	542	579	533	353
MPHOSPH8	225	274	131	173	889	924	762	635
MPHOSPH9	491	554	275	293	3323	2891	3135	2507
MPI	955	1141	455	601	1648	1459	1611	1223
MPLKIP	494	655	245	299	269	251	228	171
MPND	79	103	51	61	152	145	154	125
MPP1	961	1056	379	541	556	514	590	484
MPP2	350	428	144	198	238	218	204	182
MPP3	39	45	20	32	260	222	176	166
MPP5	400	406	170	216	830	711	717	600
MPP6	543	609	250	334	1311	1168	974	887
MPP7	436	520	183	249	193	156	159	137
MPPE1	41	50	21	24	159	180	139	117
MPRIP	303	398	133	188	3589	3329	3148	2730
MPST	683	885	337	472	590	512	478	394
MPV17	331	407	153	210	352	349	310	269
MPV17L2	352	472	190	250	126	90	125	102
MPZL1	656	711	302	378	608	514	516	361
MR1	78	82	33	50	60	51	61	39
MRAP	1	0	0	0	92	65	71	82
MRAS	21	31	13	33	55	41	62	40
MRC2	213	223	80	96	125	107	122	97
MRE11	1192	1355	566	685	1767	1702	1701	1239
MREG	87	97	32	54	227	165	154	120
MRFAP1	1225	2155	708	999	1193	1422	1126	860
MRFAP1L1	226	351	132	199	392	474	384	287
MRGBP	130	160	75	71	357	358	325	243
MRI1	660	831	287	409	839	733	800	594
MRM1	58	71	28	47	113	94	90	86
MRM2	255	383	122	178	338	290	378	270
MRM3	697	804	327	475	653	629	628	450
MRNIP	99	107	44	63	466	423	461	406
MROH1	65	64	28	33	265	249	213	220
MROH8	211	329	121	181	155	167	101	116
MRPL1	576	701	275	367	996	1001	894	667
MRPL10	709	838	314	421	242	240	350	215
MRPL11	584	780	328	385	1193	1229	1119	753
MRPL12	52	86	30	27	129	93	103	98
MRPL13	1722	1916	837	1075	1271	1108	1150	690
MRPL14	1601	2003	705	1041	731	641	687	500
MRPL15	1202	1452	643	773	1468	1421	1605	1077
MRPL16	1410	1695	710	857	1260	1248	1085	767
MRPL17	1163	1291	508	698	831	761	816	503
MRPL18	970	1193	425	602	1202	1209	1149	820
MRPL19	1312	1716	676	890	1842	1650	1461	1101
MRPL2	1309	1349	567	772	525	481	505	368
MRPL20	2717	3034	1151	1601	1661	1618	1493	1004
MRPL21	1080	1180	450	610	1183	1101	1083	781
MRPL22	1804	1900	868	1053	622	566	666	487
MRPL23	1336	1504	555	858	1111	991	956	619
MRPL24	1178	1531	557	847	1018	1029	1033	755
MRPL27	1094	1490	567	718	613	554	688	430
MRPL28	3231	3958	1480	2052	1212	1159	1323	902
MRPL3	2945	3845	1530	1967	3698	3385	3104	2241
MRPL32	1062	1373	559	716	693	685	784	519
MRPL33	562	658	307	375	744	682	605	424
MRPL34	377	543	176	267	199	187	137	122
MRPL35	342	463	187	244	531	506	506	319
MRPL36	265	378	139	157	204	184	205	95
MRPL37	2961	3405	1332	1878	3815	3554	4213	2945
MRPL38	1032	1334	488	666	932	814	859	639
MRPL39	2224	2900	1172	1430	1349	1174	1372	901
MRPL4	2645	3296	1269	1642	677	552	617	550
MRPL40	1179	1184	550	615	816	649	790	551
MRPL41	1104	1571	554	828	740	703	567	425
MRPL42	1454	1505	668	869	1057	1012	1216	800
MRPL43	1197	1473	579	838	413	424	395	280
MRPL44	1490	1870	825	1014	861	843	745	529
MRPL45	401	541	199	338	351	335	266	230
MRPL46	539	640	260	358	711	635	660	533
MRPL47	1165	1272	537	649	908	843	821	548
MRPL48	483	514	201	300	644	636	654	408
MRPL49	556	794	289	412	441	376	491	331
MRPL50	419	424	165	232	578	481	583	350
MRPL51	1561	2315	745	1148	2032	2058	1910	1322
MRPL52	834	1062	468	528	679	660	663	410
MRPL53	594	828	292	399	387	344	321	247
MRPL54	366	506	180	295	526	550	451	321
MRPL55	686	937	336	521	858	756	718	520
MRPL57	576	649	214	359	189	178	197	147
MRPL58	681	840	343	493	489	410	517	320
MRPL9	1145	1539	599	822	1330	1292	1081	821
MRPS10	848	1050	501	625	527	475	442	318
MRPS11	522	660	228	340	591	495	632	423
MRPS12	1152	1447	498	783	314	241	361	293
MRPS14	536	723	266	336	510	475	427	281
MRPS15	1572	1759	639	920	1652	1318	1779	1182
MRPS16	1383	1563	687	890	1030	867	909	714
MRPS18A	958	1098	488	624	431	387	447	287
MRPS18B	2052	2267	909	1265	738	563	859	623
MRPS18C	558	647	266	313	647	591	595	377
MRPS2	2182	2490	1000	1408	831	782	865	619
MRPS21	774	1166	471	655	1212	1167	1194	748
MRPS22	1469	1624	725	916	1534	1375	1456	985
MRPS23	1933	2287	938	1201	1181	1107	1128	787
MRPS24	970	1132	431	613	981	928	879	577
MRPS25	520	693	276	339	698	732	730	542
MRPS26	1011	1553	476	748	1071	1141	744	537
MRPS27	1266	1394	579	792	1749	1438	1492	1200
MRPS28	720	820	327	405	491	452	421	284
MRPS30	1757	2036	878	1056	1147	990	1016	752
MRPS31	1490	1708	725	983	873	764	897	538
MRPS33	594	720	290	368	527	476	454	304
MRPS34	1384	2091	661	929	1339	1234	1218	831
MRPS35	2321	2608	1122	1386	1319	1319	1154	846
MRPS36	213	270	116	169	213	132	298	161
MRPS5	818	1057	397	503	1439	1439	1272	930
MRPS6	408	553	246	275	167	189	210	124
MRPS7	1753	2139	814	1110	1598	1562	1508	1053
MRPS9	1088	1168	542	658	1470	1319	1331	865
MRRF	225	240	111	143	612	536	569	460
MRS2	417	595	206	281	1406	1318	1243	968
MRTFA	374	536	169	282	416	349	275	377
MRTFB	357	428	154	208	365	296	300	353
MRTO4	1287	1868	703	989	1198	1069	1213	907
MSANTD2	45	93	22	29	274	273	281	249
MSANTD3	103	116	50	71	300	309	270	197
MSANTD4	287	348	133	183	464	470	389	306
MSH2	3905	4071	1813	2194	4496	4170	4078	3055
MSH3	1274	1342	589	754	1823	1551	1531	1233
MSH4	1	1	0	0	66	68	66	55
MSH6	5041	6128	2603	3262	10020	9395	9059	6531
MSI1	335	360	157	221	121	93	67	78
MSI2	804	903	355	476	473	409	427	344
MSL1	194	266	95	103	630	633	459	390
MSL2	354	400	156	208	606	531	597	564
MSL3	207	301	106	110	484	496	468	338
MSMO1	1019	1115	444	579	660	634	646	448
MSMP	6	1	1	0	106	101	136	110
MSN	1425	1909	760	1019	1155	1123	1038	912
MSRA	79	142	59	55	49	39	45	32
MSRB1	160	197	68	93	47	42	67	41
MSRB2	265	350	117	184	133	124	128	71
MSRB3	157	228	70	91	91	92	83	65
MSS51	2	1	1	5	78	63	71	58
MST1	1	2	1	0	128	96	101	109
MSTO1	23	59	10	27	117	105	159	99
MSX1	129	173	51	88	79	59	68	45
MSX2	604	782	351	509	105	99	107	93
MTA1	1524	2028	775	1107	1628	1508	1339	1322
MTA2	2502	2892	1183	1668	4792	4000	5222	3716
MTA3	976	992	438	563	532	535	505	353
MTAP	348	463	190	215	805	700	729	544
MTBP	355	387	164	208	951	939	924	682
MTCH1	1338	1744	596	898	1721	1553	1439	1100
MTCH2	1865	1946	848	1072	2449	2152	2242	1533
MTCL1	107	143	45	84	549	511	429	421
MTDH	1887	2126	878	1121	3264	3029	2919	2334
MTERF1	265	318	135	154	379	286	299	269
MTERF2	271	277	99	133	408	411	347	255
MTERF3	754	721	357	387	681	623	715	504
MTERF4	550	609	271	339	465	476	503	362
MTF1	154	190	67	100	199	169	167	165
MTF2	808	860	400	442	1993	1910	2015	1396
MTFMT	293	340	138	190	463	333	365	270
MTFR1	326	328	126	151	689	699	607	428
MTFR1L	359	458	176	208	487	415	470	326
MTFR2	304	313	137	205	305	267	243	196
MTG1	430	510	207	291	764	681	696	566
MTG2	356	388	133	211	357	328	311	257
MTHFD1	5699	6713	2796	3591	7002	6381	6073	5297
MTHFD1L	1463	1592	676	904	2887	2759	2398	2156
MTHFD2	1306	1403	570	794	2768	2638	2774	1889
MTHFD2L	127	138	45	88	138	123	124	85
MTHFR	157	213	74	112	206	198	200	182
MTHFSD	163	177	69	80	208	179	180	131
MTIF2	585	630	228	328	2159	2044	2022	1371
MTIF3	271	262	119	158	683	576	618	416
MTM1	263	326	121	200	305	336	293	219
MTMR1	773	958	366	452	1482	1405	1394	1102
MTMR10	140	173	67	80	384	350	368	262
MTMR12	341	378	178	196	675	575	501	455
MTMR14	487	601	230	321	688	603	667	504
MTMR2	851	974	397	504	1497	1382	1333	1127
MTMR3	446	516	172	289	982	860	788	768
MTMR4	682	812	329	428	1936	1688	1783	1392
MTMR6	1155	1339	615	711	541	517	512	366
MTMR7	131	122	45	55	100	98	92	78
MTMR8	80	94	44	49	153	136	118	93
MTMR9	283	339	151	170	270	254	309	194
MTO1	810	849	357	461	1026	992	943	720
MTOR	2106	2628	1016	1407	5109	4460	4899	3902
MTPAP	1280	1431	670	780	831	796	829	617
MTPN	1620	2163	825	1092	543	481	546	354
MTR	1576	2111	848	1081	5934	5525	5140	4260
MTRES1	275	303	138	142	174	206	172	132
MTREX	3101	3701	1587	1877	4749	4640	4293	3018
MTRF1	206	183	77	97	249	207	213	184
MTRF1L	75	103	47	51	237	192	243	148
MTRNR2L1	1	3	2	5	51	85	72	109
MTRR	591	710	309	388	853	670	804	653
MTSS1	70	86	38	54	84	60	83	71
MTSS2	401	508	181	284	344	310	328	300
MTURN	130	118	39	75	130	117	94	76
MTUS1	431	417	146	209	567	520	427	431
MTX1	521	586	234	340	353	290	329	205
MTX2	867	962	389	534	733	697	807	532
MTX3	231	261	112	137	385	342	367	288
MUL1	528	639	233	332	357	281	308	233
MUS81	188	235	102	100	411	331	394	304
MVB12A	652	757	298	387	297	296	272	227
MVB12B	146	156	64	89	111	70	84	73
MVD	195	290	121	149	324	273	368	261
MVK	249	325	98	167	287	247	276	187
MXD1	135	186	79	98	62	62	61	58
MXD3	45	64	32	43	200	163	161	145
MXD4	304	545	201	307	382	360	405	250
MXI1	418	436	179	233	281	204	273	231
MXRA7	55	94	39	68	119	128	97	82
MYB	107	112	30	45	83	65	36	39
MYBBP1A	5650	7516	2725	3833	4032	3511	3487	3124
MYBL1	83	85	19	42	485	455	439	339
MYBL2	1511	1963	709	936	2790	2613	2444	2306
MYC	2595	2545	1023	1445	1600	1309	1773	1357
MYCBP2	875	837	400	538	7287	6366	6260	5307
MYDGF	759	1073	469	606	537	537	595	342
MYEF2	942	1191	488	612	381	438	370	254
MYH10	4775	5590	2447	3068	8372	8147	6856	6246
MYH11	22	7	1	6	79	78	49	82
MYH14	643	877	313	457	438	394	368	326
MYH15	3	1	1	0	92	84	76	88
MYH3	10	10	4	3	161	154	109	118
MYH9	8177	11111	4304	5736	7573	6828	6396	6300
MYL12A	871	939	374	547	493	397	555	387
MYL12B	1316	1560	636	873	541	488	625	478
MYL5	26	22	14	21	70	58	60	45
MYL6	5631	7629	2841	3777	3845	3659	4156	2874
MYL6B	151	174	70	95	623	677	610	462
MYLIP	178	211	81	112	271	258	234	201
MYLK	35	54	28	19	170	134	150	127
MYNN	224	224	100	121	780	713	723	550
MYO10	1032	1343	564	692	771	673	653	573
MYO18A	281	367	124	191	432	407	368	361
MYO19	312	329	141	172	1239	1087	1139	1033
MYO1B	1593	1953	836	1085	1533	1376	1525	1052
MYO1C	1338	1491	599	765	842	740	724	706
MYO1D	904	860	424	481	751	620	612	524
MYO1E	538	561	218	296	505	463	570	451
MYO3A	176	142	74	83	435	339	295	273
MYO5A	826	922	324	466	932	891	869	716
MYO5B	229	291	121	155	216	181	203	151
MYO5C	437	547	217	284	727	670	589	574
MYO6	2599	3077	1298	1636	1183	1150	858	830
MYO9A	496	496	251	276	2950	2674	2604	2249
MYO9B	497	684	272	385	977	854	719	862
MYOM2	120	107	45	69	118	95	90	65
MYOT	3	5	3	1	49	51	29	40
MYRF	12	11	3	7	69	47	42	41
MYSM1	220	263	88	92	2098	2027	1583	1567
MZF1	47	65	18	21	225	167	155	174
MZT1	590	605	285	342	276	285	276	156
MZT2A	220	287	101	171	334	339	314	224
MZT2B	504	815	282	419	971	885	848	670
N4BP1	375	406	133	178	704	683	664	533
N4BP2	385	444	182	236	1145	1067	997	844
N4BP2L2	1166	1275	570	675	2202	1919	2009	1551
N6AMT1	144	142	66	86	118	119	127	89
NAA10	2658	3573	1342	1949	2545	2495	2490	1935
NAA15	4654	5132	2383	2892	5664	5222	4707	4056
NAA16	616	707	305	384	971	961	712	679
NAA20	767	1024	399	502	780	850	679	474
NAA25	1941	2102	977	1135	2970	2723	2466	2077
NAA30	194	297	89	169	311	287	286	184
NAA35	1064	1253	578	691	1436	1350	1262	1026
NAA38	797	1098	394	580	672	624	627	468
NAA40	267	349	122	170	417	416	288	269
NAA50	1856	1790	775	1099	1758	1651	1669	1148
NAA60	207	205	115	121	98	76	102	104
NAA80	31	29	16	17	48	29	42	42
NAAA	176	207	81	100	234	203	159	129
NAALAD2	60	36	17	27	79	85	58	49
NAB1	143	179	65	91	398	365	354	293
NAB2	161	243	92	113	90	103	65	45
NABP1	113	150	53	51	114	141	132	97
NABP2	734	905	347	511	584	502	525	339
NACA	7139	7686	3276	4108	9239	8116	9916	6325
NACC1	980	1265	492	659	705	572	454	505
NACC2	307	381	138	240	159	117	124	106
NADK	417	463	209	245	897	771	714	599
NADK2	488	547	248	246	673	651	572	412
NADSYN1	288	371	138	216	524	465	526	416
NAE1	3459	3262	1463	1746	3668	3444	3284	2307
NAF1	739	902	356	451	603	594	403	499
NAGA	329	401	173	196	335	281	392	266
NAGK	305	462	139	244	207	210	217	152
NAGLU	278	326	124	155	356	300	325	255
NAGPA	80	132	53	48	208	189	176	143
NAIF1	98	125	55	79	56	73	49	43
NAMPT	632	652	295	379	655	600	658	444
NANP	152	135	64	69	206	199	195	135
NANS	1215	1498	569	812	1561	1489	1544	991
NAP1L1	4479	6043	2383	2990	9146	9759	7884	6108
NAP1L2	84	101	45	51	114	132	120	82
NAP1L3	125	120	46	75	466	429	371	255
NAP1L4	2278	2932	1175	1440	2716	2590	2562	1978
NAPA	1098	1203	558	682	616	594	539	526
NAPB	81	92	21	39	157	129	134	97
NAPEPLD	86	95	43	56	177	164	92	98
NAPG	663	661	291	378	373	397	355	267
NAPRT	154	150	46	88	205	151	170	142
NARF	249	318	107	183	766	754	720	534
NARS	3128	3872	1528	1800	3316	3308	3344	2232
NARS2	321	413	166	208	967	948	882	700
NASP	4549	6097	2412	3081	6263	6194	6417	4346
NAT1	76	100	58	69	100	88	96	74
NAT10	1577	2011	834	1020	2591	2373	2509	2223
NAT14	100	105	46	69	193	173	174	124
NAT8L	322	389	197	252	50	57	50	40
NAT9	294	402	162	212	269	234	223	165
NAV1	227	305	113	165	343	236	189	300
NAV2	158	145	62	96	111	73	61	113
NAXD	147	172	71	90	207	178	182	146
NAXE	1967	2316	865	1179	1615	1366	1611	1111
NBAS	761	958	409	482	2292	2092	2210	1675
NBDY	383	446	174	240	140	121	121	75
NBEA	529	552	286	305	2069	1948	1752	1514
NBEAL1	348	374	158	178	994	841	902	727
NBEAL2	223	238	96	144	1340	992	1007	1087
NBL1	247	366	137	205	73	61	63	47
NBN	822	897	381	481	2522	2327	2407	1685
NBPF1	24	35	13	19	364	320	362	256
NBPF10	1	0	0	0	105	85	85	77
NBPF11	3	1	1	1	61	57	56	46
NBPF12	2	3	6	0	251	225	208	170
NBPF14	1	1	0	1	100	73	46	53
NBPF15	7	5	1	2	177	151	145	128
NBPF20	5	2	0	2	74	74	65	65
NBPF3	30	44	14	22	295	302	288	220
NBPF9	3	1	2	0	125	134	86	70
NBR1	1194	1352	520	722	1485	1375	1447	1130
NCAM1	544	749	322	406	261	245	238	234
NCAPD2	5521	6968	2663	3599	5440	4953	4817	4110
NCAPD3	2759	3064	1382	1642	4898	4128	4566	3886
NCAPG	3043	3422	1514	1735	4596	4385	4509	3284
NCAPG2	2655	2878	1196	1516	3829	3311	3013	2629
NCAPH	1690	1937	877	1091	2116	1917	2032	1599
NCAPH2	866	1211	397	552	1675	1522	1577	1246
NCBP1	2263	2726	1130	1430	2722	2577	2588	2076
NCBP2	726	931	340	521	341	315	327	255
NCBP3	1038	1298	506	625	1332	1305	1230	1041
NCDN	997	1374	540	741	677	591	641	620
NCEH1	134	164	53	98	88	82	119	62
NCK1	279	332	120	168	475	442	434	310
NCK2	153	204	75	98	252	240	222	204
NCKAP1	3515	3508	1628	1950	5451	5138	4861	3852
NCKAP5L	456	632	214	305	398	341	354	351
NCKIPSD	332	386	137	198	817	686	808	666
NCL	26351	33983	13797	17676	25364	28250	27530	18958
NCLN	1141	1479	540	805	930	868	893	722
NCOA1	420	425	192	228	845	641	771	715
NCOA2	488	486	256	292	1557	1333	1429	1194
NCOA3	624	679	291	393	998	780	896	773
NCOA4	1851	2396	1089	1366	2870	2436	2834	2008
NCOA5	634	1180	417	546	860	810	805	814
NCOA6	401	487	206	234	1055	832	700	1017
NCOA7	442	456	205	245	435	358	318	307
NCOR1	1070	1152	484	612	4323	3771	3856	3559
NCOR2	992	1094	428	589	797	567	357	571
NCR3LG1	402	479	179	274	578	513	524	446
NCS1	229	355	114	144	280	242	251	156
NCSTN	1449	1612	628	906	1008	807	808	853
NDC1	1702	1899	772	1032	2106	1736	2196	1473
NDC80	1183	1313	641	730	1298	1194	1149	813
NDE1	229	315	128	179	456	394	400	339
NDEL1	211	208	83	85	494	466	475	417
NDFIP1	1690	1991	793	986	665	608	532	445
NDFIP2	869	1068	446	576	547	486	562	337
NDNF	234	249	97	124	54	40	45	39
NDOR1	262	404	155	197	260	251	261	196
NDRG1	2088	2238	922	1309	304	322	354	264
NDRG2	279	350	130	205	140	110	138	90
NDRG3	813	888	363	534	484	419	511	389
NDRG4	126	123	58	64	121	101	117	91
NDST1	187	244	93	114	701	570	570	507
NDST2	10	8	2	7	72	62	59	60
NDUFA1	1677	2139	846	1138	2234	2235	1816	1109
NDUFA10	2871	3483	1397	1811	1851	1745	1756	1226
NDUFA11	684	884	284	453	444	428	488	342
NDUFA12	1660	1876	777	1020	1130	1006	1092	636
NDUFA13	727	1010	367	521	487	493	406	331
NDUFA2	1253	1621	576	867	542	492	552	356
NDUFA3	671	898	315	422	405	329	439	233
NDUFA4	974	1236	554	578	555	400	671	316
NDUFA5	477	537	262	307	481	443	381	272
NDUFA6	1463	1657	675	895	879	875	818	528
NDUFA8	1489	1718	681	883	728	744	796	476
NDUFA9	367	590	181	287	328	292	372	272
NDUFAB1	2744	2964	1295	1537	1118	908	1092	640
