	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ACVR1C	18	26	8	7
ACVR2A	224	291	137	85
ACVR2B	93	130	62	20
ACYP1	213	212	80	62
ACYP2	60	78	27	22
ADA	286	285	104	58
ADAL	123	107	43	28
ADAM10	853	906	436	240
ADAM11	103	131	38	34
ADAM15	522	676	265	135
ADAM17	259	357	141	86
ADAM19	43	51	10	5
ADAM22	107	103	41	20
ADAM23	180	220	84	32
ADAM9	804	886	406	187
ADAMTS1	4767	6229	2491	1392
ADAMTS13	21	9	5	9
ADAMTS17	35	59	27	11
ADAMTS19	138	185	67	44
ADAMTS2	73	80	41	18
ADAMTS20	51	48	32	21
ADAMTS3	144	162	72	37
ADAMTS6	9	5	7	4
ADAMTS9	32	35	12	9
ADAMTSL4	8	5	4	1
ADAP1	13	24	4	2
ADAP2	49	49	17	20
ADAR	4150	4812	2424	1508
ADARB1	107	199	46	32
ADAT1	135	124	72	37
ADAT2	116	112	44	26
ADAT3	53	100	47	17
ADCK1	114	150	68	36
ADCK2	524	627	246	134
ADCK5	19	29	15	5
ADCY1	37	22	19	8
ADCY3	501	618	216	129
ADCY6	414	556	210	110
ADCY7	73	62	32	18
ADCY9	297	361	133	69
ADCYAP1R1	12	20	4	3
ADD1	1652	2061	871	530
ADD2	338	444	142	93
ADD3	1748	1973	774	560
ADGRA2	28	38	18	3
ADGRA3	170	195	117	47
ADGRB2	54	48	29	13
ADGRB3	14	11	9	7
ADGRE5	1085	1292	566	262
ADGRG6	394	394	191	140
ADGRL1	276	285	104	51
ADGRL2	859	983	451	276
ADGRL3	79	98	47	26
ADGRV1	547	609	400	216
ADH5	712	1008	444	230
ADI1	695	1016	430	281
ADIPOR1	448	558	199	124
ADIPOR2	760	976	426	261
ADK	1294	1349	591	406
ADM	89	152	82	48
ADNP	2255	2584	1208	770
ADNP2	675	763	417	260
ADO	229	324	127	75
ADORA2A	19	7	4	4
ADORA2B	101	91	53	26
ADPGK	527	676	311	207
ADPRHL1	32	32	25	12
ADPRHL2	525	672	279	174
ADPRM	51	62	32	27
ADRA2C	9	9	7	0
ADRM1	2825	4403	1650	1004
ADSL	2920	3194	1155	713
ADSS	1122	1515	534	315
AEBP2	619	800	377	214
AEN	650	1047	474	293
AFAP1	141	186	78	55
AFAP1L1	115	106	46	27
AFDN	1800	2194	1003	644
AFF1	627	694	308	240
AFF3	204	236	102	78
AFF4	2216	2312	979	659
AFG1L	166	204	98	62
AFG3L2	1193	1422	591	388
AFMID	207	298	154	78
AFTPH	321	405	122	84
AGA	297	342	131	66
AGAP1	183	266	76	60
AGAP2	55	59	35	24
AGAP3	548	737	205	156
AGAP6	1	3	2	1
AGAP9	2	3	3	0
AGBL3	20	20	18	4
AGBL5	271	322	97	73
AGER	5	3	3	0
AGFG1	1639	1839	895	571
AGFG2	121	174	85	48
AGGF1	202	154	157	64
AGK	802	1132	488	328
AGL	1826	1892	910	574
AGMAT	2	3	2	1
AGO1	593	738	276	170
AGO2	734	884	267	217
AGO3	298	299	143	77
AGO4	116	114	50	41
AGPAT1	584	718	216	111
AGPAT2	495	626	306	159
AGPAT3	424	539	174	109
AGPAT4	199	234	115	72
AGPAT5	438	508	196	115
AGPS	1990	2308	1011	719
AGRN	1045	1667	572	280
AGTPBP1	892	1019	402	261
AGTRAP	390	583	236	144
AHCTF1	252	333	112	94
AHCY	3027	4262	1379	825
AHCYL1	1695	1833	799	523
AHCYL2	305	385	191	101
AHDC1	178	241	85	67
AHI1	324	331	140	99
AHNAK	826	903	508	354
AHNAK2	63	106	54	42
AHSA1	2567	3171	1257	832
AIF1L	629	700	283	227
AIFM1	2236	2603	1243	719
AIFM2	544	700	314	192
AIG1	591	746	316	178
AIMP1	1055	1303	489	421
AIMP2	1575	2057	792	524
