	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
AGGF1	202	154	155	182
AGK	802	1132	733	757
AGL	1826	1892	1444	1480
AGMAT	2	3	1	1
AGO1	593	738	501	479
AGO2	734	884	612	631
AGO3	298	299	217	235
AGO4	116	114	119	109
AGPAT1	584	718	475	440
AGPAT2	495	626	449	418
AGPAT3	424	539	351	313
AGPAT4	199	234	169	156
AGPAT5	438	508	353	326
AGPS	1990	2308	1610	1694
AGRN	1045	1667	1178	1036
AGTPBP1	892	1019	791	743
AGTRAP	390	583	323	305
AHCTF1	252	333	239	234
AHCY	3027	4262	2740	2705
AHCYL1	1695	1833	1386	1305
AHCYL2	305	385	266	261
AHDC1	178	241	122	122
AHI1	324	331	293	268
AHNAK	826	903	827	791
AHNAK2	63	106	82	60
AHSA1	2567	3171	2151	2017
AIF1L	629	700	519	502
AIFM1	2236	2603	1868	1840
AIFM2	544	700	392	431
AIG1	591	746	463	520
AIMP1	1055	1303	902	889
AIMP2	1575	2057	1277	1312
AIP	887	1150	757	750
AJUBA	60	96	52	52
AK1	475	703	379	365
AK2	1023	1142	772	740
AK3	456	430	310	327
AK6	495	561	403	438
AK9	74	84	62	52
AKAP1	557	765	565	521
AKAP10	267	263	195	196
AKAP11	1429	1809	1277	1449
AKAP12	2308	2402	1854	1640
AKAP13	697	869	697	659
AKAP17A	246	374	219	222
AKAP5	58	67	30	43
AKAP6	24	39	27	36
AKAP7	103	106	96	67
AKAP8	611	799	537	583
AKAP8L	941	1274	631	793
AKAP9	1300	1407	1090	1183
AKIP1	234	251	150	178
AKIRIN1	948	1159	743	800
AKIRIN2	826	1027	675	728
AKNA	52	44	30	31
AKR1A1	741	1201	763	701
AKR1B1	2336	2729	1888	1939
AKR7A2	848	1188	645	697
AKT1	599	785	549	510
AKT1S1	281	390	247	200
AKT2	1105	1448	996	951
AKT3	226	238	204	169
AKTIP	66	74	49	49
AL022312.1	192	214	130	137
AL031777.3	3344	3694	1993	2821
AL034430.1	75	64	33	39
AL034430.2	260	323	194	237
AL049650.1	1155	1271	829	1051
AL109811.3	0	0	0	0
AL109827.1	170	212	151	157
AL121753.1	235	233	155	165
AL135905.2	594	814	417	526
AL713999.1	149	189	199	157
ALAD	126	154	126	102
ALAS1	774	884	499	529
ALCAM	726	815	717	763
ALDH16A1	341	539	339	305
ALDH18A1	1893	2614	1982	2035
ALDH1A2	1841	2270	1644	1621
ALDH1B1	929	1104	745	721
ALDH1L2	367	341	296	282
ALDH2	916	995	685	715
ALDH3A2	1129	1323	996	917
ALDH4A1	322	410	261	245
ALDH5A1	688	876	569	612
ALDH6A1	561	632	448	498
ALDH7A1	1188	1426	1052	1073
ALDH9A1	2449	2909	2026	1989
ALDOA	1995	2356	1073	1603
ALDOC	52	65	30	40
ALG1	259	368	247	282
ALG10	216	264	206	198
ALG10B	111	165	124	122
ALG11	446	478	384	411
ALG12	250	373	275	258
ALG13	976	1039	808	885
ALG14	149	163	132	120
ALG1L	14	19	9	14
ALG2	281	363	245	223
ALG3	801	1008	658	584
ALG5	755	947	792	825
ALG6	624	736	510	582
ALG8	1410	1692	1224	1209
ALKBH1	295	314	204	214
ALKBH2	252	267	161	175
ALKBH3	248	228	186	177
ALKBH4	207	367	168	205
ALKBH5	510	735	411	393
ALKBH6	491	570	372	409
ALKBH7	247	322	215	172
ALKBH8	160	175	131	143
ALMS1	862	848	789	786
ALOX12	6	10	5	2
ALPK1	71	72	72	67
ALS2	369	403	299	291
ALX1	216	221	149	186
ALX3	2	0	3	0
ALX4	67	80	48	42
ALYREF	4877	5812	3501	3743
AMACR	195	220	152	166
AMBRA1	544	704	479	493
AMD1	604	710	550	537
AMDHD2	123	143	80	89
AMER1	90	152	73	81
AMFR	1029	1166	894	870
AMH	39	58	46	42
AMIGO1	27	26	25	18
AMIGO3	2	1	9	2
AMMECR1	204	322	162	163
AMMECR1L	152	193	128	104
AMN1	145	96	94	93
AMOT	177	166	111	116
AMOTL1	888	1165	683	677
AMOTL2	216	373	213	244
AMPD2	560	679	437	413
AMPH	132	162	103	100
AMZ2	476	503	335	381
ANAPC1	342	343	296	308
ANAPC10	126	92	72	71
ANAPC11	731	926	529	589
ANAPC13	239	309	257	244
ANAPC15	148	192	124	116
ANAPC16	461	638	416	455
ANAPC2	530	844	432	497
ANAPC4	748	779	572	625
ANAPC5	3125	3132	2557	2380
ANAPC7	2397	3210	2050	2223
ANGEL1	283	372	274	273
ANGEL2	368	431	289	331
ANGPT2	3	1	1	3
ANK1	84	141	86	94
ANK2	565	574	564	504
ANK3	384	395	388	383
